...1,x,y,z,face,place,object,cluster,category
V57,19.974,0.49402,-37.751,1.8043424640921e-4,0.00169022213513968,-0.0018706563815489,1,place
V80,34.361,11.988,-37.528,-3.81685828604702e-5,-4.9922865533945e-4,5.3739723819992e-4,2,object
V209,-23.872,-24.561,-30.583,0.0013182192650598,-6.0856388008388e-4,-7.0965538497591e-4,3,face
V410,50.471,-6.0748,-26.489,3.0727754209657e-4,6.1913164256921e-4,-9.2640918466579e-4,1,place
V560,39.65,45.861,-25.361,0.00114615884187505,-2.352131224393e-4,-9.1094571943575e-4,3,face
V568,-47.088,43.57,-25.271,0.00110441877872208,-2.9891982631263e-4,-8.0549895240944e-4,3,face
V649,-10.57,63.566,-24.902,-8.2260432309376e-4,-4.7612467441207e-4,0.00129872899750584,2,object
V718,50.239,-3.1088,-22.609,0.00124171927076566,-7.1199224893608e-4,-5.2972702182958e-4,3,face
V799,-23.651,30.566,-21.77,0.00123708741833571,-6.5959732280087e-4,-5.7749009553483e-4,3,face
V839,-50.862,42.788,-21.465,8.5541107673406e-4,-6.8211342588921e-4,-1.7329765084485e-4,3,face
V840,-47.101,43.04,-21.466,-4.9097182707592e-4,-4.078234866139e-4,8.9879531368982e-4,2,object
V846,35.657,48.576,-21.48,-9.4710094644246e-4,-0.00138832942970932,0.00233543037615178,2,object
V855,-47.32,46.536,-21.391,8.3987088349683e-4,-9.99267708899811e-6,-8.2987820640783e-4,3,face
V856,-39.797,47.04,-21.391,-7.3009433719847e-4,-6.05281875179145e-5,7.9062252471638e-4,2,object
V858,-28.512,47.794,-21.393,8.29526269488655e-5,9.4560758587001e-4,-0.00102856021281888,1,place
V862,35.437,52.071,-21.404,5.4868375836902e-4,6.7576752127027e-4,-0.0012244512796393,1,place
V870,-40.017,50.535,-21.316,7.5620393377386e-4,2.0910906049848e-4,-9.6531299427235e-4,3,face
V878,23.932,54.812,-21.327,-0.00110105653358901,6.6174330064408e-4,4.3931323294493e-4,1,place
V881,35.217,55.567,-21.329,-7.3412240245832e-4,2.3810620558854e-4,4.9601619686978e-4,1,place
V899,23.712,58.308,-21.252,9.9280379381079e-4,6.1008342980407e-4,-0.00160288722361488,3,face
V1028,50.227,-3.6388,-18.802,3.8881902865726e-4,2.2902878878017e-4,-6.1784781743744e-4,1,place
V1143,35.645,48.045,-17.673,-0.00111714644117577,5.3237326948118e-4,5.8477317169458e-4,1,place
V1150,-51.094,45.754,-17.584,1.3850417900152e-4,-0.00165426196799944,0.00151575778899792,2,object
V1152,-39.809,46.509,-17.586,-2.9163244885902e-4,-0.00105599880700918,0.0013476312558682,2,object
V1153,-24.762,47.516,-17.588,0.00129124731538575,-9.3986222062939e-4,-3.5138509475636e-4,3,face
V1157,31.663,51.29,-17.598,-2.6894418656791e-4,-4.128991454921e-4,6.8184333206002e-4,2,object
V1158,35.425,51.541,-17.598,-7.78039297362094e-5,0.00121088743748026,-0.00113308350774405,1,place
V1166,-40.029,50.005,-17.511,-8.1642094661855e-4,-0.00152375341415586,0.00234017436077441,2,object
V1172,31.444,54.786,-17.523,0.00150228399943953,-0.00101912336539375,-4.8316063404577e-4,3,face
V1190,23.7,57.778,-17.447,0.00128312897828879,0.00124052226691351,-0.00252365124520229,1,place
V1191,27.462,58.03,-17.447,0.00192991202917338,-9.6929884069394e-4,-9.6061318847943e-4,3,face
V1205,-17.898,58.507,-17.364,5.8442260141705e-4,9.8017194517839e-5,-6.8243979593489e-4,3,face
V1245,-37.146,64.24,-17.211,-4.3923425890841e-4,8.4024303401086e-4,-4.0100877510245e-4,1,place
V1256,15.518,67.763,-17.22,-4.8915943271663e-4,0.00110456413297654,-6.1540470025991e-4,1,place
V1257,19.279,68.014,-17.22,-7.0868030806401e-4,9.630551025614e-4,-2.5437479449738e-4,1,place
V1270,15.298,71.259,-17.144,-0.00132635013865125,0.0020271195238801,-7.0076938522884e-4,1,place
V1286,22.601,75.258,-17.07,2.8177662824083e-4,-0.00244895101081255,0.00216717438257172,2,object
V1290,-26.521,75.484,-16.987,5.333284073526e-4,-0.00259301251979921,0.00205968411244661,2,object
V1291,-22.759,75.735,-16.988,8.0834382414424e-4,0.0016921553101731,-0.00250049913431734,1,place
V1313,18.18,85.494,-16.844,-5.9757758020628e-4,0.00184646554349936,-0.00124888796329308,1,place
V1449,-48.908,10.265,-14.53,-7.4716530658533e-4,0.00168958311366446,-9.4241780707911e-4,1,place
V1453,-45.366,14.013,-14.455,0.00165077567824723,-3.3256813952975e-4,-0.00131820753871748,3,face
V1517,-51.106,45.224,-13.778,-5.2774608924719e-4,0.0015414323922435,-0.00101368630299631,1,place
V1518,-32.298,46.482,-13.781,-3.68276522778508e-5,0.00230671669607726,-0.00226988904379941,1,place
V1528,-43.803,49.224,-13.705,7.8596938805082e-4,7.4115538579664e-4,-0.00152712477384748,3,face
V1530,-24.994,50.482,-13.708,-4.890889540268e-4,-3.5744790920777e-4,8.4653686323458e-4,2,object
V1536,16.385,53.25,-13.714,1.1510228123571e-4,-6.6928124595483e-4,5.5417896471911e-4,2,object
V1547,-44.022,52.72,-13.629,8.7008577775638e-4,1.68734422138505e-5,-8.8695921997023e-4,3,face
V1548,-32.737,53.474,-13.631,3.6703686556942e-4,-8.1167985806117e-4,0.00044464299249174003,2,object
V1554,23.688,57.248,-13.64,2.65521870708959e-5,0.00213002198655419,-0.00215657417362509,1,place
V1596,15.725,63.737,-13.489,-6.3746068544932e-4,0.00120150641981965,-5.6404573437033e-4,1,place
V1598,34.534,64.995,-13.492,0.00107730882243621,4.2264316644465e-4,-0.00149995198888087,3,face
V1604,-37.158,63.71,-13.405,1.1543816504565e-4,0.00108714525290205,-0.0012025834179477,1,place
V1624,-33.616,67.459,-13.33,-5.7483345757874e-4,0.00173056941772216,-0.00115573596014341,1,place
V1630,15.286,70.729,-13.338,1.7234625972092e-4,-0.00103936224270508,8.6701598298415e-4,2,object
V1631,19.047,70.981,-13.339,-5.6990033653673e-4,-4.4278626264653e-4,0.00101268659918327,2,object
V1632,22.809,71.233,-13.34,-6.2441551540966e-4,-5.3132262136907e-4,0.00115573813677874,2,object
V1655,-49.103,73.444,-13.178,-2.3654692842253e-4,8.3351348935628e-4,-5.9696656093374e-4,1,place
V1658,-22.771,75.205,-13.182,-3.1000824195239e-4,0.0010140051533225399,-7.0399691137014e-4,1,place
V1678,25.911,81.972,-13.115,-3.8734141870673e-4,8.0820342315868e-4,-4.2086200445194e-4,1,place
V1681,-26.972,81.945,-13.031,-9.8588647946633e-4,0.00122350430540308,-2.3761782593674e-4,1,place
V1682,-23.211,82.196,-13.031,-3.4217992829054e-4,-4.5809461553119e-4,8.0027454382173e-4,2,object
V1689,18.168,84.964,-13.038,-3.1353701662564e-4,-9.2389608461041e-4,0.00123743310123606,2,object
V1757,-27.474,-30.958,-11.629,7.4090114055636e-4,-0.00103483203673088,2.9393089617451e-4,2,object
V1809,-48.481,2.7435,-10.874,0.0010229231039582,-0.00257704227306459,0.00155411916910639,2,object
V1822,-52.682,9.4838,-10.723,7.90604306607415e-5,-0.00127949761041557,0.00120043717975482,2,object
V1834,-60.645,15.973,-10.572,-3.0769007899625e-4,-7.233052330713e-4,0.00103099531206756,2,object
V1907,-51.558,51.687,-9.8221,5.7601407076865e-4,-0.00181768967304956,0.00124167560228091,2,object
V1928,23.456,60.214,-9.7597,-8.2723232058093e-5,9.5439870422272e-4,-8.7167547216463e-4,1,place
V1933,46.027,61.724,-9.7636,5.8760143529591e-4,6.3309243834314e-4,-0.00122069387363906,1,place
V1948,38.283,64.717,-9.6874,-0.00105219968105589,0.001721564245599,-6.693645645431e-4,1,place
V1955,-33.409,63.432,-9.6003,-1.5927977424718e-4,0.00133896944118082,-0.00117968966693363,1,place
V1956,-29.647,63.684,-9.6003,3.0386554480389e-4,-0.00121813044375823,9.1426489895434e-4,2,object
V1987,26.559,70.954,-9.5348,-3.5120794353781e-4,9.007327496838e-4,-5.4952480614598e-4,1,place
V1990,-52.657,69.167,-9.4467,0.00113265297460872,-4.8783766328657e-4,-6.4481531132214e-4,3,face
V2030,-45.573,76.661,-9.2973,8.3929425544749e-4,-3.6561539922423e-4,-4.7367885622326e-4,3,face
V2115,-26.827,-41.976,-8.0488,-4.6578157548206e-4,-7.5327309411172e-4,0.00121905466959378,2,object
V2208,-52.694,8.9538,-6.9177,8.0441995481606e-4,-8.9915889645165e-4,9.47389416355935e-5,2,object
V2213,-60.437,11.947,-6.8412,-3.8446376701568e-4,-4.4157912902311e-4,8.2604289603879e-4,2,object
V2263,-54.233,33.426,-6.3916,9.0061264103517e-4,-2.0117435218951e-4,-6.9943828884565e-4,3,face
V2315,-51.57,51.157,-6.0168,-4.19080343249756e-5,4.6685153297203e-4,-4.2494349864706e-4,1,place
V2334,46.014,61.194,-5.9573,-1.1089317884389e-4,-9.1199195756676e-4,0.00102288513641065,2,object
V2351,-55.991,61.393,-5.79,7.3477338580798e-4,-6.7378360443317e-4,-6.09897813748147e-5,3,face
V2352,-52.229,61.645,-5.791,-0.00123162321020258,7.0990488105655e-4,5.2171832914603e-4,1,place
V2379,26.547,70.423,-5.7286,-7.3396652565432e-4,2.9284009262874e-4,4.4112643302558e-4,1,place
V2384,-56.431,68.384,-5.6396,-0.00123722038821064,4.9047884189602e-4,7.4674154631461e-4,1,place
V2385,-52.669,68.636,-5.6406,8.0251172618121e-4,3.7514934633488e-5,-8.400266608147e-4,3,face
V2407,-52.889,72.132,-5.5652,-0.00134747476235516,0.00118200931748301,1.6546544487214e-4,1,place
V2413,-30.319,73.641,-5.5692,-7.0422777303012e-4,0.00114190163923151,-4.3767386620137e-4,1,place
V2454,-0.66455,82.646,-5.4236,-6.6564954911244e-4,5.4493408439217e-4,1.2071546472027e-4,1,place
V2627,56.603,12.225,-3.2053,-9.7167626014828e-4,3.5464127648665e-4,6.1703498366163e-4,1,place
V2711,20.33,48.415,-2.373,-1.3939600085616e-4,0.00116058072134844,-0.00102118472049228,1,place
V2756,-55.783,57.367,-2.0598,0.00171065227112532,-6.085289381439e-4,-0.00110212333298142,3,face
V2770,-56.003,60.863,-1.9846,-5.007094296184e-4,-3.1744777977553e-4,8.1815720939394e-4,2,object
V2783,-56.223,64.359,-1.9095,-3.0849234104379e-4,-0.00130941552566439,0.00161790786670819,2,object
V2831,-49.139,71.854,-1.7604,-5.7762189707991e-4,2.4280099505708e-4,3.3482090202282e-4,1,place
V3148,-51.594,50.096,1.595,-5.4350383998215e-4,-2.1350061119253e-4,7.5700445117468e-4,2,object
V3187,-48.492,60.837,1.8199,6.7050822725044e-4,-7.8064980804559e-4,1.1014158079514e-4,2,object
V3259,14.798,75.601,2.0347,-3.9918586093133e-4,-4.8559126762815e-4,8.8477712855949e-4,2,object
V3268,-38.086,75.574,2.1185,-5.688994113995e-4,-0.00138793395070654,0.00195683336210605,2,object
V3548,-51.386,46.071,5.3255,-0.00110519863204013,-1.8551261109693e-4,0.00129071124313707,2,object
V3574,-2.924,56.334,5.4677,5.9808755319125e-4,-9.0157574517505e-4,3.034881919838e-4,2,object
V3582,-48.284,56.81,5.5504,9.0597396119648e-4,-7.6742040487003e-4,-1.3855355632645e-4,3,face
V3601,0.39813,63.577,5.6173,7.998679394371e-4,-0.00169460642487967,8.9473848544257e-4,2,object
V3643,-41.64,71.297,5.8498,9.6574657843737e-4,-6.2471429704141e-4,-3.4103228139595e-4,3,face
V3681,-42.08,78.289,6,-5.0927664483376e-4,6.4806759325501e-4,-1.3879094842125e-4,1,place
V3682,-38.318,78.54,5.9993,0.00167085433159673,-6.0832640108173e-4,-0.001062527930515,3,face
V3755,-22.454,-54.331,6.9483,-4.788016890807e-4,-6.6278979189367e-4,0.00114159148097438,2,object
V3756,-18.693,-54.079,6.9473,-1.8597577315757e-4,-5.6522743481218e-4,7.5120320796976e-4,2,object
V3759,0.11586,-52.822,6.9443,2.3981796298282e-4,-0.0012015941525234,9.6177618954057e-4,2,object
V3774,-0.10393,-49.326,7.0195,7.5749048295102e-4,1.4480085292421e-4,-9.0229133587523e-4,3,face
V3785,14.723,-44.824,7.0919,6.335944771407e-4,-5.4825066039659e-4,-8.53438167441158e-5,3,face
V3941,-54.941,41.793,9.0567,-5.7417693793245e-4,9.0718653332067e-4,-3.3300959538822e-4,1,place
V3975,-25.506,54.294,9.2771,-2.6095565908201e-4,6.7473653711369e-4,-4.1378087803167e-4,1,place
V3976,-21.745,54.545,9.2765,-5.8298713961908e-4,5.4946661315386e-4,3.35205264652137e-5,1,place
V3977,-17.983,54.797,9.2758,0.00127869513169913,3.652503495187e-4,-0.00164394548121783,3,face
V4002,4.1477,63.298,9.4224,-0.00120125763785544,0.00164078507274086,-4.3952743488542e-4,1,place
V4003,7.9094,63.55,9.4217,-9.942748294514e-4,6.7328005870297e-4,3.2099477074842e-4,1,place
V4021,-3.5955,66.291,9.4987,-8.3908396343469e-4,0.00169729924950882,-8.5821528607412e-4,1,place
V4023,3.9279,66.795,9.4976,0.00108110265040235,-7.2341353020809e-4,-3.5768912019426e-4,3,face
V4124,-1.3723,91.014,10.024,-6.7851321379821e-4,-7.1643372005387e-4,0.00139494693385209,2,object
V4176,3.6457,-49.604,10.824,-8.3694760390025e-4,0.00206524477958212,-0.00122829717568187,1,place
V4187,-4.0975,-46.611,10.901,-1.0537722197283e-4,0.0017847051583701,-0.00167932793639726,1,place
V4201,-4.3173,-43.115,10.976,-7.6093284908964e-4,0.00131541276546882,-5.5447991637917e-4,1,place
V4238,-35.29,-31.144,11.281,5.9323170960187e-4,2.2370924490944e-4,-8.1694095451132e-4,3,face
V4370,-21.757,54.016,13.082,-6.7452236482353e-4,0.00203706898384722,-0.00136254661902369,1,place
V4379,-25.738,57.26,13.158,0.00113566074552865,1.3360951008109e-4,-0.00126927025560975,3,face
V4380,-18.215,57.763,13.157,-2.5658989913005e-4,0.00176000444677987,-0.00150341454764981,1,place
V4395,7.8973,63.02,13.227,-3.8459133504952e-4,0.00195013213536351,-0.00156554080031399,1,place
V4405,-44.986,62.994,13.312,6.3840065104133e-4,2.0100638317839e-5,-6.5850128935917e-4,3,face
V4406,-41.225,63.246,13.311,4.58541122130928e-5,-7.5428821309097e-4,7.0843410087788e-4,2,object
V4413,-3.6076,65.761,13.304,1.8500867746472e-4,4.9227708813016e-4,-6.7728576559489e-4,1,place
V4421,-52.729,65.987,13.388,-1.9049325892098e-4,0.00103899818350031,-8.4850492457932e-4,1,place
V4422,-48.968,66.238,13.387,-9.1113093810456e-4,0.00145970274645341,-5.4857180834884e-4,1,place
V4423,-45.206,66.49,13.387,2.1059572576272e-4,-5.7271958147837e-4,3.6212385571565e-4,2,object
V4424,-41.444,66.741,13.386,3.7322681174726e-4,0.0010718696723998,-0.00144509648414707,1,place
V4448,-15.332,71.999,13.457,-0.00132684865791161,6.53547824827e-4,6.733008330846e-4,1,place
V4467,-23.075,74.991,13.533,-3.2961722026909e-4,-3.6293061718609e-4,6.9254783745519e-4,2,object
V4479,25.827,78.262,13.525,7.4161148161488e-4,-4.0436805880374e-4,-3.3724342281113e-4,3,face
V4480,29.588,78.514,13.524,7.56845936116312e-5,4.5648822846996e-4,-5.321728220816e-4,1,place
V4487,-23.295,78.487,13.608,3.2189070922842e-4,9.3232754905234e-4,-0.00125421825828077,1,place
V4493,3.0367,80.248,13.604,4.81698511837909e-5,-0.00111958352377489,0.0010714136725911,2,object
V4590,-4.3294,-43.645,14.782,-5.0360702507656e-4,-6.1804316169171e-4,0.00112165018676828,2,object
