"","x","y","z","face","place","object","cluster","category"
"V3",-38.687,1.71,-37.968,2.8562466016565,-8.3401518701955,5.483905268539,1,"face"
"V20",-23.606,-7.2946,-34.608,10.5830680653625,-27.1437339100519,16.5606658446894,2,"object"
"V27",-23.622,-3.0694,-34.123,-3.73190229048,-8.6795540482258,12.4114563387059,2,"object"
"V31",36.801,-2.048,-31.898,1.3223027271251,-9.276420971205,7.9541182440799,2,"object"
"V34",-23.637,1.1558,-33.639,-1.1806246542049,-17.6899295388832,18.8705541930882,2,"object"
"V37",36.786,2.1777,-31.413,12.5630028967669,-6.8927517867071,-5.6702511100597,1,"face"
"V42",-27.428,5.3172,-33.294,7.3937813655722,-4.4962111074201,-2.897570258152,1,"face"
"V59",48.085,10.82,-30.028,13.4062320688167,-0.32547163414834,-13.0807604346684,1,"face"
"V96",32.969,-2.9213,-28.264,10.1103556236522,-3.2728901719025,-6.8374654517496,1,"face"
"V242",-46.43,-10.108,-24.123,-5.3896135886346,8.0300137219347,-2.6404001333,1,"face"
"V269",-61.627,14.989,-21.773,-5.6735559760009,7.4984222327152,-1.8248662567143,1,"face"
"V301",-61.702,36.115,-19.351,-7.7527310354451,5.0368537397605,2.7158772956846,1,"face"
"V330",28.901,46.1,-15.045,-2.4822891133414,11.4659955078864,-8.9837063945449,3,"place"
"V335",-50.419,48.983,-17.482,13.1732826039561,-11.53294654485,-1.6403360591061,1,"face"
"V336",-39.089,49.175,-17.064,11.333130166934,3.1287495751299,-14.461879742064,1,"face"
"V345",-50.434,53.208,-16.997,14.6415999457124,-6.4212067195037,-8.2203932262085,1,"face"
"V346",-46.657,53.272,-16.858,-1.1990796484273,-20.4862276824418,21.6853073308692,2,"object"
"V347",36.423,54.678,-13.798,-3.5664991326278,8.4766563284046,-4.9101571957767,1,"face"
"V348",40.2,54.742,-13.659,-7.0443405006249,-7.4796718769163,14.5240123775414,2,"object"
"V352",-50.449,57.434,-16.513,15.1800531076578,-3.2522168193163,-11.9278362883415,1,"face"
"V353",-46.672,57.498,-16.374,0.00520478912514317,-12.4374905798362,12.432285790711,2,"object"
