"","x","y","z","face","place","object","cluster","category"
"V78",-15.449,-12.903,-32.775,12.4839329983427,-2.7023288059741,-9.7816041923685,1,"face"
"V82",-46.522,-10.19,-33.231,-2.8583261829434,-6.7470688490275,9.6053950319709,2,"object"
"V131",-25.409,-24.693,-28.62,-0.742469277856367,-3.355896283819,4.0983655616753,2,"object"
"V168",44.35,0.53167,-28.234,12.9214847948045,-5.7875296020296,-7.1339551927748,1,"face"
"V314",-47.869,31.447,-26.011,9.3775448031664,-4.9479168786339,-4.4296279245325,1,"face"
"V325",31.948,38.032,-25.115,5.6864958398188,-2.3726482052511,-3.3138476345676,1,"face"
"V333",31.466,41.814,-25.198,-2.536325243683,-8.6617349026128,11.1980601462959,2,"object"
"V341",30.984,45.595,-25.282,-1.184583495704,-11.4921570611406,12.6767405568446,2,"object"
"V419",54.025,15.967,-20.338,-0.882812792727633,-9.1309076238698,10.0137204165975,2,"object"
"V425",53.543,19.749,-20.421,-7.3978284442224,4.0913303649931,3.3064980792293,3,"place"
"V441",-40.638,35.45,-21.957,-2.6209444016023,-7.2089553214628,9.8298997230652,2,"object"
"V447",-44.944,39.098,-22.086,11.8434411742189,-7.227782023788,-4.6156591504307,1,"face"
"V448",-37.296,39.365,-21.993,2.6809840456866,4.5985489697443,-7.2795330154309,1,"face"
"V452",31.532,41.769,-21.154,2.3696812810877,-6.2793437359123,3.9096624548246,2,"object"
"V457",-41.602,43.013,-22.123,7.5411799420546,-24.2247582647788,16.6835783227241,2,"object"
"V460",31.05,45.55,-21.237,16.0506311428334,-6.6741142469614,-9.3765168958719,1,"face"
"V464",50.168,46.218,-21.004,-3.6904993261651,7.0071792021984,-3.3166798760333,3,"place"
"V4681",-42.084,46.794,-22.206,8.3487767851643,-2.169556859589,-6.1792199255753,1,"face"
"V469",-38.26,46.928,-22.16,5.6321500022806,-8.5581767408746,2.9260267385939,2,"object"
"V471",26.744,49.198,-21.367,-2.2515615691641,-4.747157777583,6.9987193467471,2,"object"
"V4721",34.391,49.465,-21.274,-10.6501682957664,-2.7344824154618,13.3846507112283,2,"object"
"V4821",18.614,52.712,-21.543,-6.42746045982,11.5556583841451,-5.1281979243249,3,"place"
"V5171",32.945,60.809,-21.523,-2.8093475199714,-16.8085317552065,19.6178792751779,2,"object"
"V5342",28.639,64.456,-21.653,-11.7090671570514,-5.2727833573428,16.9818505143942,2,"object"
"V628",25.429,-0.27106,-16.333,-12.1964338801327,-3.6406548257402,15.837088705873,2,"object"
"V635",2.0045,2.7091,-16.696,0.937675732174732,-7.7336971200313,6.7960213878566,2,"object"
"V692",-44.878,39.053,-18.042,14.5915123238127,-12.5123003534517,-2.0792119703609,2,"object"
"V698",-45.36,42.834,-18.125,-2.4837438057165,-4.6925438995973,7.1762877053138,2,"object"
"V706",-45.842,46.616,-18.208,-0.373559944052099,-10.0943817737267,10.4679417177788,2,"object"
"V707",-42.018,46.749,-18.162,-6.0831574102797,-1.8447823725567,7.9279397828364,2,"object"
