"","x","y","z","face","place","object","cluster","category"
"V571",19.974,0.49402,-37.751,1.8043424640921,16.9022213513968,-18.706563815489,1,"place"
"V80",34.361,11.988,-37.528,-0.381685828604702,-4.9922865533945,5.3739723819992,2,"object"
"V209",-23.872,-24.561,-30.583,13.182192650598,-6.0856388008388,-7.0965538497591,3,"face"
"V410",50.471,-6.0748,-26.489,3.0727754209657,6.1913164256921,-9.2640918466579,1,"place"
"V5601",39.65,45.861,-25.361,11.4615884187505,-2.352131224393,-9.1094571943575,3,"face"
"V568",-47.088,43.57,-25.271,11.0441877872208,-2.9891982631263,-8.0549895240944,3,"face"
"V6493",-10.57,63.566,-24.902,-8.2260432309376,-4.7612467441207,12.9872899750584,2,"object"
"V7181",50.239,-3.1088,-22.609,12.4171927076566,-7.1199224893608,-5.2972702182958,3,"face"
"V799",-23.651,30.566,-21.77,12.3708741833571,-6.5959732280087,-5.7749009553483,3,"face"
"V8391",-50.862,42.788,-21.465,8.5541107673406,-6.8211342588921,-1.7329765084485,3,"face"
"V8401",-47.101,43.04,-21.466,-4.9097182707592,-4.078234866139,8.9879531368982,2,"object"
"V846",35.657,48.576,-21.48,-9.4710094644246,-13.8832942970932,23.3543037615178,2,"object"
"V8553",-47.32,46.536,-21.391,8.3987088349683,-0.0999267708899811,-8.2987820640783,3,"face"
"V8561",-39.797,47.04,-21.391,-7.3009433719847,-0.605281875179145,7.9062252471638,2,"object"
"V8581",-28.512,47.794,-21.393,0.829526269488655,9.4560758587001,-10.2856021281888,1,"place"
"V8622",35.437,52.071,-21.404,5.4868375836902,6.7576752127027,-12.244512796393,1,"place"
"V8701",-40.017,50.535,-21.316,7.5620393377386,2.0910906049848,-9.6531299427235,3,"face"
"V8781",23.932,54.812,-21.327,-11.0105653358901,6.6174330064408,4.3931323294493,1,"place"
"V881",35.217,55.567,-21.329,-7.3412240245832,2.3810620558854,4.9601619686978,1,"place"
"V899",23.712,58.308,-21.252,9.9280379381079,6.1008342980407,-16.0288722361488,3,"face"
"V10281",50.227,-3.6388,-18.802,3.8881902865726,2.2902878878017,-6.1784781743744,1,"place"
"V1143",35.645,48.045,-17.673,-11.1714644117577,5.3237326948118,5.8477317169458,1,"place"
"V1150",-51.094,45.754,-17.584,1.3850417900152,-16.5426196799944,15.1575778899792,2,"object"
"V11522",-39.809,46.509,-17.586,-2.9163244885902,-10.5599880700918,13.476312558682,2,"object"
"V11533",-24.762,47.516,-17.588,12.9124731538575,-9.3986222062939,-3.5138509475636,3,"face"
"V1157",31.663,51.29,-17.598,-2.6894418656791,-4.128991454921,6.8184333206002,2,"object"
"V1158",35.425,51.541,-17.598,-0.778039297362094,12.1088743748026,-11.3308350774405,1,"place"
"V1166",-40.029,50.005,-17.511,-8.1642094661855,-15.2375341415586,23.4017436077441,2,"object"
"V1172",31.444,54.786,-17.523,15.0228399943953,-10.1912336539375,-4.8316063404577,3,"face"
"V1190",23.7,57.778,-17.447,12.8312897828879,12.4052226691351,-25.2365124520229,1,"place"
"V11912",27.462,58.03,-17.447,19.2991202917338,-9.6929884069394,-9.6061318847943,3,"face"
"V12051",-17.898,58.507,-17.364,5.8442260141705,0.98017194517839,-6.8243979593489,3,"face"
"V12452",-37.146,64.24,-17.211,-4.3923425890841,8.4024303401086,-4.0100877510245,1,"place"
"V12561",15.518,67.763,-17.22,-4.8915943271663,11.0456413297654,-6.1540470025991,1,"place"
"V1257",19.279,68.014,-17.22,-7.0868030806401,9.630551025614,-2.5437479449738,1,"place"
"V12701",15.298,71.259,-17.144,-13.2635013865125,20.271195238801,-7.0076938522884,1,"place"
"V12862",22.601,75.258,-17.07,2.8177662824083,-24.4895101081255,21.6717438257172,2,"object"
"V1290",-26.521,75.484,-16.987,5.333284073526,-25.9301251979921,20.5968411244661,2,"object"
"V1291",-22.759,75.735,-16.988,8.0834382414424,16.921553101731,-25.0049913431734,1,"place"
"V1313",18.18,85.494,-16.844,-5.9757758020628,18.4646554349936,-12.4888796329308,1,"place"
"V14491",-48.908,10.265,-14.53,-7.4716530658533,16.8958311366446,-9.4241780707911,1,"place"
"V1453",-45.366,14.013,-14.455,16.5077567824723,-3.3256813952975,-13.1820753871748,3,"face"
"V15171",-51.106,45.224,-13.778,-5.2774608924719,15.414323922435,-10.1368630299631,1,"place"
"V15182",-32.298,46.482,-13.781,-0.368276522778508,23.0671669607726,-22.6988904379941,1,"place"
"V1528",-43.803,49.224,-13.705,7.8596938805082,7.4115538579664,-15.2712477384748,3,"face"
"V1530",-24.994,50.482,-13.708,-4.890889540268,-3.5744790920777,8.4653686323458,2,"object"
"V1536",16.385,53.25,-13.714,1.1510228123571,-6.6928124595483,5.5417896471911,2,"object"
"V1547",-44.022,52.72,-13.629,8.7008577775638,0.168734422138505,-8.8695921997023,3,"face"
"V1548",-32.737,53.474,-13.631,3.6703686556942,-8.1167985806117,4.4464299249174,2,"object"
"V15541",23.688,57.248,-13.64,0.265521870708959,21.3002198655419,-21.5657417362509,1,"place"
"V15961",15.725,63.737,-13.489,-6.3746068544932,12.0150641981965,-5.6404573437033,1,"place"
"V15981",34.534,64.995,-13.492,10.7730882243621,4.2264316644465,-14.9995198888087,3,"face"
"V1604",-37.158,63.71,-13.405,1.1543816504565,10.8714525290205,-12.025834179477,1,"place"
"V16241",-33.616,67.459,-13.33,-5.7483345757874,17.3056941772216,-11.5573596014341,1,"place"
"V16301",15.286,70.729,-13.338,1.7234625972092,-10.3936224270508,8.6701598298415,2,"object"
"V16311",19.047,70.981,-13.339,-5.6990033653673,-4.4278626264653,10.1268659918327,2,"object"
"V1632",22.809,71.233,-13.34,-6.2441551540966,-5.3132262136907,11.5573813677874,2,"object"
"V1655",-49.103,73.444,-13.178,-2.3654692842253,8.3351348935628,-5.9696656093374,1,"place"
"V1658",-22.771,75.205,-13.182,-3.1000824195239,10.1400515332253,-7.0399691137014,1,"place"
"V1678",25.911,81.972,-13.115,-3.8734141870673,8.0820342315868,-4.2086200445194,1,"place"
"V1681",-26.972,81.945,-13.031,-9.8588647946633,12.2350430540308,-2.3761782593674,1,"place"
"V1682",-23.211,82.196,-13.031,-3.4217992829054,-4.5809461553119,8.0027454382173,2,"object"
"V16891",18.168,84.964,-13.038,-3.1353701662564,-9.2389608461041,12.3743310123606,2,"object"
"V1757",-27.474,-30.958,-11.629,7.4090114055636,-10.3483203673088,2.9393089617451,2,"object"
"V18091",-48.481,2.7435,-10.874,10.229231039582,-25.7704227306459,15.5411916910639,2,"object"
"V18221",-52.682,9.4838,-10.723,0.790604306607415,-12.7949761041557,12.0043717975482,2,"object"
"V18342",-60.645,15.973,-10.572,-3.0769007899625,-7.233052330713,10.3099531206756,2,"object"
"V1907",-51.558,51.687,-9.8221,5.7601407076865,-18.1768967304956,12.4167560228091,2,"object"
"V1928",23.456,60.214,-9.7597,-0.82723232058093,9.5439870422272,-8.7167547216463,1,"place"
"V1933",46.027,61.724,-9.7636,5.8760143529591,6.3309243834314,-12.2069387363906,1,"place"
"V1948",38.283,64.717,-9.6874,-10.5219968105589,17.21564245599,-6.693645645431,1,"place"
"V1955",-33.409,63.432,-9.6003,-1.5927977424718,13.3896944118082,-11.7968966693363,1,"place"
"V1956",-29.647,63.684,-9.6003,3.0386554480389,-12.1813044375823,9.1426489895434,2,"object"
"V19871",26.559,70.954,-9.5348,-3.5120794353781,9.007327496838,-5.4952480614598,1,"place"
"V1990",-52.657,69.167,-9.4467,11.3265297460872,-4.8783766328657,-6.4481531132214,3,"face"
"V2030",-45.573,76.661,-9.2973,8.3929425544749,-3.6561539922423,-4.7367885622326,3,"face"
"V21151",-26.827,-41.976,-8.0488,-4.6578157548206,-7.5327309411172,12.1905466959378,2,"object"
"V2208",-52.694,8.9538,-6.9177,8.0441995481606,-8.9915889645165,0.947389416355935,2,"object"
"V22131",-60.437,11.947,-6.8412,-3.8446376701568,-4.4157912902311,8.2604289603879,2,"object"
"V22631",-54.233,33.426,-6.3916,9.0061264103517,-2.0117435218951,-6.9943828884565,3,"face"
"V2315",-51.57,51.157,-6.0168,-0.419080343249756,4.6685153297203,-4.2494349864706,1,"place"
"V23341",46.014,61.194,-5.9573,-1.1089317884389,-9.1199195756676,10.2288513641065,2,"object"
"V23512",-55.991,61.393,-5.79,7.3477338580798,-6.7378360443317,-0.609897813748147,3,"face"
"V2352",-52.229,61.645,-5.791,-12.3162321020258,7.0990488105655,5.2171832914603,1,"place"
"V2379",26.547,70.423,-5.7286,-7.3396652565432,2.9284009262874,4.4112643302558,1,"place"
"V2384",-56.431,68.384,-5.6396,-12.3722038821064,4.9047884189602,7.4674154631461,1,"place"
"V2385",-52.669,68.636,-5.6406,8.0251172618121,0.37514934633488,-8.400266608147,3,"face"
"V2407",-52.889,72.132,-5.5652,-13.4747476235516,11.8200931748301,1.6546544487214,1,"place"
"V2413",-30.319,73.641,-5.5692,-7.0422777303012,11.4190163923151,-4.3767386620137,1,"place"
"V2454",-0.66455,82.646,-5.4236,-6.6564954911244,5.4493408439217,1.2071546472027,1,"place"
"V2627",56.603,12.225,-3.2053,-9.7167626014828,3.5464127648665,6.1703498366163,1,"place"
"V27111",20.33,48.415,-2.373,-1.3939600085616,11.6058072134844,-10.2118472049228,1,"place"
"V2756",-55.783,57.367,-2.0598,17.1065227112532,-6.085289381439,-11.0212333298142,3,"face"
"V2770",-56.003,60.863,-1.9846,-5.007094296184,-3.1744777977553,8.1815720939394,2,"object"
"V2783",-56.223,64.359,-1.9095,-3.0849234104379,-13.0941552566439,16.1790786670819,2,"object"
"V2831",-49.139,71.854,-1.7604,-5.7762189707991,2.4280099505708,3.3482090202282,1,"place"
"V31481",-51.594,50.096,1.595,-5.4350383998215,-2.1350061119253,7.5700445117468,2,"object"
"V3187",-48.492,60.837,1.8199,6.7050822725044,-7.8064980804559,1.1014158079514,2,"object"
"V32592",14.798,75.601,2.0347,-3.9918586093133,-4.8559126762815,8.8477712855949,2,"object"
"V32681",-38.086,75.574,2.1185,-5.688994113995,-13.8793395070654,19.5683336210605,2,"object"
"V35482",-51.386,46.071,5.3255,-11.0519863204013,-1.8551261109693,12.9071124313707,2,"object"
"V3574",-2.924,56.334,5.4677,5.9808755319125,-9.0157574517505,3.034881919838,2,"object"
"V35821",-48.284,56.81,5.5504,9.0597396119648,-7.6742040487003,-1.3855355632645,3,"face"
"V36012",0.39813,63.577,5.6173,7.998679394371,-16.9460642487967,8.9473848544257,2,"object"
"V3643",-41.64,71.297,5.8498,9.6574657843737,-6.2471429704141,-3.4103228139595,3,"face"
"V3681",-42.08,78.289,6,-5.0927664483376,6.4806759325501,-1.3879094842125,1,"place"
"V36821",-38.318,78.54,5.9993,16.7085433159673,-6.0832640108173,-10.62527930515,3,"face"
"V3755",-22.454,-54.331,6.9483,-4.788016890807,-6.6278979189367,11.4159148097438,2,"object"
"V3756",-18.693,-54.079,6.9473,-1.8597577315757,-5.6522743481218,7.5120320796976,2,"object"
"V3759",0.11586,-52.822,6.9443,2.3981796298282,-12.015941525234,9.6177618954057,2,"object"
"V37741",-0.10393,-49.326,7.0195,7.5749048295102,1.4480085292421,-9.0229133587523,3,"face"
"V3785",14.723,-44.824,7.0919,6.335944771407,-5.4825066039659,-0.853438167441158,3,"face"
"V3941",-54.941,41.793,9.0567,-5.7417693793245,9.0718653332067,-3.3300959538822,1,"place"
"V3975",-25.506,54.294,9.2771,-2.6095565908201,6.7473653711369,-4.1378087803167,1,"place"
"V39761",-21.745,54.545,9.2765,-5.8298713961908,5.4946661315386,0.335205264652137,1,"place"
"V3977",-17.983,54.797,9.2758,12.7869513169913,3.652503495187,-16.4394548121783,3,"face"
"V40021",4.1477,63.298,9.4224,-12.0125763785544,16.4078507274086,-4.3952743488542,1,"place"
"V4003",7.9094,63.55,9.4217,-9.942748294514,6.7328005870297,3.2099477074842,1,"place"
"V40211",-3.5955,66.291,9.4987,-8.3908396343469,16.9729924950882,-8.5821528607412,1,"place"
"V4023",3.9279,66.795,9.4976,10.8110265040235,-7.2341353020809,-3.5768912019426,3,"face"
"V4124",-1.3723,91.014,10.024,-6.7851321379821,-7.1643372005387,13.9494693385209,2,"object"
"V4176",3.6457,-49.604,10.824,-8.3694760390025,20.6524477958212,-12.2829717568187,1,"place"
"V4187",-4.0975,-46.611,10.901,-1.0537722197283,17.847051583701,-16.7932793639726,1,"place"
"V4201",-4.3173,-43.115,10.976,-7.6093284908964,13.1541276546882,-5.5447991637917,1,"place"
"V42381",-35.29,-31.144,11.281,5.9323170960187,2.2370924490944,-8.1694095451132,3,"face"
"V43701",-21.757,54.016,13.082,-6.7452236482353,20.3706898384722,-13.6254661902369,1,"place"
"V4379",-25.738,57.26,13.158,11.3566074552865,1.3360951008109,-12.6927025560975,3,"face"
"V4380",-18.215,57.763,13.157,-2.5658989913005,17.6000444677987,-15.0341454764981,1,"place"
"V43951",7.8973,63.02,13.227,-3.8459133504952,19.5013213536351,-15.6554080031399,1,"place"
