"","x","y","z","face","place","object","cluster","category"
"V2498",50.921,51.281,29.026,-3.1626738218158,2.6436555144784,0.51901830733737,2,"place"
"V25001",-54.493,57.483,25.458,-9.1019952225081,7.0133404040129,2.0886548184952,2,"place"
"V2505",-51.187,61.646,26.201,-6.4428781225568,-0.827912350622307,7.2707904731791,2,"place"
"V2517",4.7243,64.82,29.031,8.7026792859391,0.169972203214969,-8.8726514891542,1,"face"
"V2528",-2.4913,69.18,29.357,7.7843546293179,0.858298035080309,-8.6426526643982,1,"face"
"V2589",37.969,-46.499,18.118,-7.5644698753833,5.1281788890613,2.436290986322,2,"place"
"V2590",-42.895,-40.757,15.522,-9.3976521780532,10.2994305287597,-0.901778350706463,2,"place"
"V2620",-43.702,-23.845,17.939,8.0722309691828,-0.535657220964575,-7.5365737482182,1,"face"
"V2644",49.78,-0.25474,25.32,2.7948555899502,-0.535250920579566,-2.2596046693706,1,"face"
"V2660",52.078,25.047,29.085,4.8103982474226,-0.611755146248036,-4.1986431011745,1,"face"
"V2670",-50.231,39.64,26.863,2.6238532648373,1.193459849068,-3.8173131139054,1,"face"
"V2678",-53.94,43.934,27.329,2.0661595198128,-0.0837043906215348,-1.9824551291913,1,"face"
"V2728",39.542,67.524,34.709,8.7446843000228,-8.8832616035767,0.138577303553903,1,"face"
"V2740",18.298,72.147,34.479,4.5310315603248,-6.0893793040281,1.5583477437033,1,"face"
"V2750",18.096,76.375,35.083,12.7442595008673,-8.2563773959828,-4.4878821048844,1,"face"
"V2773",23.889,-47.102,21.244,-4.8679754734114,9.1468321861654,-4.2788567127539,2,"place"
"V2776",-32.426,-41.82,19.623,4.7945251777207,-11.3213422807568,6.526817103036,3,"object"
"V2803",-43.753,-24.711,21.622,-11.126061464561,11.8412597683604,-0.71519830379944,2,"place"
"V2837",35.297,7.5987,29.655,-10.1821891244858,22.742373057402,-12.5601839329162,2,"place"
"V29421",20.733,-56.357,23.58,2.5586733350023,-11.3673668370271,8.8086935020247,3,"object"
"V2944",-18.046,-51.406,22.654,2.6722799816042,-6.4720697735061,3.7997897919018,1,"face"
"V2950",-28.769,-46.98,22.841,4.8624322025155,-4.2283377062929,-0.634094496222546,1,"face"
"V2952",-18.248,-47.177,23.258,0.542783793408752,-5.1596675398826,4.6168837464738,1,"face"
"V2957",-25.464,-42.818,23.585,1.8124751394074,-14.2891135793199,12.4766384399124,3,"object"
"V3025",35.85,-5.9508,31.526,10.2763926835749,-16.9679721506903,6.6915794671153,3,"object"
"V3031",38.954,2.4392,32.874,6.1421216769692,-0.497817631514076,-5.6443040454551,1,"face"
"V3052",44.961,23.448,36.173,-0.723082723858518,-13.6779837792598,14.4010665031183,3,"object"
"V3055",-53.439,29.518,32.882,3.0940884011234,-1.402987006706,-1.6911013944174,1,"face"
"V3062",-46.626,33.614,33.765,-2.7198885246755,-1.9306666694145,4.6505551940901,1,"face"
"V3065",-4.5414,32.825,35.434,4.6239395493702,-2.2241151473199,-2.3998244020503,1,"face"
"V3113",46.856,57.206,41.146,9.7583242014006,-8.4226864735334,-1.3356377278671,1,"face"
"V3149",-32.529,-43.552,26.989,-4.8441413944487,-2.9594776686015,7.8036190630503,3,"object"
"V3153",23.584,-44.605,29.215,1.9820642688521,-8.0591983165382,6.0771340476861,3,"object"
"V3160",5.8468,-40.048,29.124,-7.2337874652303,-4.6563119588078,11.8900994240382,3,"object"
"V3274",-1.6906,44.577,41.069,7.9921223611517,-7.0300850837698,-0.962037277381805,1,"face"
"V3301",47.005,52.112,44.224,6.2997530875823,-3.8170046734747,-2.4827484141076,1,"face"
"V3346",-8.2331,-40.65,32.251,-0.984885880971505,9.6803851970512,-8.6954993160796,2,"place"
"V3348",5.7951,-40.914,32.807,2.2208088495558,-11.6992427421685,9.4784338926126,3,"object"
"V3349",12.809,-41.045,33.085,7.9133568389821,1.1036700133476,-9.0170268523298,1,"face"
"V3354",-4.9276,-36.489,32.994,-1.5704749727228,-4.1287738764907,5.6992488492135,1,"face"
"V3364",-22.664,-31.931,32.902,1.5870919451583,6.2030671977273,-7.7901591428856,2,"place"
"V3374",-5.3306,-28.032,34.202,-10.6664233539005,13.2018052363326,-2.535381882432,2,"place"
"V3389",40.06,-24.66,36.615,-5.9865602444888,-4.5396811252649,10.5262413697538,3,"object"
"V3394",18.816,-20.037,36.384,1.4384300135908,3.4879784548549,-4.9264084684457,1,"face"
"V3395",22.323,-20.103,36.524,9.9816318422171,-6.4849686354464,-3.4966632067706,1,"face"
"V3396",29.337,-20.235,36.802,3.4964891448469,-0.930798757559018,-2.5656903872879,1,"face"
"V3399",-26.978,-14.953,35.18,2.0983244851126,-0.570309649933635,-1.5280148351789,1,"face"
"V3400",18.614,-15.809,36.989,-5.414444360604,3.4939398329015,1.9205045277024,2,"place"
"V3407",-6.1367,-11.12,36.619,11.6742918016549,-6.6715778254348,-5.00271397622,1,"face"
"V3415",25.225,-7.4849,38.475,-2.0055964930235,1.7639325036161,0.241663989407434,2,"place"
"V3421",25.024,-3.257,39.08,-6.2538309543446,6.9251106269934,-0.671279672648756,2,"place"
"V3439",-10.651,10.085,39.502,-3.8526038936329,2.2382270605156,1.6143768331172,2,"place"
"V3467",27.12,26.273,43.448,5.1559152553303,0.276071062675775,-5.4319863180061,1,"face"
"V35021",-2.1453,52.167,45.961,-14.4234004923786,11.2291363671862,3.1942641251924,2,"place"
"V35161",-13.07,60.821,46.751,5.885870955998,1.627373579587,-7.513244535585,1,"face"
"V3528",5.945,-46.008,35.886,-14.5587810642245,4.3532459471668,10.2055351170577,2,"place"
"V3529",-22.313,-41.253,35.377,-6.7185108244633,10.7814006117161,-4.0628897872527,2,"place"
"V35461",1.6318,-29.03,38.164,4.4264675817311,0.138539218456012,-4.5650068001871,1,"face"
"V3562",18.764,-20.903,40.068,7.3608438294839,-5.9440173652613,-1.4168264642226,1,"face"
"V3569",18.563,-16.675,40.672,9.7333586277291,2.9890972550261,-12.7224558827552,1,"face"
"V3573",-27.231,-11.591,39.468,3.5909001970533,-1.8500904226528,-1.7408097744004,1,"face"
"V3578",28.681,-8.4162,42.297,10.898810627799,-1.5546497777506,-9.3441608500483,1,"face"
"V3625",48.313,20.784,47.362,4.9168642392472,-8.6381392033063,3.7212749640591,1,"face"
"V3634",48.111,25.013,47.965,2.700980066795,-0.94767164714526,-1.7533084196497,1,"face"
"V3650",-43.677,39.408,46.162,3.4771955031523,1.4043889131874,-4.8815844163398,1,"face"
"V3699",-19.261,-33.728,40.408,-0.917141826057774,-2.0797487232462,2.996890549304,1,"face"
"V3703",-22.969,-29.434,40.874,2.1526683341373,6.8083563237849,-8.9610246579222,2,"place"
"V37061",1.5801,-29.895,41.847,-8.4252347928373,-0.167040576082403,8.5922753689197,2,"place"
"V3724",-19.865,-21.044,42.221,-2.9043641253926,-4.5800517412509,7.4844158666435,1,"face"
"V3728",18.712,-21.769,43.751,-0.539541509991157,-3.2051975922145,3.7447391022057,1,"face"
"V3738",-30.79,-12.391,43.012,0.330457749489544,-3.6973316154283,3.3668738659388,1,"face"
"V3739",-27.283,-12.457,43.151,3.7057364150955,-5.6613288002063,1.9555923851107,1,"face"
"V3746",-27.484,-8.2288,43.755,-2.5728539213459,13.6239618009007,-11.0511078795547,2,"place"
"V3749",14.601,-9.0189,45.425,-4.3650915729064,10.9943532223336,-6.6292616494272,2,"place"
"V3772",17.503,3.599,47.376,13.7132240173749,-7.5264014471712,-6.1868225702036,1,"face"
"V3776",13.795,7.8927,47.842,8.3322169165176,-8.6846869040365,0.352469987518831,1,"face"
"V3804",20.204,20.446,49.932,19.9726037025626,-17.6538747443867,-2.3187289581759,1,"face"
"V3811",-50.139,25.99,47.754,8.6729282803512,-2.1141473186348,-6.5587809617164,1,"face"
"V3844",37.135,32.8,52.44,2.3323270789527,2.9033231162469,-5.2356501951997,1,"face"
"V3873",1.2583,50.371,53.466,8.4139012087194,-0.105957382962123,-8.3079438257573,1,"face"
"V38801",1.0568,54.598,54.07,15.6255635226196,-2.7293449729083,-12.8962185497112,1,"face"
"V3918",11.042,-9.8187,48.969,7.3142539229594,-18.3395840237549,11.0253301007955,3,"object"
"V3930",-20.925,-0.77017,48.925,3.9719176343514,-1.9524686056477,-2.0194490287036,1,"face"
"V3992",37.285,27.707,55.519,-1.2450602728253,-8.442603048855,9.6876633216803,3,"object"
"V4002",37.083,31.934,56.124,-1.2514143544644,-2.593449737831,3.8448640922955,1,"face"
"V4037",-12.955,-22.907,49.865,-7.4241393396781,6.8160708650752,0.608068474602916,2,"place"
"V4041",7.8863,-19.074,51.304,2.8449262825526,-14.4908414785527,11.645915196,3,"object"
"V4127",-12.269,36.218,58.463,-6.9362528843057,-0.162756946943329,7.099009831249,2,"place"
"V4169",-15.828,35.419,62.007,0.025894005623432,9.4413034628755,-9.4671974684989,2,"place"
