"","x","y","z","face","place","object","cluster","category"
"V95",-26.084,24.761,-24.815,11.3810378139213,15.9444996436092,-27.3255374575305,1,"face"
"V211",37.448,32.83,-15.974,31.5811617338064,-6.0279964113191,-25.5531653224872,1,"face"
"V233",-37.923,41.582,-19.516,3.6371710465412,10.5975973058319,-14.2347683523732,1,"face"
"V256",34.98,-11.821,-19.251,1.703837338197,19.1177895014065,-20.8216268396035,1,"face"
"V257",38.732,-11.714,-18.992,-2.6219693760131,9.6687097348112,-7.0467403587981,1,"face"
"V278",30.899,-1.0417,-17.904,-7.091448880365,10.4883647155658,-3.3969158352006,2,"place"
"V287",30.789,2.5866,-17.368,11.3872925949685,-2.6113710688756,-8.7759215260929,1,"face"
"V388",37.085,42.714,-10.972,5.5665692566016,-11.5828359387586,6.0162666821568,3,"object"
"V4021",33.223,46.236,-10.694,-2.2384075223101,-12.7593301074871,14.9977376297973,3,"object"
"V423",33.003,53.493,-9.6242,3.3860225641104,-14.532569544913,11.1465469808026,3,"object"
"V506",-44.834,17.594,-16.443,-13.3690080092985,-1.9163030638824,15.285311073181,3,"object"
"V512",-44.944,21.223,-15.909,9.7793406831753,-6.7962203430919,-2.9831203400833,1,"face"
"V524",33.629,30.721,-9.4356,7.3178523210533,-3.6826162940686,-3.6352360269847,1,"face"
"V550",-30.485,39.792,-12.205,-14.3463019837151,5.1398716073204,9.2064303763946,2,"place"
"V5511",-19.229,40.112,-11.433,-5.9483013448985,-4.3353951648387,10.2836965097373,3,"object"
"V556",40.804,41.819,-7.3169,-14.3947565648513,12.0249197519328,2.3698368129185,2,"place"
"V560",-26.843,43.527,-11.414,-9.8815012829057,18.7497455958947,-8.8682443129889,2,"place"
"V589",36.722,52.599,-5.9699,6.8919939275013,-20.334088356867,13.4420944293656,3,"object"
"V617",-38.648,61.35,-9.5114,-11.6780393381098,21.0686972564807,-9.3906579183708,2,"place"
"V6281",32.641,63.378,-4.6219,-11.0180033483263,24.9675793278879,-13.9495759795616,2,"place"
"V629",-38.758,64.979,-8.977,-13.8055505868144,2.2165696721188,11.5889809146955,2,"place"
"V641",32.531,67.006,-4.0878,14.1998338850403,-15.3250524845459,1.1252185995055,1,"face"
"V647",-38.977,72.236,-7.9075,-9.8987528417461,-13.2895898197027,23.1883426614489,3,"object"
"V675",38.666,-13.718,-12.197,8.5937008137902,6.6490844719771,-15.2427852857673,1,"face"
"V681",42.308,-9.9826,-11.405,0.397204181957126,10.3245921130739,-10.721796295031,1,"face"
"V695",-33.062,-1.2304,-14.947,1.4068258515854,4.095098835178,-5.5019246867634,1,"face"
"V6981",15.715,0.15642,-11.602,-4.0225296359786,-10.1323970826278,14.1549267186064,3,"object"
"V703",15.605,3.785,-11.067,-5.0385034551734,4.5199612551649,0.518542200008491,2,"place"
"V7891",-30.737,46.047,-7.7382,19.4578220212294,-1.7092797088494,-17.74854231238,1,"face"
"V802",-30.847,49.676,-7.2028,19.9798980121252,-4.4360175594071,-15.543880452718,1,"face"
"V803",-27.095,49.782,-6.9459,20.3220112256076,-0.848400150558655,-19.473611075049,1,"face"
"V8061",29.185,51.383,-3.0857,-8.7604241086058,-14.7776593866586,23.5380834952645,3,"object"
"V824",25.323,54.905,-2.8082,3.6491214867962,-20.7026363370217,17.0535148502255,3,"object"
"V825",36.58,55.226,-2.0361,18.4572127755069,-5.6355639814706,-12.8216487940362,1,"face"
"V857",25.104,62.162,-1.7387,14.2737901109844,9.6772299681869,-23.9510200791714,1,"face"
"V858",-42.543,63.87,-5.8356,4.324224446977,-40.2316698125386,35.9074453655615,3,"object"
"V8691",21.242,65.684,-1.4616,-10.8590767926895,-6.795161159194,17.6542379518836,3,"object"
"V870",24.994,65.791,-1.2043,-5.1722439754567,13.3718418568061,-8.1995978813493,2,"place"
"V872",-46.405,67.392,-5.5584,-7.637770726754,10.9361056209557,-3.2983348942016,2,"place"
"V946",42.275,-10.984,-8.0071,-11.4680716053598,-4.5966342563818,16.0647058617417,3,"object"
"V9971",56.295,22.1,-2.165,8.8856042750913,-27.6349556804502,18.7493514053589,3,"object"
"V1016",44.6,36.294,-0.79735,-9.4603608433518,-9.7744400614227,19.2348009047747,3,"object"
"V10191",-49.421,40.883,-6.1612,-7.9119217166578,12.2034444048613,-4.2915226882034,2,"place"
"V1032",29.262,46.753,-0.22244,-6.9387025380399,12.5624315093131,-5.6237289712732,2,"place"
"V10381",-30.88,48.675,-3.8054,-6.3449917263134,8.8507102484206,-2.5057185221072,2,"place"
"V1042",25.4,50.275,0.054724,-4.0678583715587,-16.4050729204579,20.4729312920167,3,"object"
"V1043",29.152,50.382,0.31166,7.8780431070244,2.9231493174918,-10.8011924245162,1,"face"
"V10571",21.538,53.797,0.33189,6.9004256443823,1.8808668106026,-8.781292454985,1,"face"
"V10581",25.29,53.904,0.58917,-7.438212686818,18.1251667076874,-10.6869540208693,2,"place"
"V1071",21.428,57.426,0.86634,11.191524964359,9.8542541901342,-21.0457791544932,1,"face"
"V1118",21.099,68.311,2.4712,7.3486181538486,16.5668298816643,-23.9154480355129,1,"face"
"V1120",32.355,68.631,3.2433,-19.9549197996878,8.782853731437,11.1720660682507,2,"place"
"V11861",-28.278,-39.413,-13.241,-10.0364149490812,-2.1416854705393,12.1781004196205,3,"object"
"V1231",38.71,-19.35,-5.936,-6.1563002021727,2.7086622587431,3.4476379434295,2,"place"
"V12451",45.775,-4.622,-3.2823,-10.6347826037738,5.2264491098085,5.4083334939652,2,"place"
"V12501",49.417,-0.88662,-2.4901,6.6339268575361,11.5096028675034,-18.1435297250395,1,"face"
"V1314",-49.344,36.253,-3.2982,-5.2265983612731,-4.2061596705926,9.4327580318657,3,"object"
"V1318",-49.454,39.882,-2.7638,-8.9221038950053,-9.772027649446,18.6941315444514,3,"object"
"V1323",-49.564,43.511,-2.2284,5.807016930835,-17.6961107298214,11.8890937989864,3,"object"
"V1357",36.184,64.108,6.3632,-6.2647431339972,9.0135710760006,-2.7488279420033,2,"place"
"V1471",-28.311,-40.415,-9.8435,-11.1124050812383,-10.9958775394931,22.1082826207314,3,"object"
"V1511",34.595,-9.5723,-1.1909,8.4153733148855,18.9034435429086,-27.3188168577941,1,"face"
"V1517",41.88,-2.1018,0.39316,-8.9523292794851,-12.4952265045788,21.4475557840639,3,"object"
"V1518",45.632,-1.995,0.65049,-1.8263281909059,-4.8350518358977,6.6613800268037,3,"object"
"V15611",41.111,23.298,4.1363,-5.2475902626836,-17.0846168805569,22.3322071432405,3,"object"
"V15871",-0.6007,36.639,3.445,17.6534625868962,-9.9387263409442,-7.7147362459519,1,"face"
"V15921",-53.239,38.774,0.37761,-6.7850371862866,-10.8042251343208,17.5892623206075,3,"object"
"V1597",-57.101,42.295,0.65478,6.290952924172,10.9363110174153,-17.2272639415874,1,"face"
"V15991",-49.597,42.509,1.1699,-2.7080161741292,-14.8279600195867,17.5359761937159,3,"object"
"V1603",-49.707,46.137,1.704,8.2428121965765,-3.4361371439658,-4.8066750526107,1,"face"
"V1605",-49.816,49.766,2.2385,12.4807107791841,-1.6522769657217,-10.8284338134624,1,"face"
"V1612",2.6022,54.888,6.3758,12.7752913507769,-4.9447355788214,-7.8305557719555,1,"face"
"V1616",-57.54,56.81,2.7941,6.7584305076285,4.1119022595879,-10.8703327672165,1,"face"
"V1621",-27.524,57.664,4.8522,-9.0658621879453,9.615955869433,-0.550093681487681,2,"place"
"V1627",-57.65,60.438,3.3282,-11.7302237632238,5.7396310818306,5.9905926813931,2,"place"
"V1628",-50.146,60.652,3.8434,9.28530634444,-17.5949799518715,8.3096736074314,3,"object"
"V1629",-46.394,60.758,4.1003,4.4247222097409,-18.6345470773561,14.2098248676152,3,"object"
"V1648",36.041,66.735,10.296,-7.0100377600941,2.8857187462177,4.1243190138764,2,"place"
"V1708",-5.8904,87.332,10.675,-11.7924600888263,7.7030187895874,4.0894412992388,2,"place"
"V18611",44.281,40.547,10.466,-8.5240194106574,15.0366953684695,-6.512675957812,2,"place"
"V1874",-49.85,48.765,5.6369,-13.8656781472815,15.6979559232696,-1.8322777759881,2,"place"
"V1910",13.496,65.093,12.15,-4.3518415940066,25.8057919021974,-21.4539503081907,1,"face"
"V1921",13.386,68.722,12.685,5.5243502872533,-8.5077699523082,2.9834196650549,3,"object"
"V1975",-32.078,81.955,11.736,6.3167880654384,0.471404049822095,-6.7881921152605,1,"face"
"V2198",47.78,46.908,15.19,12.0304925376884,-6.320072895444,-5.7104196422444,1,"face"
"V2209",-16.224,52.352,11.886,0.823113234286944,3.8654996823183,-4.6886129166053,1,"face"
"V2216",-23.838,55.767,11.906,14.6753007087205,-11.1106419921363,-3.5646587165841,1,"face"
"V2246",13.463,64.091,15.548,15.8089165153982,-6.1583735327262,-9.6505429826719,1,"face"
"V2253",13.353,67.72,16.083,15.3661057192364,-10.4368307009413,-4.929275018295,1,"face"
"V2264",9.491,71.241,16.36,-11.2719782323633,6.4825483240848,4.7894299082784,2,"place"
"V23511",-5.6779,-50.037,0.82449,-7.0225327472705,13.7893107736207,-6.7667780263502,2,"place"
"V2371",35.375,-41.607,4.7251,-6.2902208667301,-10.4639911939706,16.7542120607007,3,"object"
"V2408",49.724,-19.408,8.9629,8.4014763582574,-1.9918896604818,-6.4095866977755,1,"face"
"V2550",-5.1109,55.298,16.59,10.1468234591095,-9.4485691221755,-0.69825433693394,1,"face"
"V2567",-27.843,61.916,16.116,4.5558577178031,5.8785006570838,-10.434358374887,1,"face"
"V2571",9.6776,62.983,18.689,5.8854959935459,-1.282880333192,-4.6026156603539,1,"face"
"V2577",-27.953,65.544,16.65,8.1350875021003,-4.9791630951745,-3.1559244069257,1,"face"
"V2582",5.8157,66.504,18.966,7.6527629707985,1.5239375057523,-9.1767004765509,1,"face"
"V2591",5.7059,70.133,19.501,7.8167812497608,16.1220450930836,-23.9388263428445,1,"face"
"V25921",9.4579,70.24,19.758,8.9291586314866,-17.5580204722327,8.628861840746,3,"object"
"V26801",-24.471,-51.573,2.9356,-0.794472666255723,19.9525513537117,-19.158078687456,1,"face"
"V2688",35.561,-49.865,7.053,7.9061238000801,9.1522574504409,-17.0583812505211,1,"face"
"V2727",49.801,-24.038,11.826,-4.9381913603304,-6.8649678334576,11.8031591937881,3,"object"
"V2734",-51.724,-19.662,5.9472,-6.5712765300893,-5.4703726973587,12.0416492274481,3,"object"
"V2738",-51.834,-16.033,6.4826,-4.0766127499386,-11.9734002593838,16.0500130093224,3,"object"
"V2780",-64.188,19.933,11.058,-0.450048215724843,17.3836953908996,-16.9336471751747,1,"face"
"V2790",-64.298,23.561,11.593,-15.5608765633261,0.14303368554519,15.4178428777809,3,"object"
"V28371",-5.144,54.297,19.988,-2.9415764787782,-5.2522413632974,8.1938178420756,3,"object"
