"","x","y","z","face","place","object","cluster","category"
"V36",25.922,-5.9482,-35.008,1.5383304169489,-4.5704870442719,3.0321566273229,1,"object"
"V172",24.888,19.907,-30.04,5.4224768456538,7.7231621581148,-13.1456390037687,2,"face"
"V184",-27.118,-20.378,-25.308,5.9836480878485,7.3605427493764,-13.344190837225,2,"face"
"V305",27.64,42.172,-25.391,9.9967226767542,-4.2351338829412,-5.7615887938129,2,"face"
"V313",27.458,45.922,-25.233,10.7725155196275,-5.9866449067414,-4.785870612886,2,"face"
"V3141",31.063,46.081,-25.396,8.1202760273443,-0.613477376516717,-7.5067986508276,2,"face"
"V320",30.881,49.831,-25.238,8.6664008645315,-2.8738362636964,-5.792564600835,2,"face"
"V321",34.485,49.99,-25.402,5.7192734900991,2.5729789621877,-8.2922524522869,2,"face"
"V339",-37.873,-17.5,-20.797,7.9223376326355,-3.8879412671472,-4.0343963654883,2,"face"
"V3581",-16.792,-5.2937,-21.3,14.9509751462017,-4.8235787556594,-10.1273963905423,2,"face"
"V4022",-35.909,16.409,-19.54,-7.0153185462862,12.8705464586988,-5.8552279124124,3,"place"
"V4651",-37.002,38.908,-18.596,6.380378654875,-4.8813473965004,-1.4990312583746,2,"face"
"V4662",-33.397,39.067,-18.758,7.3607592770768,-5.0406789570365,-2.3200803200402,2,"face"
"V4682",24.277,41.619,-21.363,-4.7894261606639,1.0983852389209,3.691040921743,3,"place"
"V4691",27.882,41.778,-21.525,-7.2615347422533,6.3482858635192,0.913248878734042,3,"place"
"V4801",-40.789,42.498,-18.275,-6.1406587698273,6.480581819921,-0.339923050093728,3,"place"
"V4812",-37.184,42.658,-18.438,2.6518365205811,-17.0624728106637,14.4106362900826,1,"object"
"V4822",-33.58,42.817,-18.601,-1.8862959758218,-11.6111875562133,13.4974835320351,1,"object"
"V4841",24.095,45.368,-21.205,-4.7370175438102,-9.1069695247452,13.8439870685555,1,"object"
"V485",27.7,45.528,-21.367,10.826312883076,-3.7484374723477,-7.0778754107282,2,"face"
"V494",-40.971,46.248,-18.118,-4.9648163808312,2.7154930767644,2.2493233040667,3,"place"
"V495",-37.367,46.407,-18.28,-4.3228977615893,-7.040241910281,11.3631396718704,1,"object"
"V4961",-33.762,46.568,-18.443,-5.273975124295,4.4864631790358,0.787511945259168,3,"place"
"V4981",27.517,49.278,-21.21,-3.3710366624448,-6.3365641862221,9.707600848667,1,"object"
"V508",30.94,53.187,-21.215,-1.4378422023751,3.9996097521689,-2.5617675497937,3,"place"
"V5091",34.544,53.347,-21.378,-3.6683178437776,-6.6838496136087,10.3521674573864,1,"object"
"V514",34.362,57.096,-21.22,-2.1540511402689,4.9705105983166,-2.8164594580477,3,"place"
"V515",-45.123,57.339,-17.482,-2.4019656434713,10.3736839046267,-7.9717182611553,3,"place"
"V5281",-48.446,-18.372,-16.442,-1.1964498477547,-12.3189595335116,13.5154093812663,1,"object"
"V570",44.546,0.77326,-20.043,-0.823184215341967,8.0161120827827,-7.1929278674407,3,"place"
"V6201",32.274,30.294,-18.295,-5.7545500338783,-8.0829039553455,13.837453989224,1,"object"
"V6282",28.488,33.885,-17.975,6.0582144137342,-9.7518527875117,3.6936383737775,2,"face"
"V6531",-47.757,41.785,-14.084,-5.1269552033303,9.4660870533392,-4.3391318500088,3,"place"
