"","x","y","z","face","place","object","cluster","category"
"V164",32.784,13.189,-30.974,-6.0246645614472,14.5846163440029,-8.5599517825556,1,"place"
"V200",-34.358,-18.114,-28.547,-13.7838421269418,20.2465718981102,-6.4627297711683,1,"place"
"V2681",-33.502,21.071,-28.609,18.5252227035376,-4.5385923916517,-13.9866303118859,2,"face"
"V316",-33.035,42.444,-28.643,31.2034992118932,-9.1443744226049,-22.0591247892883,2,"face"
"V322",-39.874,49.674,-28.825,20.8239106674498,21.7799509941268,-42.6038616615766,1,"place"
"V324",-39.796,53.236,-28.831,-10.1566822218708,18.4878493101368,-8.331167088266,1,"place"
"V329",-39.718,56.799,-28.836,12.719024780178,-8.5161342063182,-4.2028905738597,2,"face"
"V394",-47.875,3.2284,-24.922,-11.4225857172632,-10.5002239199657,21.9228096372289,3,"object"
"V4001",-47.797,6.7907,-24.928,-15.371093856018,-14.9602062464952,30.3313001025132,3,"object"
"V4731",-22.694,34.921,-24.374,-12.7342706037012,32.298233203649,-19.5639625999478,1,"place"
"V553",-36.216,56.505,-24.75,7.5764443180306,-8.1182040701828,0.541759752152195,2,"face"
"V600",-41.343,-18.492,-20.717,-19.3652644994482,28.506085741819,-9.1408212423707,1,"place"
"V6491",-61.859,3.1973,-21.264,24.9922593938981,-17.7865361199342,-7.2057232739639,2,"face"
"V772",30.079,48.14,-19.114,59.3381737640857,-30.0106507758311,-29.3275229882546,2,"face"
"V8311",30.313,58.827,-19.13,-7.9394777216107,14.7329040320363,-6.7934263104256,1,"place"
"V832",33.81,58.774,-19.045,-3.5372810172195,-9.0554342281427,12.5927152453623,3,"object"
"V854",33.888,62.337,-19.051,18.5331306698029,-24.0492688405766,5.5161381707737,3,"object"
"V8551",37.385,62.284,-18.965,29.6403990856606,-36.7164161857517,7.0760171000911,3,"object"
"V874",40.96,65.794,-18.885,-25.8612766551183,10.2359734642028,15.6253031909155,1,"place"
"V896",37.696,76.533,-18.988,-25.0460649613604,21.6492432017899,3.3968217595705,1,"place"
"V938",-41.338,-18.733,-16.716,36.5068118020848,-16.3589509911921,-20.1478608108927,2,"face"
"V1083",47.57,47.636,-14.685,-4.6242995140341,10.6309488626955,-6.0066493486614,1,"place"
"V1092",-25.793,52.302,-16.486,-3.1908481096815,4.3255962575755,-1.1347481478939,1,"place"
"V1106",-25.715,55.864,-16.492,-16.3080241868517,-3.6604308416882,19.96845502854,3,"object"
"V1113",44.228,54.813,-14.782,-0.10864538110074,-18.4349810289307,18.5436264100314,3,"object"
"V1152",26.898,62.2,-15.221,2.4558128961132,-33.0561708787497,30.6003579826365,3,"object"
"V12502",34.359,83.469,-15.084,-6.7057602693439,-18.424816517173,25.130576786517,3,"object"
"V1276",24.49,-48.471,-11.046,-18.7977141903095,18.0186886075296,0.779025582779814,1,"place"
"V1399",-64.724,31.265,-13.392,-12.7409557391927,-9.5800558324347,22.3210115716275,3,"object"
"V1463",30.166,51.22,-11.118,-12.4348693403567,33.5907774609955,-21.1559081206388,1,"place"
"V14671",61.641,50.747,-10.348,21.3623624168732,-8.8750172910531,-12.4873451258201,2,"face"
"V1475",30.244,54.782,-11.123,-6.0916162399707,19.3173790885474,-13.2257628485766,1,"place"
"V1480",-57.107,59.658,-13.266,-4.2785731607605,11.7456543172751,-7.4670811565146,1,"place"
"V1491",30.322,58.344,-11.129,-13.0414420672569,-20.6528526543349,33.6942947215918,3,"object"
"V15111",30.4,61.906,-11.135,-1.8995024591794,38.8971167532996,-36.9976142941202,1,"place"
"V1619",37.861,83.175,-10.997,-13.6898268008508,21.7021703413139,-8.0123435404631,1,"place"
"V1641",-21.202,-58.716,-8.1397,23.3543595176474,9.9928744441319,-33.3472339617793,2,"face"
"V1647",-35.113,-54.944,-8.4873,-8.003721780648,17.5962109776032,-9.592489196955,1,"place"
"V1834",58.148,50.558,-6.4329,21.8986945767231,4.7189723602107,-26.6176669369338,2,"face"
"V1846",58.226,54.12,-6.4385,-29.2100749446234,9.8436282923046,19.3664466523187,1,"place"
"V1885",30.482,65.227,-7.1394,11.5172634139005,3.4057703940909,-14.9230338079914,2,"face"
"V2193",54.656,50.369,-2.5176,1.2441351532282,-12.3529040766186,11.1087689233904,3,"object"
"V2204",-60.595,59.228,-5.3502,-7.8168553408703,21.2659740319585,-13.4491186910882,1,"place"
"V2210",54.811,57.493,-2.5289,-9.2243599335148,22.7547543508365,-13.5303944173217,1,"place"
"V2211",58.309,57.441,-2.4434,15.460409165738,-5.3559772484826,-10.1044319172554,2,"face"
"V2223",58.386,61.003,-2.449,12.3191311301073,-2.8466451728037,-9.4724859573036,2,"face"
"V2363",34.529,89.869,-3.0924,-18.234150165743,-22.9594654522955,41.1936156180385,3,"object"
"V2437",-55.386,-23.05,-1.0492,-13.3417406120416,-11.8512047157902,25.1929453278318,3,"object"
"V2543",-60.668,55.424,-1.3438,3.6683080220329,12.500343085986,-16.168651108019,1,"place"
"V2674",-11.085,83.187,-0.19182,-14.9182912632034,27.2569827811936,-12.3386915179902,1,"place"
"V2689",-35.487,87.117,-0.79591,19.6788979749049,-8.9220058529208,-10.7568921219841,2,"face"
"V2811",-51.884,-23.344,3.037,5.6104830437,-17.2482430162948,11.6377599725948,3,"object"
"V2934",-60.663,55.183,2.657,15.6596494201845,-23.6921356003064,8.0324861801219,3,"object"
"V2935",-57.166,55.131,2.7425,1.5517960153397,-24.7284237372949,23.1766277219552,3,"object"
"V29522",-22.039,61.729,3.5862,-17.6945021788705,-15.323978592859,33.0184807717295,3,"object"
"V2953",-18.542,61.677,3.6717,-14.4063418131882,-9.9219042265901,24.3282460397783,3,"object"
"V2954",-15.045,61.624,3.7572,-25.7421948905609,-6.1810565597403,31.9232514503013,3,"object"
"V2955",-8.0503,61.519,3.9282,-18.7606378401242,-10.0389497131515,28.7995875532757,3,"object"
"V3072",44.952,85.667,5.1713,10.3791204003908,-19.426021900577,9.0469015001862,3,"object"
"V3122",-0.20062,-59.997,8.3764,3.028951551639,-32.5399733536663,29.5110218020272,3,"object"
"V31671",38.657,-42.764,9.2888,22.3843585394376,-26.2009370434975,3.8165785040598,3,"object"
"V3289",-43.095,58.241,7.0796,-6.5585149381312,-2.5316174021068,9.0901323402381,3,"object"
"V33011",-22.034,61.488,7.587,-4.7583938906873,-10.2258826963503,14.9842765870376,3,"object"
"V3302",-18.537,61.436,7.6725,-18.8744229146668,4.8978370358779,13.9765858787889,1,"place"
"V33121",-56.928,65.576,6.7264,-23.0876902109005,36.79068730387,-13.7029970929695,1,"place"
"V33251",-21.879,68.613,7.5757,-10.111754345949,22.9182130143315,-12.8064586683825,1,"place"
"V3338",-53.275,72.648,6.8007,-13.4312233400409,-13.6741765109673,27.1053998510082,3,"object"
"V34211",41.46,85.478,9.0866,2.7053958966624,-13.8047424881691,11.0993465915067,3,"object"
"V34411",-35.322,93.759,7.1944,-21.014224498315,0.301033614049634,20.7131908842653,3,"object"
"V3508",-17.448,-49.289,11.933,6.9042773036008,-24.3198991561823,17.4156218525814,3,"object"
"V35162",-34.856,-45.464,11.5,-15.8373472516706,-2.1852025470321,18.0225497987027,3,"object"
"V3526",38.662,-43.005,13.29,-8.5914567120648,40.0682164676037,-31.4767597555388,1,"place"
"V35481",-58.947,-27.284,10.873,10.8197340314231,-17.029575734325,6.2098417029018,3,"object"
"V3712",27.009,64.073,12.779,-1.3670149538453,-30.2509241838338,31.6179391376792,3,"object"
"V4264",28.18,-43.33,21.035,8.1572262308126,-14.1886494718112,6.0314232409985,3,"object"
"V4457",30.749,74.225,20.849,6.3469650577263,27.1596606986401,-33.5066257563665,1,"place"
"V4547",-14.171,-60.752,24.038,16.3661654993609,20.7145778645886,-37.0807433639495,1,"place"
"V4556",-14.093,-57.19,24.032,-8.0166727160325,29.7461968587264,-21.7295241426939,1,"place"
"V4565",-14.015,-53.628,24.026,-12.4350900715593,27.2385668122012,-14.8034767406419,1,"place"
"V4566",-10.518,-53.68,24.112,11.0386630157518,-7.6326341401428,-3.4060288756089,2,"face"
"V4567",-3.5234,-53.785,24.283,-6.6673787334226,17.1993497709034,-10.5319710374808,1,"place"
"V4631",-55.28,-20.936,22.95,28.2092190962718,-12.1355210759038,-16.0736980203681,2,"face"
"V4654",43.029,-4.5968,25.316,13.7540648229192,23.7682648363567,-37.522329659276,1,"place"
"V4678",-47.352,21.706,23.053,25.9121876570313,0.161272439565269,-26.0734600965966,2,"face"
"V4783",-39.112,78.597,23.135,17.1495432092649,-13.3239897862437,-3.8255534230212,2,"face"
"V4881",-10.435,-50.359,28.107,-3.8485670357379,-27.7521382037033,31.6007052394413,3,"object"
"V4890",-10.357,-46.797,28.101,-17.9126773373204,4.6730310029208,13.2396463343996,1,"place"
"V4923",35.339,-36.793,29.196,-12.2573858838895,-8.1346389426156,20.3920248265051,3,"object"
"V4953",-44.706,-17.773,27.202,34.42383658254,-24.3712870802647,-10.0525495022753,2,"face"
"V4969",49.951,-8.5056,29.493,-19.7338366502395,27.7318996495328,-7.9980629992932,1,"place"
"V4975",46.531,-4.8908,29.402,-14.0947238713333,16.6759224706398,-2.5811985993065,1,"place"
"V5358",57.806,30.333,33.603,-15.4394957275188,13.8743466235335,1.5651491039853,1,"place"
"V5482",23.846,77.168,32.675,-17.3595553008823,33.507745233452,-16.1481899325696,1,"place"
"V5487",44.829,76.853,33.188,24.3327672516924,-17.1963129082792,-7.1364543434132,2,"face"
"V5690",54.313,30.144,37.518,-4.5645375658408,-7.657995790548,12.2225333563889,3,"object"
"V6017",-40.572,9.9483,39.244,15.0694195737322,2.2571655676615,-17.3265851413937,2,"face"
"V6055",-54.172,27.97,38.874,34.850203271694,0.391669711839141,-35.2418729835332,2,"face"
"V6070",57.815,29.85,41.605,16.3279642783594,1.6374657760234,-17.9654300543829,2,"face"
"V61981",-7.8525,66.471,39.924,12.5976673102297,-5.0174428822995,-7.5802244279301,2,"face"
"V6271",0.38637,-37.233,44.344,-5.3209082990939,11.5596858214367,-6.2387775223427,1,"place"
"V6290",0.54205,-30.109,44.333,1.5373469827297,-7.5862959893328,6.048949006603,3,"object"
"V6337",18.339,-16.122,44.738,-11.740700872414,24.9757992109811,-13.2350983385671,1,"place"
"V6358",-33.963,-8.2095,43.444,4.5336729396663,13.8253892672404,-18.3590622069068,1,"place"
"V6359",-30.465,-8.2621,43.53,4.1810710837696,-11.4294547636368,7.2483836798671,3,"object"
"V6582",-28.831,66.545,43.412,-13.0862812633388,6.3667006027323,6.7195806606065,1,"place"
"V6680",21.685,-23.541,48.836,2.5092224593905,-7.0835826719848,4.5743602125942,3,"object"
"V6693",21.763,-19.979,48.83,11.0024924467667,-8.3515135711191,-2.6509788756475,2,"face"
"V6725",1.0138,-8.9765,48.3,4.8762064789573,4.2868330667082,-9.1630395456655,1,"place"
"V6734",-37.377,-4.836,47.354,-2.8005242321666,-16.1427835545022,18.9433077866688,3,"object"
"V6740",22.075,-5.7296,48.807,-9.504357208171,3.6204458373338,5.8839113708372,1,"place"
"V6765",22.23,1.3949,48.796,-18.1592881065819,12.6282766336889,5.5310114728929,1,"place"
"V6766",25.727,1.3424,48.882,-12.4677674070343,-8.3439848211121,20.8117522281464,3,"object"
"V6785",43.369,8.2041,49.298,2.6469871372228,-19.0204813544615,16.3734942172387,3,"object"
"V7036",-9.5509,-12.622,52.05,-17.4658032515485,-4.2033694600577,21.6691727116063,3,"object"
"V7041",25.421,-13.148,52.905,-9.054164293335,21.3539914414102,-12.2998271480752,1,"place"
"V7057",-44.367,-4.9723,51.184,-15.2695938092058,-9.3548471610582,24.624440970264,3,"object"
"V7420",-37.134,5.368,55.339,-10.8820225363878,6.2001248423693,4.6818976940184,1,"place"
"V7560",19.677,43.712,56.645,-17.2015820404354,8.3768633144647,8.8247187259706,1,"place"
"V7644",11.597,-6.296,60.553,-7.9055350932723,8.1773441770449,-0.271809083772547,1,"place"
"V7774",-36.429,37.187,59.289,1.6573335629309,1.227043207013,-2.884376769944,1,"place"
"V7775",-32.932,37.134,59.374,13.955993230692,-5.2151029425827,-8.7408902881092,2,"face"
"V7947",1.8887,29.243,64.241,14.6750126853635,-3.5605409282529,-11.1144717571105,2,"face"
