...1,x,y,z,face,place,object,cluster,category
V3412,-39.791,-14.487,37.492,-5.265138723252e-4,2.47206689266585e-5,5.0179320339855e-4,1,face
V3413,-36.014,-14.424,37.631,3.073705263535e-4,2.7124358796457e-4,-5.7861411431808e-4,1,face
V3414,-24.685,-14.232,38.047,-4.1626269068048e-4,-1.5276662863564e-4,5.6902931931613e-4,1,face
V3421,-39.806,-10.262,37.976,-5.0637318961971e-4,3.94269581915611e-5,4.6694623142815e-4,1,face
V3543,-32.48,53.247,45.519,-4.3186144886535e-4,-5.0922799443933e-4,9.4108944330468e-4,1,face
V3584,-5.8128,-27.398,41.063,-8.9145247270114e-4,9.9774155209294e-4,-1.0628907939179e-4,1,face
V3606,-32.293,-15.169,41.543,-4.4372730803455e-4,2.0280943516478e-4,2.4091787286977e-4,1,face
V3607,-24.74,-15.042,41.821,-2.1355976085035e-4,5.1519543187824e-4,-3.0163567102789e-4,1,face
V3614,-32.308,-10.944,42.027,-1.3795430288469e-4,4.869129008985e-4,-3.489585980138e-4,1,face
V3615,-28.532,-10.88,42.166,-1.8557228919588e-4,4.672032412152e-4,-2.8163095201932e-4,1,face
V3766,-5.8377,-36.659,43.868,4.89179756154596e-5,5.4125219482069e-4,-5.9017017043615e-4,3,place
V3769,-5.8529,-32.434,44.352,-1.8089032822523e-4,3.190524371348e-4,-1.3816210890956e-4,1,face
V3791,-28.572,-15.915,45.454,3.8731634700058e-4,-7.32839228660976e-5,-3.1403242413448e-4,1,face
V3795,-28.587,-11.69,45.939,-2.2691987576485e-4,2.2174770398448e-4,5.17217178037049e-6,1,face
V3804,-13.496,-7.2093,46.98,-3.3458108273935e-4,3.7038248827226e-4,-3.58014055329047e-5,1,face
V3812,28.044,-6.5067,48.51,3.5475898499045e-4,-1.845414507181e-4,-1.7021753427234e-4,1,face
