"x","y","z","subject"
36.495,-5.0768,-39.362,8
21.894,-1.9643,-38.553,8
25.499,-1.8049,-38.716,8
29.103,-1.6453,-38.879,8
32.708,-1.486,-39.042,8
-32.358,-0.60621,-35.954,8
-28.754,-0.44662,-36.117,8
21.712,1.7856,-38.396,8
25.316,1.945,-38.558,8
28.921,2.1046,-38.722,8
32.526,2.2639,-38.884,8
36.13,2.4234,-39.047,8
-43.354,2.6654,-35.309,8
21.529,5.5355,-38.239,8
25.134,5.695,-38.401,8
28.739,5.8544,-38.564,8
32.343,6.0139,-38.727,8
28.556,9.6042,-38.406,8
32.161,9.7638,-38.569,8
35.766,9.9231,-38.732,8
39.37,10.083,-38.895,8
42.975,10.242,-39.057,8
35.401,17.423,-38.417,8
-42.384,-12.728,-32.073,8
-35.175,-12.409,-32.399,8
29.709,-9.5387,-35.328,8
33.314,-9.3794,-35.492,8
-42.566,-8.9781,-31.916,8
-38.962,-8.8189,-32.078,8
-35.357,-8.6588,-32.241,8
-31.752,-8.4995,-32.404,8
-28.148,-8.3403,-32.566,8
-20.938,-8.0209,-32.892,8
18.713,-6.2677,-34.683,8
22.317,-6.1075,-34.845,8
25.922,-5.9482,-35.008,8
29.527,-5.7891,-35.171,8
33.131,-5.6299,-35.333,8
36.736,-5.4706,-35.497,8
40.341,-5.3105,-35.659,8
-46.353,-5.3878,-31.595,8
-42.749,-5.2286,-31.758,8
-39.144,-5.0683,-31.921,8
-35.539,-4.9092,-32.083,8
-31.935,-4.7499,-32.247,8
-28.33,-4.5907,-32.409,8
18.531,-2.5175,-34.525,8
22.135,-2.3581,-34.688,8
29.345,-2.0392,-35.013,8
32.949,-1.8797,-35.176,8
36.554,-1.7202,-35.339,8
40.159,-1.5608,-35.502,8
-50.14,-1.7971,-31.275,8
-46.535,-1.6377,-31.438,8
-35.722,-1.1593,-31.926,8
-32.117,-0.99996,-32.088,8
-28.512,-0.84047,-32.252,8
-24.908,-0.68102,-32.414,8
21.953,1.3919,-34.53,8
32.767,1.8702,-35.018,8
36.372,2.0297,-35.182,8
-50.322,1.9527,-31.117,8
-46.718,2.1122,-31.28,8
-43.113,2.2716,-31.443,8
-35.904,2.5906,-31.768,8
-32.299,2.7499,-31.931,8
-28.694,2.9095,-32.094,8
-25.09,3.0689,-32.257,8
21.771,5.1418,-34.373,8
25.375,5.3011,-34.535,8
32.585,5.62,-34.861,8
36.189,5.7794,-35.023,8
-50.505,5.7026,-30.959,8
-46.9,5.8621,-31.123,8
-43.295,6.0215,-31.285,8
-39.691,6.1809,-31.448,8
-36.086,6.3404,-31.611,8
-32.481,6.4998,-31.773,8
-28.877,6.6594,-31.937,8
-25.272,6.8188,-32.099,8
21.589,8.8916,-34.215,8
25.193,9.051,-34.378,8
28.798,9.2104,-34.54,8
43.216,9.8482,-35.192,8
46.821,10.008,-35.354,8
25.011,12.801,-34.22,8
32.22,13.12,-34.546,8
35.825,13.279,-34.709,8
39.43,13.439,-34.871,8
24.829,16.551,-34.063,8
28.433,16.71,-34.225,8
32.038,16.87,-34.389,8
31.856,20.619,-34.23,8
22.923,-14.001,-31.295,8
26.528,-13.842,-31.457,8
30.133,-13.683,-31.62,8
33.737,-13.523,-31.783,8
37.342,-13.364,-31.946,8
-42.143,-13.121,-28.207,8
-38.538,-12.962,-28.37,8
-34.933,-12.803,-28.533,8
-31.329,-12.643,-28.696,8
-27.724,-12.484,-28.858,8
-24.119,-12.325,-29.021,8
22.741,-10.252,-31.138,8
26.346,-10.092,-31.3,8
33.555,-9.7732,-31.626,8
37.16,-9.6141,-31.788,8
40.764,-9.4549,-31.951,8
44.369,-9.2946,-32.114,8
-45.93,-9.5312,-27.887,8
-31.511,-8.8933,-28.538,8
-27.906,-8.7342,-28.701,8
-24.302,-8.5749,-28.864,8
-20.697,-8.4147,-29.026,8
18.954,-6.6615,-30.817,8
29.768,-6.1829,-31.305,8
36.977,-5.8635,-31.631,8
40.582,-5.7043,-31.793,8
44.187,-5.545,-31.957,8
-42.507,-5.6223,-27.893,8
-38.903,-5.4622,-28.055,8
-35.298,-5.303,-28.218,8
-28.089,-4.9846,-28.543,8
-17.275,-4.506,-29.032,8
18.772,-2.9113,-30.659,8
22.377,-2.7519,-30.822,8
29.586,-2.4329,-31.148,8
33.191,-2.2736,-31.31,8
40.4,-1.9546,-31.636,8
44.005,-1.7953,-31.798,8
-49.899,-2.1909,-27.41,8
-35.48,-1.5532,-28.06,8
-31.876,-1.3937,-28.224,8
-21.062,-0.91527,-28.712,8
22.194,0.99801,-30.664,8
33.008,1.4763,-31.153,8
-50.081,1.559,-27.252,8
-42.872,1.8778,-27.577,8
-32.058,2.3562,-28.065,8
18.407,4.5885,-30.345,8
22.012,4.7479,-30.507,8
25.617,4.9074,-30.669,8
36.431,5.3856,-31.157,8
40.035,5.5452,-31.321,8
43.64,5.7046,-31.483,8
-53.868,5.1494,-26.931,8
-50.263,5.3088,-27.094,8
-46.659,5.4683,-27.257,8
-43.054,5.6277,-27.419,8
-39.449,5.7871,-27.582,8
-35.845,5.9466,-27.745,8
-25.031,6.425,-28.233,8
18.225,8.3383,-30.186,8
43.458,9.4545,-31.326,8
47.062,9.6138,-31.488,8
-54.05,8.8993,-26.774,8
-46.841,9.2182,-27.1,8
-39.632,9.537,-27.424,8
-36.027,9.6965,-27.588,8
-32.422,9.8559,-27.75,8
-28.818,10.015,-27.913,8
-25.213,10.175,-28.076,8
18.043,12.088,-30.029,8
28.857,12.566,-30.517,8
39.671,13.045,-31.005,8
46.88,13.364,-31.331,8
-39.814,13.287,-27.267,8
-36.209,13.447,-27.43,8
28.675,16.317,-30.36,8
35.884,16.635,-30.685,8
24.888,19.907,-30.04,8
28.492,20.066,-30.202,8
32.097,20.226,-30.364,8
28.31,23.817,-30.045,8
28.128,27.566,-29.887,8
-37.75,-24.606,-24.977,8
-34.145,-24.447,-25.14,8
-30.541,-24.287,-25.302,8
-41.537,-21.015,-24.657,8
-37.932,-20.855,-24.82,8
-34.328,-20.696,-24.982,8
-30.723,-20.537,-25.145,8
-27.118,-20.378,-25.308,8
-41.719,-17.265,-24.499,8
-38.115,-17.106,-24.662,8
-34.51,-16.947,-24.825,8
-30.905,-16.787,-24.987,8
-27.301,-16.627,-25.151,8
-23.696,-16.468,-25.313,8
23.165,-14.395,-27.429,8
26.769,-14.236,-27.592,8
30.374,-14.077,-27.755,8
33.979,-13.917,-27.917,8
37.583,-13.758,-28.08,8
-49.111,-13.835,-24.016,8
-45.506,-13.675,-24.179,8
-41.901,-13.515,-24.342,8
-38.297,-13.356,-24.504,8
-34.692,-13.197,-24.668,8
-31.087,-13.037,-24.83,8
-27.483,-12.878,-24.992,8
-23.878,-12.718,-25.156,8
19.378,-10.805,-27.108,8
22.982,-10.646,-27.272,8
26.587,-10.486,-27.434,8
33.796,-10.167,-27.76,8
37.401,-10.008,-27.922,8
41.006,-9.8478,-28.085,8
44.61,-9.6885,-28.248,8
-45.688,-9.9251,-24.021,8
-42.084,-9.7658,-24.184,8
-31.27,-9.2872,-24.672,8
11.986,-7.3738,-26.625,8
33.614,-6.4175,-27.603,8
37.219,-6.2573,-27.765,8
40.823,-6.0982,-27.927,8
44.428,-5.9389,-28.091,8
-53.08,-6.4938,-23.539,8
-45.871,-6.1755,-23.863,8
-42.266,-6.0152,-24.027,8
-38.661,-5.856,-24.189,8
-20.638,-5.059,-25.003,8
44.246,-2.1889,-27.933,8
47.851,-2.0295,-28.096,8
-53.262,-2.7443,-23.38,8
-42.448,-2.2659,-23.869,8
18.831,0.44481,-26.636,8
40.459,1.4015,-27.613,8
44.064,1.5609,-27.775,8
47.668,1.7205,-27.938,8
