"x","y","z","subject"
-40.258,0.93735,-36.384,5
-21.497,1.4716,-35.098,5
-32.863,4.7792,-35.335,5
23.417,6.3799,-31.475,5
-40.477,8.1946,-35.315,5
-25.469,8.6215,-34.286,5
-21.717,8.7283,-34.029,5
-25.579,12.25,-33.75,5
30.702,13.851,-29.891,5
19.336,17.159,-30.128,5
-24.953,-10.523,-33.562,5
-32.567,-7.1081,-33.541,5
-28.815,-7.001,-33.283,5
-25.063,-6.8944,-33.026,5
-21.311,-6.7879,-32.769,5
27.466,-5.4004,-29.424,5
-32.677,-3.4794,-33.006,5
27.356,-1.7726,-28.889,5
31.108,-1.6651,-28.632,5
34.86,-1.5585,-28.375,5
-36.539,0.042184,-32.729,5
-21.53,0.46897,-31.7,5
30.998,1.963,-28.098,5
-36.648,3.6713,-32.194,5
-32.896,3.7775,-31.937,5
-29.144,3.884,-31.68,5
-25.392,3.9915,-31.422,5
-36.758,7.2996,-31.659,5
-33.006,7.4064,-31.402,5
-25.502,7.6197,-30.887,5
-21.75,7.7265,-30.63,5
30.778,9.2205,-27.028,5
38.282,9.4338,-26.513,5
45.787,9.647,-25.998,5
-40.62,10.822,-31.382,5
-25.612,11.248,-30.353,5
-29.474,14.77,-30.076,5
-24.986,-11.525,-30.163,5
27.542,-10.031,-26.561,5
31.294,-9.9246,-26.303,5
42.551,-9.6044,-25.531,5
-25.096,-7.8961,-29.628,5
-13.84,-7.5756,-28.857,5
31.185,-6.2955,-25.769,5
34.937,-6.189,-25.512,5
-32.71,-4.4808,-29.609,5
-28.958,-4.3746,-29.351,5
27.323,-2.774,-25.492,5
31.075,-2.6668,-25.233,5
-47.828,-1.2798,-30.103,5
-29.068,-0.74549,-28.816,5
-25.316,-0.63894,-28.559,5
-21.564,-0.53274,-28.302,5
-6.5554,-0.10595,-27.273,5
30.965,0.96133,-24.699,5
34.717,1.0679,-24.442,5
-29.177,2.8823,-28.281,5
-25.425,2.9898,-28.024,5
23.351,4.3766,-24.679,5
27.103,4.4835,-24.422,5
30.855,4.5899,-24.164,5
34.607,4.6967,-23.907,5
38.359,4.8035,-23.65,5
-29.287,6.5114,-27.747,5
-25.535,6.6182,-27.49,5
-18.031,6.8314,-26.975,5
-10.527,7.0447,-26.46,5
15.737,7.7918,-24.659,5
23.241,8.0053,-24.145,5
26.993,8.1118,-23.887,5
30.745,8.2187,-23.63,5
38.249,8.4319,-23.115,5
42.001,8.5387,-22.858,5
-40.653,9.8197,-27.984,5
-36.901,9.9265,-27.727,5
-33.149,10.033,-27.47,5
-29.397,10.14,-27.212,5
-25.645,10.246,-26.955,5
-21.893,10.353,-26.698,5
-18.141,10.46,-26.441,5
26.883,11.741,-23.352,5
-40.763,13.448,-27.449,5
-33.259,13.662,-26.934,5
-25.755,13.875,-26.42,5
-22.003,13.982,-26.162,5
-40.873,17.077,-26.914,5
-33.369,17.291,-26.4,5
-29.617,17.397,-26.143,5
-25.865,17.504,-25.885,5
26.664,18.998,-22.283,5
-40.983,20.706,-26.38,5
-29.727,21.026,-25.608,5
-25.975,21.133,-25.351,5
-29.836,24.654,-25.073,5
-26.084,24.761,-24.815,5
-29.946,28.283,-24.538,5
-26.194,28.389,-24.281,5
-33.808,31.805,-24.261,5
-45.174,35.113,-24.498,5
-41.422,35.219,-24.241,5
-49.036,38.635,-24.221,5
-28.661,-16.262,-27.557,5
31.371,-14.555,-23.44,5
35.123,-14.447,-23.183,5
42.627,-14.235,-22.668,5
-36.275,-12.847,-27.537,5
-28.771,-12.633,-27.023,5
31.261,-10.926,-22.906,5
35.013,-10.82,-22.648,5
42.518,-10.606,-22.134,5
-40.137,-9.3252,-27.26,5
-36.385,-9.2178,-27.003,5
-32.633,-9.1115,-26.745,5
-28.881,-9.005,-26.488,5
-21.377,-8.791,-25.974,5
31.152,-7.2972,-22.37,5
34.904,-7.1907,-22.114,5
38.656,-7.0841,-21.857,5
42.408,-6.977,-21.598,5
-43.999,-5.8027,-26.983,5
-40.247,-5.6962,-26.726,5
-36.495,-5.59,-26.468,5
-32.743,-5.4825,-26.21,5
-25.239,-5.2697,-25.696,5
34.794,-3.562,-21.578,5
38.546,-3.4554,-21.321,5
42.298,-3.3489,-21.064,5
46.05,-3.2414,-20.807,5
-44.109,-2.1749,-26.448,5
-40.357,-2.0674,-26.19,5
-32.853,-1.8543,-25.676,5
-29.101,-1.7472,-25.418,5
-25.349,-1.6406,-25.161,5
-21.597,-1.5341,-24.904,5
30.932,-0.040384,-21.301,5
34.684,0.066164,-21.044,5
42.188,0.27986,-20.529,5
45.94,0.38641,-20.272,5
49.692,0.49295,-20.015,5
-44.219,1.4541,-25.913,5
-40.467,1.5607,-25.656,5
-32.963,1.7744,-25.141,5
-25.458,1.9881,-24.626,5
23.318,3.3747,-21.281,5
27.07,3.4816,-21.024,5
45.83,4.0153,-19.738,5
-44.328,5.0827,-25.378,5
-40.576,5.1894,-25.121,5
-25.568,5.6164,-24.092,5
-18.064,5.8296,-23.577,5
19.456,6.8967,-21.003,5
23.208,7.0035,-20.746,5
-40.686,8.8182,-24.586,5
-18.174,9.4584,-23.042,5
19.346,10.525,-20.469,5
23.098,10.632,-20.212,5
26.85,10.739,-19.954,5
30.602,10.845,-19.697,5
34.354,10.952,-19.44,5
38.106,11.059,-19.182,5
-44.548,12.34,-24.309,5
-40.796,12.447,-24.051,5
-37.044,12.553,-23.794,5
-33.292,12.66,-23.537,5
-25.788,12.873,-23.022,5
19.236,14.154,-19.934,5
26.741,14.367,-19.42,5
30.493,14.474,-19.162,5
34.245,14.581,-18.905,5
37.997,14.688,-18.648,5
41.749,14.794,-18.391,5
-48.41,15.862,-24.031,5
-37.154,16.182,-23.26,5
-33.402,16.289,-23.002,5
-29.65,16.395,-22.745,5
-25.898,16.502,-22.488,5
-22.146,16.609,-22.23,5
34.135,18.209,-18.37,5
41.639,18.423,-17.855,5
-41.016,19.704,-22.982,5
-33.512,19.917,-22.467,5
-29.76,20.024,-22.209,5
-18.504,20.344,-21.438,5
30.273,21.732,-18.093,5
34.025,21.838,-17.835,5
37.777,21.945,-17.578,5
-41.126,23.332,-22.447,5
-33.622,23.546,-21.932,5
-29.869,23.652,-21.675,5
-18.613,23.973,-20.903,5
22.659,25.146,-18.073,5
37.667,25.573,-17.043,5
-52.492,26.641,-22.684,5
-41.235,26.961,-21.912,5
-37.483,27.067,-21.655,5
-33.731,27.175,-21.398,5
-29.979,27.282,-21.141,5
-14.971,27.708,-20.111,5
22.549,28.775,-17.538,5
30.053,28.988,-17.024,5
37.557,29.202,-16.509,5
41.309,29.309,-16.252,5
-37.593,30.697,-21.12,5
-33.841,30.803,-20.863,5
-30.089,30.909,-20.606,5
-26.337,31.017,-20.348,5
-22.585,31.123,-20.09,5
22.439,32.403,-17.003,5
29.943,32.617,-16.488,5
33.695,32.724,-16.231,5
37.448,32.83,-15.974,5
41.2,32.937,-15.716,5
44.952,33.044,-15.459,5
-45.207,34.112,-21.1,5
-41.455,34.218,-20.843,5
-37.703,34.325,-20.585,5
-33.951,34.432,-20.328,5
-30.199,34.538,-20.071,5
-22.695,34.752,-19.556,5
29.834,36.246,-15.954,5
33.586,36.352,-15.696,5
41.09,36.565,-15.182,5
44.842,36.673,-14.924,5
48.594,36.779,-14.667,5
52.346,36.886,-14.41,5
-41.565,37.847,-20.308,5
-34.061,38.06,-19.793,5
-30.309,38.167,-19.536,5
-26.557,38.274,-19.279,5
33.476,39.98,-15.162,5
44.732,40.301,-14.39,5
52.236,40.514,-13.875,5
-37.923,41.582,-19.516,5
-34.171,41.689,-19.259,5
-30.419,41.795,-19.002,5
-26.667,41.902,-18.744,5
33.366,43.609,-14.627,5
-49.289,44.891,-19.753,5
-38.033,45.21,-18.982,5
-34.281,45.318,-18.724,5
-30.528,45.424,-18.466,5
-26.776,45.531,-18.209,5
37.008,47.345,-13.835,5
-38.142,48.839,-18.446,5
40.65,51.08,-13.043,5
-38.362,56.096,-17.377,5
-39.951,-17.584,-24.931,5
-32.446,-17.37,-24.417,5
35.09,-15.449,-19.785,5
38.842,-15.343,-19.528,5
42.594,-15.236,-19.271,5
-36.308,-13.848,-24.14,5
-32.556,-13.742,-23.882,5
-25.052,-13.528,-23.368,5
-17.548,-13.315,-22.853,5
34.98,-11.821,-19.251,5
38.732,-11.714,-18.992,5
42.484,-11.607,-18.735,5
-36.418,-10.22,-23.604,5
27.366,-8.4061,-19.23,5
31.119,-8.2986,-18.973,5
34.871,-8.1924,-18.715,5
42.375,-7.9793,-18.201,5
-44.032,-6.8044,-23.584,5
-36.528,-6.5913,-23.07,5
-25.272,-6.2711,-22.298,5
23.505,-4.8836,-18.953,5
27.257,-4.7774,-18.695,5
34.761,-4.5633,-18.181,5
42.265,-4.3506,-17.666,5
-44.142,-3.1763,-23.05,5
-36.638,-2.9626,-22.535,5
-32.886,-2.8561,-22.278,5
-29.134,-2.7495,-22.021,5
-25.382,-2.6424,-21.763,5
-21.63,-2.5358,-21.506,5
19.643,-1.362,-18.676,5
30.899,-1.0417,-17.904,5
34.651,-0.93555,-17.646,5
-48.004,0.34622,-22.773,5
-44.252,0.45243,-22.515,5
-36.748,0.66646,-22,5
-21.739,1.0929,-20.971,5
19.533,2.2664,-18.14,5
23.285,2.3733,-17.883,5
27.037,2.4801,-17.626,5
30.789,2.5866,-17.368,5
45.797,3.0135,-16.339,5
23.175,6.0017,-17.348,5
45.687,6.6423,-15.805,5
-25.711,8.2433,-20.159,5
-21.959,8.3501,-19.902,5
-18.207,8.4565,-19.644,5
-14.455,8.5633,-19.387,5
-10.703,8.6702,-19.13,5
23.065,9.6304,-16.814,5
26.817,9.7372,-16.557,5
45.577,10.271,-15.27,5
49.33,10.377,-15.013,5
53.082,10.484,-14.755,5
-33.325,11.658,-20.139,5
-25.821,11.872,-19.624,5
-22.069,11.979,-19.367,5
-10.813,12.299,-18.595,5
26.707,13.366,-16.021,5
30.46,13.472,-15.764,5
34.212,13.579,-15.507,5
37.964,13.686,-15.249,5
45.468,13.899,-14.735,5
-55.947,14.647,-21.148,5
-52.195,14.753,-20.89,5
-48.443,14.86,-20.634,5
-44.691,14.967,-20.375,5
-14.675,15.82,-18.317,5
-10.923,15.927,-18.06,5
34.102,17.208,-14.972,5
37.854,17.314,-14.715,5
41.606,17.421,-14.457,5
45.358,17.528,-14.2,5
49.11,17.635,-13.943,5
-52.305,18.382,-20.356,5
-48.553,18.489,-20.098,5
-33.545,18.916,-19.069,5
-29.793,19.022,-18.812,5
33.992,20.836,-14.438,5
37.744,20.942,-14.18,5
-52.415,22.01,-19.821,5
-48.663,22.118,-19.564,5
-44.911,22.224,-19.307,5
-29.903,22.651,-18.277,5
37.634,24.572,-13.646,5
41.386,24.678,-13.389,5
-56.277,25.533,-19.544,5
-52.525,25.639,-19.287,5
-48.773,25.745,-19.029,5
-45.021,25.853,-18.771,5
-30.012,26.28,-17.742,5
37.524,28.2,-13.11,5
41.276,28.307,-12.853,5
52.532,28.627,-12.081,5
-56.386,29.161,-19.009,5
-52.634,29.268,-18.751,5
-48.882,29.375,-18.494,5
-45.13,29.481,-18.237,5
-33.874,29.801,-17.465,5
-30.122,29.908,-17.207,5
29.91,31.616,-13.091,5
33.662,31.722,-12.833,5
44.919,32.042,-12.061,5
48.671,32.149,-11.804,5
52.423,32.255,-11.547,5
-56.496,32.79,-18.474,5
-52.744,32.896,-18.217,5
-45.24,33.11,-17.702,5
-30.232,33.537,-16.673,5
22.296,35.031,-13.071,5
26.049,35.137,-12.813,5
29.801,35.243,-12.556,5
33.553,35.351,-12.299,5
37.305,35.457,-12.041,5
44.809,35.671,-11.527,5
48.561,35.778,-11.27,5
-56.606,36.419,-17.94,5
-52.854,36.525,-17.682,5
-45.35,36.738,-17.168,5
-34.094,37.058,-16.396,5
-30.342,37.165,-16.137,5
-26.59,37.272,-15.881,5
-22.838,37.379,-15.624,5
18.435,38.552,-12.793,5
22.187,38.659,-12.535,5
25.939,38.766,-12.278,5
29.691,38.873,-12.021,5
33.443,38.979,-11.764,5
37.195,39.086,-11.506,5
40.947,39.193,-11.249,5
48.451,39.406,-10.735,5
52.203,39.513,-10.477,5
-45.46,40.367,-16.632,5
-37.956,40.581,-16.118,5
-30.452,40.794,-15.603,5
-26.7,40.901,-15.346,5
18.325,42.181,-12.258,5
22.077,42.288,-12.001,5
25.829,42.394,-11.743,5
29.581,42.501,-11.486,5
33.333,42.608,-11.229,5
37.085,42.714,-10.972,5
44.589,42.928,-10.457,5
-49.322,43.889,-16.355,5
-45.57,43.996,-16.098,5
-41.818,44.102,-15.84,5
-34.314,44.316,-15.326,5
-30.562,44.423,-15.069,5
-26.809,44.529,-14.811,5
-23.057,44.635,-14.554,5
-19.305,44.743,-14.297,5
18.215,45.81,-11.724,5
21.967,45.916,-11.466,5
25.719,46.023,-11.209,5
29.471,46.129,-10.952,5
33.223,46.236,-10.694,5
36.975,46.343,-10.437,5
-53.184,47.411,-16.078,5
-49.432,47.517,-15.821,5
-45.68,47.624,-15.563,5
-34.423,47.944,-14.791,5
-30.671,48.051,-14.534,5
-26.919,48.158,-14.277,5
-23.167,48.264,-14.02,5
-19.415,48.371,-13.762,5
25.609,49.652,-10.674,5
29.361,49.758,-10.416,5
36.865,49.972,-9.9023,5
40.617,50.078,-9.6444,5
-38.285,51.466,-14.513,5
-34.533,51.573,-14.256,5
-30.781,51.679,-13.999,5
-27.029,51.786,-13.742,5
21.747,53.173,-10.396,5
25.499,53.28,-10.139,5
