...1,x,y,z,face,place,object,cluster,category
V164,32.784,13.189,-30.974,-6.0246645614472e-4,0.00145846163440029,-8.5599517825556e-4,1,place
V200,-34.358,-18.114,-28.547,-0.00137838421269418,0.00202465718981102,-6.4627297711683e-4,1,place
V268,-33.502,21.071,-28.609,0.00185252227035376,-4.5385923916517e-4,-0.00139866303118859,2,face
V316,-33.035,42.444,-28.643,0.00312034992118932,-9.1443744226049e-4,-0.00220591247892883,2,face
V322,-39.874,49.674,-28.825,0.00208239106674498,0.00217799509941268,-0.00426038616615766,1,place
V324,-39.796,53.236,-28.831,-0.00101566822218708,0.00184878493101368,-8.331167088266e-4,1,place
V329,-39.718,56.799,-28.836,0.0012719024780178,-8.5161342063182e-4,-4.2028905738597e-4,2,face
V394,-47.875,3.2284,-24.922,-0.00114225857172632,-0.00105002239199657,0.00219228096372289,3,object
V400,-47.797,6.7907,-24.928,-0.0015371093856018,-0.00149602062464952,0.00303313001025132,3,object
V473,-22.694,34.921,-24.374,-0.00127342706037012,0.0032298233203649,-0.00195639625999478,1,place
V553,-36.216,56.505,-24.75,7.5764443180306e-4,-8.1182040701828e-4,5.41759752152195e-5,2,face
V600,-41.343,-18.492,-20.717,-0.00193652644994482,0.0028506085741819,-9.1408212423707e-4,1,place
V649,-61.859,3.1973,-21.264,0.00249922593938981,-0.00177865361199342,-7.2057232739639e-4,2,face
V772,30.079,48.14,-19.114,0.00593381737640857,-0.00300106507758311,-0.00293275229882546,2,face
V831,30.313,58.827,-19.13,-7.9394777216107e-4,0.00147329040320363,-6.7934263104256e-4,1,place
V832,33.81,58.774,-19.045,-3.5372810172195e-4,-9.0554342281427e-4,0.00125927152453623,3,object
V854,33.888,62.337,-19.051,0.00185331306698029,-0.00240492688405766,5.5161381707737e-4,3,object
V855,37.385,62.284,-18.965,0.00296403990856606,-0.00367164161857517,7.0760171000911e-4,3,object
V874,40.96,65.794,-18.885,-0.00258612766551183,0.00102359734642028,0.00156253031909155,1,place
V896,37.696,76.533,-18.988,-0.00250460649613604,0.00216492432017899,3.3968217595705e-4,1,place
V938,-41.338,-18.733,-16.716,0.00365068118020848,-0.00163589509911921,-0.00201478608108927,2,face
V1083,47.57,47.636,-14.685,-4.6242995140341e-4,0.00106309488626955,-6.0066493486614e-4,1,place
V1092,-25.793,52.302,-16.486,-3.1908481096815e-4,4.3255962575755e-4,-1.1347481478939e-4,1,place
V1106,-25.715,55.864,-16.492,-0.00163080241868517,-3.6604308416882e-4,0.001996845502854,3,object
V1113,44.228,54.813,-14.782,-1.0864538110074e-5,-0.00184349810289307,0.00185436264100314,3,object
V1152,26.898,62.2,-15.221,2.4558128961132e-4,-0.00330561708787497,0.00306003579826365,3,object
V1250,34.359,83.469,-15.084,-6.7057602693439e-4,-0.0018424816517173,0.0025130576786517,3,object
V1276,24.49,-48.471,-11.046,-0.00187977141903095,0.00180186886075296,7.79025582779814e-5,1,place
V1399,-64.724,31.265,-13.392,-0.00127409557391927,-9.5800558324347e-4,0.00223210115716275,3,object
V1463,30.166,51.22,-11.118,-0.00124348693403567,0.00335907774609955,-0.00211559081206388,1,place
V1467,61.641,50.747,-10.348,0.00213623624168732,-8.8750172910531e-4,-0.00124873451258201,2,face
V1475,30.244,54.782,-11.123,-6.0916162399707e-4,0.00193173790885474,-0.00132257628485766,1,place
V1480,-57.107,59.658,-13.266,-4.2785731607605e-4,0.00117456543172751,-7.4670811565146e-4,1,place
V1491,30.322,58.344,-11.129,-0.00130414420672569,-0.00206528526543349,0.00336942947215918,3,object
V1511,30.4,61.906,-11.135,-1.8995024591794e-4,0.00388971167532996,-0.00369976142941202,1,place
