"x","y","z","subject"
-0.009017,17.659,-36.688,10
-11.583,24.448,-35.254,10
7.2559,24.687,-35.051,10
-11.718,27.914,-34.475,10
-23.292,34.704,-33.042,10
-15.756,34.799,-32.961,10
-0.68525,34.991,-32.799,10
-23.427,38.17,-32.264,10
18.018,38.695,-31.818,10
-19.794,41.684,-31.446,10
17.883,42.162,-31.041,10
21.651,42.209,-31.001,10
-31.233,45.008,-30.789,10
-27.465,45.055,-30.749,10
-23.697,45.103,-30.709,10
-19.93,45.15,-30.668,10
-12.394,45.246,-30.586,10
-8.6264,45.294,-30.546,10
-4.8587,45.342,-30.506,10
-1.091,45.389,-30.465,10
2.6767,45.437,-30.425,10
13.98,45.581,-30.303,10
17.748,45.628,-30.263,10
21.515,45.676,-30.222,10
25.283,45.723,-30.182,10
-31.368,48.474,-30.012,10
-27.6,48.522,-29.971,10
-23.833,48.569,-29.93,10
-20.065,48.617,-29.89,10
-12.529,48.712,-29.809,10
6.3092,48.951,-29.607,10
13.845,49.046,-29.525,10
17.612,49.095,-29.485,10
21.38,49.142,-29.445,10
25.148,49.19,-29.404,10
-27.735,51.987,-29.194,10
-23.968,52.035,-29.153,10
-20.2,52.083,-29.112,10
-16.432,52.131,-29.072,10
-12.665,52.179,-29.032,10
6.1739,52.418,-28.829,10
9.9416,52.465,-28.788,10
13.709,52.513,-28.748,10
17.477,52.56,-28.708,10
21.245,52.609,-28.666,10
-24.103,55.502,-28.375,10
-20.335,55.549,-28.335,10
-16.568,55.598,-28.294,10
-12.8,55.645,-28.253,10
-5.2645,55.741,-28.173,10
-1.4967,55.788,-28.132,10
2.271,55.836,-28.092,10
6.0387,55.884,-28.05,10
9.8064,55.932,-28.01,10
13.574,55.98,-27.97,10
17.342,56.027,-27.929,10
21.11,56.075,-27.889,10
-24.238,58.968,-27.597,10
-20.471,59.016,-27.557,10
-16.703,59.063,-27.516,10
-12.935,59.111,-27.476,10
-9.1674,59.159,-27.435,10
-5.3997,59.207,-27.395,10
-1.632,59.255,-27.355,10
2.1357,59.302,-27.314,10
5.9034,59.35,-27.273,10
9.6711,59.398,-27.233,10
13.439,59.446,-27.192,10
17.207,59.493,-27.152,10
-20.606,62.482,-26.779,10
