"x","y","z","subject"
-34.523,-24.756,-36.538,6
28.426,-25.702,-34.999,6
-37.943,-21.141,-36.629,6
21.509,-22.035,-35.175,6
25.006,-22.087,-35.09,6
38.995,-22.297,-34.748,6
42.492,-22.35,-34.662,6
-41.362,-17.526,-36.72,6
-37.865,-17.579,-36.634,6
-34.368,-17.631,-36.549,6
-30.87,-17.684,-36.463,6
-27.373,-17.736,-36.378,6
-23.876,-17.789,-36.292,6
14.593,-18.367,-35.352,6
21.587,-18.472,-35.181,6
-48.278,-13.859,-36.897,6
-44.781,-13.911,-36.811,6
-41.284,-13.964,-36.726,6
-34.29,-14.069,-36.555,6
-23.798,-14.227,-36.298,6
46.145,-15.278,-34.588,6
49.642,-15.331,-34.503,6
-48.2,-10.297,-36.902,6
-20.223,-10.717,-36.218,6
14.748,-11.243,-35.363,6
-51.62,-6.6817,-36.993,6
-48.123,-6.7343,-36.908,6
-41.128,-6.8394,-36.737,6
-23.643,-7.1023,-36.309,6
49.798,-8.2061,-34.514,6
-51.542,-3.1195,-36.999,6
-41.05,-3.2772,-36.742,6
-20.068,-3.5926,-36.229,6
-16.57,-3.6451,-36.144,6
42.881,-4.5387,-34.691,6
-54.961,0.49535,-37.09,6
-51.464,0.44279,-37.005,6
-47.967,0.39022,-36.919,6
-44.47,0.33766,-36.834,6
-23.487,0.022277,-36.321,6
-19.99,-0.030287,-36.235,6
46.456,-1.029,-34.611,6
49.954,-1.0816,-34.525,6
53.451,-1.1341,-34.44,6
-51.386,4.0051,-37.01,6
-47.889,3.9525,-36.925,6
-44.392,3.8999,-36.839,6
-33.9,3.7422,-36.583,6
-19.912,3.532,-36.241,6
22.054,2.9012,-35.215,6
-47.811,7.5148,-36.93,6
-40.817,7.4096,-36.759,6
-33.823,7.3045,-36.588,6
-12.84,6.9891,-36.075,6
15.138,6.5686,-35.391,6
36.121,6.2532,-34.878,6
46.612,6.0955,-34.622,6
50.109,6.043,-34.536,6
-54.728,11.182,-37.107,6
-51.231,11.13,-37.021,6
-47.733,11.077,-36.936,6
-44.236,11.024,-36.85,6
-37.242,10.919,-36.679,6
-30.248,10.814,-36.508,6
-23.253,10.709,-36.337,6
18.713,10.078,-35.311,6
39.696,9.7629,-34.798,6
46.69,9.6578,-34.628,6
53.684,9.5527,-34.457,6
-51.153,14.692,-37.027,6
-47.656,14.639,-36.942,6
-40.661,14.534,-36.771,6
-26.673,14.324,-36.429,6
25.785,13.535,-35.146,6
-51.075,18.254,-37.033,6
-37.086,18.044,-36.691,6
-33.589,17.991,-36.605,6
-30.092,17.939,-36.52,6
-26.595,17.886,-36.434,6
-50.997,21.816,-37.038,6
-38.016,-24.945,-32.622,6
35.425,-26.049,-30.827,6
-37.938,-21.382,-32.628,6
-34.441,-21.435,-32.543,6
18.017,-22.223,-31.26,6
25.011,-22.329,-31.089,6
32.005,-22.434,-30.918,6
39,-22.539,-30.747,6
-48.351,-17.662,-32.89,6
-44.854,-17.715,-32.805,6
-41.357,-17.768,-32.719,6
-34.363,-17.873,-32.548,6
-27.369,-17.978,-32.377,6
39.078,-18.977,-30.753,6
49.569,-19.134,-30.496,6
-48.274,-14.1,-32.896,6
-44.776,-14.153,-32.81,6
-41.279,-14.205,-32.725,6
-34.285,-14.31,-32.554,6
-27.291,-14.416,-32.383,6
18.172,-15.099,-31.271,6
46.15,-15.519,-30.587,6
49.647,-15.572,-30.502,6
-48.196,-10.538,-32.901,6
-44.699,-10.59,-32.816,6
-41.201,-10.643,-32.73,6
-37.704,-10.696,-32.645,6
-27.213,-10.853,-32.388,6
35.736,-11.799,-30.85,6
39.233,-11.852,-30.764,6
49.725,-12.01,-30.508,6
53.222,-12.062,-30.422,6
-51.615,-6.9231,-32.993,6
-48.118,-6.9757,-32.907,6
-44.621,-7.0282,-32.822,6
14.831,-7.9218,-31.368,6
18.328,-7.9744,-31.283,6
46.305,-8.3949,-30.599,6
49.803,-8.4474,-30.513,6
14.909,-4.3595,-31.374,6
39.389,-4.7275,-30.775,6
49.88,-4.8852,-30.519,6
53.378,-4.9377,-30.433,6
-54.957,0.25399,-33.089,6
-51.459,0.20143,-33.004,6
-47.962,0.14886,-32.918,6
-44.465,0.096299,-32.833,6
18.484,-0.84985,-31.294,6
46.461,-1.2704,-30.61,6
49.958,-1.3229,-30.524,6
56.953,-1.428,-30.353,6
-51.382,3.7637,-33.009,6
-16.41,3.2381,-32.154,6
18.562,2.7124,-31.299,6
39.545,2.397,-30.786,6
50.036,2.2393,-30.53,6
53.533,2.1868,-30.444,6
57.03,2.1342,-30.359,6
-51.304,7.326,-33.015,6
-47.807,7.2734,-32.929,6
-37.315,7.1157,-32.673,6
-26.824,6.958,-32.417,6
18.639,6.2747,-31.305,6
22.137,6.2221,-31.22,6
39.622,5.9593,-30.792,6
46.617,5.8542,-30.621,6
50.114,5.8016,-30.536,6
53.611,5.749,-30.45,6
-51.226,10.888,-33.021,6
-47.729,10.836,-32.935,6
-40.734,10.731,-32.764,6
-37.237,10.678,-32.679,6
22.214,9.7844,-31.225,6
39.7,9.5216,-30.798,6
46.695,9.4164,-30.627,6
53.689,9.3113,-30.456,6
-58.142,14.556,-33.197,6
-54.645,14.503,-33.112,6
-51.148,14.45,-33.026,6
-44.154,14.345,-32.855,6
-40.657,14.293,-32.77,6
-19.674,13.977,-32.257,6
29.287,13.242,-31.06,6
32.784,13.189,-30.974,6
53.767,12.874,-30.461,6
57.264,12.821,-30.376,6
-47.573,17.96,-32.946,6
-40.579,17.855,-32.775,6
-33.584,17.75,-32.604,6
39.856,16.646,-30.809,6
57.342,16.383,-30.381,6
60.839,16.331,-30.296,6
-47.495,21.522,-32.952,6
-40.501,21.417,-32.781,6
-33.507,21.312,-32.61,6
60.917,19.893,-30.302,6
-47.417,25.085,-32.958,6
