"x","y","z","subject"
-24.715,-8.9873,-41.7,9
-20.953,-8.7357,-41.7,9
-36.22,-6.2463,-41.622,9
-32.458,-5.9947,-41.623,9
-28.696,-5.7433,-41.623,9
-13.649,-4.7361,-41.626,9
27.729,-1.9687,-41.633,9
35.253,-1.4656,-41.634,9
-36.439,-2.7501,-41.547,9
-32.678,-2.4984,-41.548,9
-21.393,-1.7436,-41.55,9
27.509,1.5271,-41.558,9
31.271,1.7788,-41.559,9
35.033,2.0303,-41.559,9
-29.136,1.2491,-41.474,9
-25.374,1.5007,-41.474,9
38.355,9.2738,-41.409,9
-27.829,-20.256,-38.119,9
-20.306,-19.753,-38.12,9
-35.572,-17.264,-38.042,9
-31.811,-17.012,-38.043,9
-28.049,-16.761,-38.044,9
-20.526,-16.258,-38.045,9
-16.764,-16.006,-38.046,9
-32.03,-13.516,-37.967,9
-24.507,-13.013,-37.968,9
-16.984,-12.509,-37.97,9
24.395,-9.7416,-37.977,9
28.157,-9.4902,-37.977,9
-39.774,-10.523,-37.891,9
-36.012,-10.272,-37.892,9
-32.25,-10.02,-37.892,9
-28.489,-9.7686,-37.893,9
-20.965,-9.2656,-37.894,9
-17.203,-9.014,-37.895,9
20.414,-6.4977,-37.901,9
24.175,-6.2461,-37.902,9
35.46,-5.4915,-37.904,9
39.222,-5.24,-37.904,9
-43.755,-7.2793,-37.815,9
-32.47,-6.5246,-37.817,9
-28.708,-6.273,-37.818,9
-24.947,-6.0215,-37.819,9
-21.185,-5.769,-37.819,9
-17.423,-5.5174,-37.82,9
-13.662,-5.2659,-37.821,9
23.955,-2.7502,-37.827,9
35.241,-1.9954,-37.829,9
39.002,-1.7438,-37.83,9
-47.737,-4.0352,-37.74,9
-43.975,-3.7836,-37.741,9
-36.452,-3.2799,-37.742,9
-32.69,-3.0282,-37.743,9
-21.405,-2.2736,-37.744,9
-17.643,-2.022,-37.745,9
-10.12,-1.5188,-37.746,9
19.974,0.49402,-37.751,9
27.497,0.99729,-37.752,9
38.782,1.7521,-37.755,9
42.544,2.0037,-37.755,9
-44.195,-0.28723,-37.665,9
-40.433,-0.035679,-37.665,9
-36.671,0.21601,-37.666,9
-32.91,0.46759,-37.667,9
-29.148,0.71914,-37.667,9
-21.625,1.2224,-37.669,9
-14.101,1.7256,-37.67,9
19.754,3.99,-37.676,9
23.516,4.2416,-37.676,9
34.801,4.9964,-37.678,9
46.086,5.7512,-37.68,9
-40.653,3.4603,-37.59,9
-36.891,3.7119,-37.591,9
-21.844,4.7184,-37.594,9
-14.321,5.2215,-37.595,9
23.296,7.7375,-37.601,9
30.819,8.2408,-37.603,9
34.581,8.4923,-37.603,9
-18.302,8.4657,-37.519,9
34.361,11.988,-37.528,9
38.123,12.24,-37.529,9
-27.622,-24.283,-34.388,9
-23.86,-24.031,-34.389,9
-35.365,-21.289,-34.312,9
-31.603,-21.038,-34.313,9
-27.841,-20.786,-34.313,9
-24.08,-20.535,-34.314,9
-20.318,-20.283,-34.314,9
28.584,-17.012,-34.323,9
32.346,-16.761,-34.323,9
-39.346,-18.045,-34.236,9
-28.061,-17.291,-34.237,9
-24.299,-17.039,-34.239,9
-20.538,-16.787,-34.239,9
24.603,-13.768,-34.246,9
28.364,-13.517,-34.247,9
32.126,-13.265,-34.248,9
35.888,-13.013,-34.248,9
39.65,-12.762,-34.249,9
-43.328,-14.801,-34.16,9
-39.566,-14.55,-34.16,9
-35.804,-14.298,-34.161,9
-32.043,-14.046,-34.162,9
-28.281,-13.794,-34.162,9
-24.519,-13.543,-34.163,9
-20.757,-13.291,-34.164,9
-16.996,-13.039,-34.164,9
20.621,-10.524,-34.171,9
24.383,-10.273,-34.171,9
28.145,-10.021,-34.172,9
31.906,-9.7683,-34.173,9
35.668,-9.5169,-34.173,9
39.43,-9.2653,-34.174,9
-47.309,-11.556,-34.084,9
-43.547,-11.305,-34.085,9
-39.786,-11.053,-34.086,9
-36.024,-10.802,-34.086,9
-32.262,-10.55,-34.087,9
-28.501,-10.298,-34.088,9
-20.977,-9.7953,-34.089,9
20.401,-7.0274,-34.096,9
31.687,-6.2728,-34.098,9
35.448,-6.0214,-34.098,9
42.972,-5.5182,-34.1,9
-47.529,-8.0606,-34.009,9
-43.767,-7.809,-34.01,9
-40.006,-7.5574,-34.011,9
-24.959,-6.5514,-34.013,9
-21.197,-6.2998,-34.014,9
-13.674,-5.7957,-34.015,9
16.42,-3.7835,-34.02,9
20.182,-3.5318,-34.02,9
23.943,-3.2802,-34.022,9
35.228,-2.5254,-34.023,9
38.99,-2.2738,-34.023,9
42.752,-2.0221,-34.025,9
46.514,-1.7707,-34.025,9
-47.749,-4.5649,-33.934,9
-43.987,-4.3135,-33.934,9
-40.225,-4.0615,-33.935,9
-21.417,-2.8035,-33.938,9
-13.893,-2.3003,-33.939,9
12.438,-0.53906,-33.944,9
16.2,-0.28752,-33.944,9
19.962,-0.035929,-33.945,9
27.485,0.4673,-33.946,9
38.77,1.2221,-33.948,9
42.532,1.4737,-33.949,9
46.294,1.7254,-33.95,9
50.055,1.9769,-33.95,9
-51.73,-1.3203,-33.858,9
-44.207,-0.81722,-33.859,9
-32.922,-0.062396,-33.861,9
-21.637,0.69242,-33.863,9
12.219,2.9569,-33.869,9
15.98,3.2085,-33.87,9
23.504,3.7117,-33.871,9
27.265,3.9632,-33.871,9
46.074,5.2213,-33.875,9
49.836,5.4728,-33.875,9
-55.712,1.9239,-33.782,9
-51.95,2.1756,-33.783,9
-48.188,2.4272,-33.784,9
-44.427,2.6787,-33.784,9
-36.903,3.182,-33.786,9
-33.142,3.4335,-33.786,9
-29.38,3.6852,-33.787,9
-25.618,3.9368,-33.788,9
-21.856,4.1884,-33.788,9
-18.095,4.44,-33.789,9
19.522,6.9559,-33.795,9
30.807,7.7108,-33.797,9
34.569,7.9624,-33.798,9
42.092,8.4656,-33.799,9
45.854,8.7172,-33.8,9
49.616,8.9687,-33.8,9
-55.932,5.42,-33.708,9
-44.646,6.1748,-33.71,9
-40.885,6.4263,-33.71,9
-37.123,6.6779,-33.711,9
19.302,10.452,-33.719,9
23.064,10.704,-33.72,9
34.349,11.458,-33.722,9
38.111,11.71,-33.723,9
45.634,12.213,-33.724,9
49.396,12.465,-33.725,9
-56.151,8.9158,-33.632,9
-48.628,9.4191,-33.633,9
-44.866,9.6707,-33.634,9
-37.343,10.174,-33.635,9
-29.819,10.677,-33.636,9
34.129,14.954,-33.647,9
37.891,15.206,-33.648,9
41.653,15.457,-33.648,9
45.415,15.709,-33.649,9
49.176,15.961,-33.65,9
52.938,16.212,-33.65,9
-41.324,13.418,-33.559,9
-37.563,13.67,-33.56,9
-26.278,14.425,-33.562,9
18.863,17.444,-33.57,9
26.386,17.947,-33.571,9
33.91,18.451,-33.572,9
45.195,19.205,-33.574,9
48.956,19.457,-33.575,9
52.718,19.708,-33.575,9
48.737,22.952,-33.5,9
-27.634,-24.812,-30.583,9
-23.872,-24.561,-30.583,9
-20.11,-24.309,-30.584,9
-39.139,-22.072,-30.506,9
-35.377,-21.819,-30.505,9
-31.615,-21.567,-30.506,9
-24.092,-21.064,-30.507,9
-20.33,-20.813,-30.508,9
24.81,-17.793,-30.516,9
36.095,-17.039,-30.518,9
39.857,-16.787,-30.518,9
-43.12,-18.826,-30.429,9
-39.358,-18.575,-30.43,9
-31.835,-18.072,-30.431,9
-24.311,-17.569,-30.433,9
-20.55,-17.317,-30.433,9
-16.788,-17.066,-30.434,9
24.591,-14.298,-30.441,9
39.637,-13.292,-30.443,9
-47.101,-15.582,-30.354,9
-43.34,-15.331,-30.354,9
-35.816,-14.828,-30.356,9
-28.293,-14.325,-30.357,9
-20.77,-13.821,-30.358,9
-13.246,-13.318,-30.36,9
24.371,-10.802,-30.366,9
28.133,-10.551,-30.367,9
31.894,-10.299,-30.367,9
39.418,-9.7951,-30.369,9
-47.321,-12.087,-30.279,9
-43.56,-11.834,-30.28,9
-39.798,-11.583,-30.28,9
-36.036,-11.331,-30.281,9
-20.989,-10.325,-30.283,9
-17.228,-10.074,-30.284,9
16.628,-7.8088,-30.29,9
20.389,-7.5573,-30.29,9
31.674,-6.8027,-30.291,9
42.96,-6.0481,-30.294,9
46.721,-5.7965,-30.294,9
50.483,-5.5449,-30.295,9
-51.303,-8.8419,-30.202,9
-47.541,-8.5904,-30.203,9
-43.779,-8.3388,-30.204,9
-40.018,-8.0873,-30.204,9
-36.256,-7.8357,-30.205,9
-17.447,-6.5781,-30.208,9
-13.686,-6.3265,-30.209,9
-9.9241,-6.075,-30.209,9
20.17,-4.0616,-30.215,9
31.455,-3.307,-30.216,9
35.216,-3.0554,-30.217,9
42.74,-2.5522,-30.218,9
46.501,-2.3005,-30.219,9
50.263,-2.0488,-30.22,9
-51.523,-5.3464,-30.127,9
-47.761,-5.0948,-30.128,9
-43.999,-4.8432,-30.129,9
-40.237,-4.5915,-30.129,9
-21.429,-3.3334,-30.133,9
-17.667,-3.0818,-30.133,9
12.426,-1.0691,-30.138,9
19.95,-0.56578,-30.14,9
34.997,0.44059,-30.142,9
38.758,0.69217,-30.143,9
42.52,0.94372,-30.143,9
46.282,1.1954,-30.144,9
50.043,1.447,-30.145,9
-55.504,-2.1019,-30.052,9
-51.742,-1.8502,-30.053,9
-47.981,-1.5987,-30.053,9
-44.219,-1.3471,-30.054,9
-21.649,0.16257,-30.058,9
-17.887,0.41412,-30.058,9
-14.125,0.66571,-30.059,9
-10.364,0.91739,-30.06,9
15.968,2.6785,-30.064,9
38.538,4.1881,-30.068,9
42.3,4.4398,-30.069,9
46.062,4.6913,-30.069,9
49.824,4.9429,-30.07,9
53.585,5.1946,-30.071,9
-51.962,1.6458,-29.978,9
-48.2,1.8972,-29.978,9
-44.439,2.1489,-29.979,9
-18.107,3.91,-29.983,9
-14.345,4.1616,-29.983,9
-10.583,4.4133,-29.985,9
11.987,5.9229,-29.988,9
45.842,8.1872,-29.993,9
49.604,8.4389,-29.994,9
-59.705,4.6384,-29.901,9
-55.944,4.89,-29.901,9
-52.182,5.1416,-29.902,9
-48.42,5.3931,-29.902,9
-44.659,5.6448,-29.903,9
-37.135,6.1479,-29.904,9
-14.565,7.6576,-29.908,9
-10.803,7.9092,-29.909,9
-3.2799,8.4123,-29.91,9
4.2435,8.9155,-29.911,9
19.29,9.922,-29.914,9
38.099,11.18,-29.917,9
41.861,11.432,-29.918,9
45.622,11.683,-29.918,9
49.384,11.935,-29.919,9
-59.925,8.1344,-29.826,9
-56.163,8.3858,-29.826,9
-52.402,8.6375,-29.827,9
-48.64,8.8891,-29.828,9
-41.117,9.3924,-29.829,9
-22.308,10.65,-29.832,9
4.0237,12.412,-29.837,9
7.7854,12.663,-29.837,9
15.309,13.166,-29.838,9
34.117,14.424,-29.842,9
37.879,14.676,-29.842,9
45.402,15.179,-29.844,9
49.164,15.431,-29.844,9
-60.145,11.63,-29.751,9
-56.383,11.882,-29.751,9
-52.622,12.133,-29.752,9
-48.86,12.385,-29.753,9
-33.813,13.391,-29.755,9
-26.29,13.895,-29.757,9
-18.766,14.398,-29.758,9
-15.005,14.649,-29.758,9
22.612,17.165,-29.765,9
37.659,18.171,-29.767,9
41.421,18.424,-29.767,9
45.183,18.675,-29.768,9
48.944,18.927,-29.768,9
52.706,19.178,-29.77,9
-60.365,15.126,-29.676,9
-56.603,15.378,-29.677,9
-49.08,15.881,-29.678,9
-30.271,17.139,-29.68,9
-18.986,17.894,-29.682,9
37.439,21.668,-29.692,9
44.963,22.171,-29.693,9
48.725,22.422,-29.693,9
52.486,22.674,-29.694,9
-49.299,19.377,-29.602,9
-45.538,19.629,-29.603,9
-38.014,20.132,-29.604,9
-34.253,20.383,-29.604,9
33.458,24.912,-29.616,9
37.22,25.163,-29.617,9
52.266,26.17,-29.619,9
-45.758,23.124,-29.528,9
-38.234,23.627,-29.529,9
-34.472,23.879,-29.53,9
-30.711,24.13,-29.53,9
-23.187,24.634,-29.532,9
-49.739,26.368,-29.452,9
-45.977,26.621,-29.453,9
-42.216,26.872,-29.453,9
-38.454,27.124,-29.454,9
-34.692,27.375,-29.455,9
-30.931,27.627,-29.455,9
-57.482,29.362,-29.375,9
-49.959,29.865,-29.376,9
-46.197,30.116,-29.377,9
-42.435,30.368,-29.378,9
-34.912,30.871,-29.379,9
-57.702,32.857,-29.3,9
-53.94,33.109,-29.301,9
-50.179,33.36,-29.301,9
-46.417,33.612,-29.302,9
-38.894,34.115,-29.303,9
-50.398,36.857,-29.226,9
-46.857,40.604,-29.152,9
-35.169,-25.845,-26.776,9
-31.407,-25.594,-26.776,9
-27.646,-25.342,-26.776,9
32.541,-21.317,-26.786,9
36.303,-21.065,-26.787,9
-39.151,-22.601,-26.699,9
-35.389,-22.35,-26.7,9
-31.627,-22.098,-26.701,9
-24.104,-21.594,-26.702,9
28.56,-18.072,-26.711,9
39.845,-17.317,-26.713,9
-46.894,-19.608,-26.623,9
-43.132,-19.356,-26.624,9
-39.37,-19.105,-26.625,9
-35.609,-18.853,-26.625,9
-24.324,-18.099,-26.627,9
-20.562,-17.847,-26.628,9
24.579,-14.828,-26.635,9
43.387,-13.57,-26.639,9
-47.114,-16.112,-26.548,9
-43.352,-15.861,-26.549,9
-39.59,-15.609,-26.55,9
-24.543,-14.603,-26.552,9
-20.782,-14.351,-26.553,9
43.167,-10.074,-26.564,9
46.929,-9.8219,-26.563,9
-51.095,-12.868,-26.473,9
-43.572,-12.365,-26.474,9
-24.763,-11.107,-26.476,9
42.947,-6.5778,-26.488,9
50.471,-6.0748,-26.489,9
-47.553,-9.1201,-26.398,9
-43.791,-8.8687,-26.398,9
42.728,-3.0821,-26.413,9
50.251,-2.5788,-26.414,9
-40.25,-5.1213,-26.324,9
-17.679,-3.6117,-26.328,9
50.031,0.917,-26.339,9
53.793,1.1687,-26.34,9
-55.516,-2.6317,-26.247,9
-51.754,-2.3802,-26.247,9
-47.993,-2.1286,-26.248,9
-14.137,0.13586,-26.253,9
49.811,4.4129,-26.263,9
53.573,4.6646,-26.264,9
-55.736,0.86421,-26.171,9
-51.974,1.1157,-26.171,9
-48.213,1.3673,-26.172,9
-44.451,1.619,-26.173,9
45.83,7.6574,-26.188,9
49.592,7.909,-26.189,9
53.353,8.1605,-26.189,9
-59.717,4.1084,-26.095,9
-55.956,4.3601,-26.096,9
-52.194,4.6116,-26.096,9
45.61,11.153,-26.113,9
49.372,11.405,-26.114,9
53.134,11.656,-26.114,9
-59.937,7.6043,-26.02,9
-56.176,7.856,-26.021,9
-52.414,8.1077,-26.022,9
-48.652,8.3591,-26.022,9
-18.559,10.372,-26.027,9
45.39,14.649,-26.038,9
49.152,14.901,-26.038,9
52.914,15.152,-26.039,9
-60.157,11.1,-25.945,9
-56.395,11.352,-25.945,9
-52.634,11.604,-25.947,9
30.124,17.139,-25.96,9
37.647,17.642,-25.961,9
48.932,18.397,-25.963,9
-60.377,14.596,-25.869,9
-56.615,14.848,-25.87,9
-49.092,15.351,-25.871,9
-34.045,16.358,-25.874,9
-22.76,17.113,-25.876,9
-18.998,17.364,-25.877,9
41.189,21.39,-25.887,9
48.712,21.893,-25.888,9
52.474,22.144,-25.889,9
-60.597,18.092,-25.795,9
-56.835,18.343,-25.795,9
-53.073,18.596,-25.796,9
-49.312,18.847,-25.797,9
-41.788,19.35,-25.798,9
-34.265,19.854,-25.799,9
-30.503,20.105,-25.8,9
-22.98,20.608,-25.801,9
14.637,23.124,-25.807,9
18.399,23.376,-25.808,9
25.922,23.879,-25.809,9
29.684,24.131,-25.81,9
40.969,24.885,-25.812,9
48.493,25.388,-25.813,9
52.254,25.64,-25.814,9
56.016,25.891,-25.814,9
-57.055,21.84,-25.72,9
-53.293,22.091,-25.721,9
