"x","y","z","subject"
-22.1,9.6056,-29.276,4
16.138,10.941,-28.81,4
23.785,11.208,-28.717,4
35.257,11.608,-28.577,4
39.08,11.742,-28.53,4
42.904,11.876,-28.484,4
46.728,12.009,-28.437,4
-45.525,12.586,-29.639,4
-41.701,12.719,-29.593,4
-37.877,12.853,-29.546,4
34.775,15.39,-28.66,4
38.598,15.523,-28.614,4
42.422,15.657,-28.567,4
46.246,15.79,-28.52,4
50.07,15.924,-28.474,4
26.645,18.904,-28.837,4
34.293,19.171,-28.744,4
38.116,19.305,-28.697,4
41.94,19.438,-28.65,4
22.339,22.552,-28.967,4
29.987,22.819,-28.873,4
21.857,26.333,-29.05,4
25.681,26.467,-29.003,4
33.328,26.734,-28.91,4
-36.332,-28.92,-24.632,4
-32.508,-28.786,-24.586,4
-28.684,-28.653,-24.539,4
-24.861,-28.519,-24.493,4
-36.814,-25.139,-24.716,4
-25.343,-24.738,-24.576,4
-44.944,-21.624,-24.892,4
-41.12,-21.491,-24.846,4
-37.296,-21.357,-24.799,4
-33.472,-21.224,-24.752,4
-25.825,-20.957,-24.659,4
43.003,-18.553,-23.82,4
-41.602,-17.709,-24.929,4
-37.778,-17.576,-24.882,4
-33.954,-17.442,-24.836,4
-22.483,-17.042,-24.696,4
-18.659,-16.908,-24.649,4
38.697,-14.906,-23.95,4
42.521,-14.772,-23.903,4
-45.908,-14.062,-25.059,4
-42.084,-13.928,-25.012,4
-19.141,-13.127,-24.732,4
38.215,-11.124,-24.033,4
49.686,-10.724,-23.893,4
-50.214,-10.414,-25.189,4
-46.39,-10.28,-25.142,4
-42.566,-10.147,-25.095,4
22.438,-7.8771,-24.303,4
26.262,-7.7435,-24.256,4
30.085,-7.61,-24.209,4
33.909,-7.4765,-24.163,4
37.733,-7.343,-24.116,4
45.381,-7.0759,-24.023,4
-50.696,-6.6327,-25.272,4
21.956,-4.0958,-24.386,4
41.075,-3.4282,-24.153,4
44.898,-3.2946,-24.106,4
-55.002,-2.985,-25.402,4
-51.178,-2.8514,-25.355,4
-28.235,-2.0503,-25.075,4
-24.412,-1.9168,-25.029,4
48.24,0.62016,-24.143,4
-59.308,0.66281,-25.532,4
-51.66,0.92985,-25.438,4
-47.836,1.0634,-25.392,4
-44.012,1.1969,-25.345,4
47.758,4.4014,-24.226,4
51.582,4.535,-24.179,4
55.406,4.6685,-24.133,4
-59.79,4.4441,-25.615,4
-55.966,4.5776,-25.568,4
-52.142,4.7111,-25.522,4
-48.318,4.8447,-25.475,4
-33.023,5.3787,-25.288,4
24.333,7.3816,-24.589,4
28.157,7.5151,-24.542,4
51.1,8.3162,-24.263,4
54.923,8.4498,-24.216,4
-56.448,8.3589,-25.652,4
-52.624,8.4924,-25.605,4
-33.505,9.16,-25.372,4
-18.21,9.6941,-25.185,4
31.499,11.43,-24.579,4
46.794,11.964,-24.393,4
50.618,12.098,-24.346,4
-53.106,12.274,-25.688,4
-49.282,12.407,-25.642,4
-41.635,12.674,-25.548,4
-33.987,12.941,-25.455,4
38.664,15.478,-24.569,4
50.136,15.879,-24.429,4
-53.588,16.055,-25.771,4
-49.765,16.188,-25.725,4
-42.117,16.456,-25.631,4
-22.998,17.123,-25.398,4
-19.174,17.257,-25.352,4
15.24,18.458,-24.932,4
38.182,19.26,-24.652,4
42.006,19.393,-24.606,4
45.83,19.527,-24.559,4
53.477,19.794,-24.466,4
-23.48,20.904,-25.482,4
14.757,22.24,-25.015,4
37.7,23.041,-24.736,4
41.524,23.174,-24.689,4
45.348,23.308,-24.642,4
-27.786,24.552,-25.611,4
37.218,26.822,-24.819,4
41.042,26.956,-24.772,4
44.866,27.089,-24.726,4
-39.74,27.933,-25.835,4
-35.916,28.066,-25.788,4
-32.092,28.2,-25.741,4
29.088,30.336,-24.995,4
36.736,30.603,-24.902,4
40.56,30.737,-24.855,4
52.031,31.137,-24.716,4
-51.693,31.314,-26.058,4
-47.869,31.447,-26.011,4
-40.222,31.714,-25.918,4
-36.398,31.848,-25.871,4
20.959,33.851,-25.172,4
24.782,33.984,-25.125,4
40.078,34.518,-24.939,4
47.725,34.785,-24.845,4
51.549,34.919,-24.799,4
-52.175,35.095,-26.141,4
20.477,37.632,-25.255,4
24.3,37.765,-25.208,4
31.948,38.032,-25.115,4
39.595,38.299,-25.022,4
47.243,38.566,-24.929,4
-41.186,39.277,-26.084,4
-37.362,39.41,-26.038,4
19.995,41.413,-25.338,4
23.818,41.547,-25.292,4
27.642,41.68,-25.245,4
31.466,41.814,-25.198,4
35.29,41.947,-25.152,4
39.113,42.081,-25.105,4
46.761,42.348,-25.012,4
50.585,42.481,-24.965,4
19.512,45.194,-25.422,4
23.336,45.328,-25.375,4
27.16,45.461,-25.328,4
30.984,45.595,-25.282,4
34.808,45.728,-25.235,4
38.631,45.862,-25.188,4
42.455,45.996,-25.142,4
46.279,46.129,-25.095,4
38.149,49.643,-25.272,4
