"x","y","z","subject"
-0.95427,59.708,-41.6,7
-42.463,1.6464,-38.106,7
-38.687,1.71,-37.968,7
-31.134,1.8375,-37.69,7
-27.358,1.9017,-37.551,7
29.288,2.8601,-35.465,7
33.065,2.9239,-35.326,7
40.617,3.0516,-35.047,7
-42.479,5.8714,-37.622,7
-38.702,5.9355,-37.484,7
-34.926,5.9993,-37.345,7
-27.373,6.1269,-37.066,7
33.049,7.1493,-34.842,7
36.826,7.213,-34.702,7
40.602,7.2768,-34.563,7
-34.941,10.225,-36.86,7
-34.92,-11.712,-35.509,7
-38.712,-7.5508,-35.164,7
-27.383,-7.3588,-34.747,7
-23.606,-7.2946,-34.608,7
33.04,-6.3373,-32.521,7
36.816,-6.2731,-32.382,7
-42.504,-3.3889,-34.818,7
-38.727,-3.3256,-34.679,7
-34.951,-3.2614,-34.54,7
-27.398,-3.1336,-34.263,7
-23.622,-3.0694,-34.123,7
25.472,-2.2397,-32.315,7
29.248,-2.1755,-32.176,7
33.024,-2.1112,-32.037,7
36.801,-2.048,-31.898,7
40.577,-1.9834,-31.759,7
-42.519,0.83629,-34.334,7
-23.637,1.1558,-33.639,7
29.233,2.05,-31.692,7
33.009,2.1138,-31.552,7
36.786,2.1777,-31.413,7
-46.31,4.9978,-33.989,7
-38.757,5.1255,-33.711,7
-34.981,5.1893,-33.571,7
-31.205,5.2534,-33.433,7
-27.428,5.3172,-33.294,7
-23.652,5.3811,-33.155,7
29.218,6.2754,-31.207,7
32.994,6.3392,-31.068,7
40.547,6.4672,-30.791,7
44.323,6.5309,-30.651,7
48.1,6.5948,-30.512,7
-50.102,9.1593,-33.644,7
-42.549,9.287,-33.365,7
-38.773,9.3507,-33.226,7
-34.996,9.4146,-33.087,7
-27.443,9.5426,-32.809,7
-23.667,9.6064,-32.67,7
29.203,10.501,-30.723,7
32.979,10.565,-30.584,7
36.755,10.628,-30.444,7
40.532,10.693,-30.306,7
48.085,10.82,-30.028,7
-50.117,13.385,-33.159,7
-46.34,13.448,-33.02,7
-38.788,13.576,-32.742,7
-35.011,13.64,-32.603,7
-31.235,13.704,-32.464,7
21.635,14.598,-30.517,7
25.411,14.662,-30.378,7
29.188,14.726,-30.239,7
36.74,14.854,-29.96,7
40.517,14.918,-29.822,7
51.846,15.109,-29.404,7
-53.908,17.546,-32.814,7
-38.803,17.802,-32.257,7
-23.697,18.057,-31.701,7
-27.489,22.218,-31.356,7
29.238,-15.661,-29.857,7
33.015,-15.597,-29.717,7
36.791,-15.534,-29.578,7
-42.528,-12.649,-32.015,7
-38.752,-12.586,-31.875,7
-31.199,-12.458,-31.597,7
-27.423,-12.394,-31.458,7
36.776,-11.308,-29.094,7
40.552,-11.244,-28.954,7
-46.32,-8.4887,-31.669,7
-42.544,-8.4241,-31.53,7
-27.438,-8.1692,-30.974,7
21.655,-7.3385,-29.165,7
32.984,-7.1465,-28.748,7
40.537,-7.019,-28.47,7
44.314,-6.9548,-28.331,7
-46.335,-4.2626,-31.184,7
-42.559,-4.199,-31.046,7
-38.782,-4.1348,-30.907,7
-27.453,-3.9431,-30.489,7
29.193,-2.9855,-28.404,7
32.969,-2.9213,-28.264,7
40.522,-2.7939,-27.986,7
44.299,-2.7297,-27.846,7
-42.574,0.026184,-30.562,7
-27.468,0.28207,-30.005,7
-19.915,0.40989,-29.727,7
25.401,1.1761,-28.057,7
29.178,1.2403,-27.919,7
32.954,1.3041,-27.78,7
40.507,1.4318,-27.501,7
44.283,1.4956,-27.362,7
48.06,1.5594,-27.223,7
-46.365,4.1877,-30.215,7
-35.036,4.3796,-29.799,7
-27.483,4.5072,-29.52,7
-19.931,4.6352,-29.243,7
17.833,5.2738,-27.851,7
21.61,5.3376,-27.712,7
32.939,5.5295,-27.296,7
44.268,5.721,-26.878,7
48.045,5.7848,-26.738,7
-53.933,8.2854,-30.009,7
-50.157,8.3493,-29.87,7
-38.828,8.5411,-29.454,7
-27.498,8.7325,-29.036,7
-19.946,8.8605,-28.758,7
21.595,9.563,-27.228,7
25.371,9.6271,-27.09,7
29.148,9.691,-26.95,7
32.924,9.7548,-26.811,7
48.03,10.01,-26.254,7
51.806,10.074,-26.116,7
-53.948,12.511,-29.525,7
-46.396,12.639,-29.248,7
-42.619,12.703,-29.108,7
-23.737,13.022,-28.412,7
-19.961,13.086,-28.274,7
21.58,13.788,-26.744,7
29.132,13.916,-26.466,7
32.909,13.98,-26.327,7
48.014,14.236,-25.771,7
-57.74,16.672,-29.18,7
-53.964,16.736,-29.041,7
-46.411,16.864,-28.763,7
-42.634,16.928,-28.624,7
29.117,18.142,-25.982,7
-57.755,20.898,-28.696,7
36.655,22.495,-25.219,7
-61.547,25.06,-28.35,7
-38.792,-17.621,-28.586,7
-35.016,-17.558,-28.447,7
-31.239,-17.493,-28.309,7
-27.463,-17.43,-28.17,7
-23.686,-17.365,-28.03,7
32.96,-16.407,-25.944,7
36.736,-16.343,-25.804,7
-42.584,-13.46,-28.241,7
-38.807,-13.396,-28.102,7
-35.031,-13.332,-27.963,7
-31.254,-13.268,-27.824,7
-19.925,-13.076,-27.407,7
25.392,-12.31,-25.738,7
36.721,-12.118,-25.32,7
40.497,-12.054,-25.182,7
-50.152,-9.3621,-28.035,7
-46.375,-9.2979,-27.896,7
21.6,-8.1477,-25.393,7
44.258,-7.7649,-24.558,7
-53.943,-5.2002,-27.69,7
-50.167,-5.1369,-27.551,7
-46.39,-5.0727,-27.412,7
-27.508,-4.7532,-26.716,7
21.585,-3.9225,-24.908,7
32.914,-3.7318,-24.491,7
-53.958,-0.975,-27.206,7
-46.405,-0.84753,-26.927,7
-42.629,-0.78332,-26.788,7
-27.523,-0.52785,-26.232,7
-16.194,-0.33635,-25.814,7
