"","face","place","object","x","y","z","subject","class","cluster"
"10061",-0.777578136214501,1.09526642983232,-0.317688293617822,12.488,70.352,-11.882,8,"place",2
"1007",-1.44420888226984,1.31242986202594,0.1317790202439,19.697,70.67,-12.207,8,"place",2
"10151",-0.948494869693847,0.92209462249687,0.0264002471969773,-23.741,72.507,-10.097,8,"place",2
"10221",-1.258884014946,1.07835956613305,0.180524448812946,15.91,74.261,-11.887,8,"place",2
"1023",-1.12694438464741,0.777942740996991,0.349001643650414,19.515,74.421,-12.05,8,"place",2
"10291",-0.540561395072541,0.825646816007187,-0.285085420934646,-16.714,76.576,-10.264,8,"place",2
"10351",-0.913096254962527,0.880149630143711,0.0329466248188155,-31.315,79.688,-9.4564,8,"place",2
"1078",0.00557615961796002,-0.72514807814387,0.71957191852591,-47.963,-19.16,-8.7107,8,"object",3
"10891",-0.122849634378685,0.832962279956263,-0.710112645577578,49.18,-11.105,-12.947,8,"place",2
"11332",-1.57413505266448,-0.0268472513711369,1.60098230403562,-64.204,17.701,-6.4844,8,"object",3
"11451",-0.908123295463122,-0.15596412662945,1.06408742209257,-57.359,25.521,-6.4943,8,"object",3
"1148",-0.0393578501188146,-0.548587421332661,0.587945271451475,54.385,30.463,-11.54,8,"object",3
"11521",-0.564103014696857,-1.04231167854425,1.6064146932411,-57.541,29.27,-6.3369,8,"object",3
"11532",-0.103427876285581,0.550122827448833,-0.446694951163252,-14.286,31.184,-8.2896,8,"place",2
"1155",-0.169447554480534,-0.497226544382816,0.66667409886335,50.598,34.053,-11.22,8,"object",3
"1172",-0.0922981148330947,-0.770250706160106,0.862548820993201,53.838,41.713,-11.067,8,"object",3
"1184",-0.997522682537016,0.739805890349828,0.257716792187189,-61.875,44.11,-5.5438,8,"place",2
"1188",-0.554649639741248,0.704792075015237,-0.150142435273989,10.218,47.299,-8.7987,8,"place",2
"1202",-1.24345873791664,1.13977874762009,0.103679990296557,-26.193,53.204,-6.8559,8,"place",2
"12051",-1.67062630882164,0.519099908557322,1.15152640026432,31.482,55.756,-9.4602,8,"place",2
"1207",-0.490303283362481,-0.518662094895149,1.00896537825763,45.9,56.394,-10.112,8,"object",3
"1217",-1.31565480162785,1.4153321480507,-0.0996773464228475,24.09,59.187,-8.977,8,"place",2
"1218",-1.13827059520276,-0.219888192663922,1.35815878786669,31.299,59.505,-9.3028,8,"object",3
"12191",-0.317473827690025,-0.527840118826882,0.845313946516907,34.904,59.664,-9.4653,8,"object",3
"1222",-0.240157813618831,-0.825501059562694,1.06565887318152,45.718,60.143,-9.9544,8,"object",3
"1223",-0.772449545616205,-0.941038969238446,1.71348851485465,49.323,60.302,-10.117,8,"object",3
"1224",-0.822584683513001,-0.563073720148529,1.38565840366153,52.927,60.462,-10.279,8,"object",3
"12292",-0.423278855522967,0.794950748935803,-0.371671893412836,-22.953,60.864,-6.7035,8,"place",2
"12331",-0.470631185909782,1.09420512601456,-0.62357394010478,13.094,62.458,-8.3315,8,"place",2
"12341",-0.809814278543198,0.923132379777581,-0.113318101234383,20.303,62.777,-8.6572,8,"place",2
"12351",-0.354166783872081,1.1971127047967,-0.842945920924623,23.908,62.936,-8.8196,8,"place",2
"12361",-0.952340342636597,-0.411597549023079,1.36393789165968,31.117,63.256,-9.1453,8,"object",3
"1246",-0.262857271832506,0.758112466529984,-0.495255194697478,-23.135,64.613,-6.5461,8,"place",2
"1252",-0.801830819437627,1.53289070765413,-0.731059888216501,12.912,66.208,-8.174,8,"place",2
"1253",-1.00130145240698,1.21735501585935,-0.216053563452376,20.121,66.527,-8.4998,8,"place",2
"12631",-0.457759539549427,0.849249997238601,-0.391490457689174,-23.317,68.364,-6.3886,8,"place",2
"12691",-0.836929690378,1.24593238429668,-0.409002693918676,12.729,69.958,-8.0166,8,"place",2
"1270",-1.32790313624186,1.15601392455749,0.171889211684366,16.334,70.117,-8.179,8,"place",2
"12711",-1.3943024304823,1.40801968393986,-0.0137172534575578,19.939,70.276,-8.3415,8,"place",2
"12811",-0.703683809743997,1.12715997208066,-0.423476162336666,-16.29,72.432,-6.5571,8,"place",2
"12861",-1.17172291639742,1.44374208882547,-0.272019172428051,12.547,73.708,-7.8592,8,"place",2
"1287",-1.27685388840474,1.278115099011,-0.00126121060626061,16.152,73.867,-8.0216,8,"place",2
"1293",-0.252267518089812,1.0658418875499,-0.813574369460089,-27.286,75.704,-5.9104,8,"place",2
"12961",-0.511795495597067,0.928107257208874,-0.416311761611807,-16.472,76.182,-6.3986,8,"place",2
"1297",-0.228470777224473,1.02025000628708,-0.791779229062603,-12.868,76.342,-6.562,8,"place",2
"13021",-1.424909613011,1.62564833295002,-0.200738719939022,12.365,77.458,-7.7007,8,"place",2
"1303",-1.15160296650996,1.35312858522523,-0.201525618715274,15.97,77.617,-7.8641,8,"place",2
"1308",-0.373823369988748,1.38928581535549,-1.01546244536674,-31.073,79.294,-5.5906,8,"place",2
"13091",-0.748542106055428,1.97013121957333,-1.2215891135179,-27.469,79.453,-5.7531,8,"place",2
"1310",-0.513908730921361,1.29226948097162,-0.778360750050257,-20.259,79.773,-6.0788,8,"place",2
"13162",-0.386684911128647,2.00063549183846,-1.61395058070981,4.9733,80.888,-7.2186,8,"place",2
"1348",-1.66125607143815,1.86699537284705,-0.205739301408908,25.283,-35.113,-8.888,8,"place",2
"1352",0.158486698802545,-0.584560126811128,0.426073428008583,-25.365,-33.596,-6.4517,8,"object",3
