"","face","place","object","x","y","z","subject","class","cluster"
"101",0.672992862635321,-1.39360863800973,0.720615775374406,-38.702,5.9355,-37.484,7,"object",3
"100",1.72776835622937,-1.38472565263214,-0.343042703597224,-27.468,0.28207,-30.005,7,"face",1
"10001",-0.537746180862808,-0.97492914084424,1.51267532170705,55.115,43.306,1.0207,7,"object",3
"10051",-0.305587057726554,-0.778286188803643,1.0838732465302,-61.984,49.777,-2.3228,7,"object",3
"1014",2.06339591069981,-3.05759602704021,0.994200116340402,-46.908,58.483,-0.79706,7,"object",3
"1024",-1.7431693297507,-1.4783009166325,3.2214702463832,39.934,64.178,2.8858,7,"object",3
"1029",-0.84656008287739,1.65840650997028,-0.811846427092891,-20.504,67.382,1.1455,7,"place",2
"10342",2.54761613868333,-2.13805401588744,-0.409562122795895,-50.73,71.096,0.51682,7,"face",1
"1041",-0.334800558367277,1.15085112440293,-0.816050566035655,13.469,72.182,2.8808,7,"place",2
"10421",-0.13115640041617,0.655846249265355,-0.524689848849184,17.245,72.246,3.0202,7,"place",2
"10432",-0.848690014435988,1.72494519012015,-0.876255175684163,21.021,72.309,3.1592,7,"place",2
"10502",-0.798137717175442,1.85350953880675,-1.0553718216313,9.6771,76.344,3.2261,7,"place",2
"1051",-0.735738105278233,1.72769494106296,-0.991956835784723,13.454,76.407,3.3651,7,"place",2
"10521",-0.0735795294805376,0.615717060955786,-0.542137531475249,17.23,76.471,3.5045,7,"place",2
"1059",-0.478321899384612,0.939032568269764,-0.460710668885152,-20.549,80.058,2.5974,7,"place",2
"10711",-0.697555633484241,0.894858503492908,-0.197302870008667,5.8705,84.731,4.0557,7,"place",2
"10822",0.172875330751477,-2.00372499304328,1.8308496622918,20.961,89.211,5.0967,7,"object",3
"1138",0.95649415790438,0.715784645143668,-1.67227880304805,55.196,4.469,0.43435,7,"place",2
"1145",0.882930535673654,0.704745638797307,-1.58767617447096,51.389,12.856,1.264,7,"place",2
"1175",2.19438064016695,-2.1722942015754,-0.0220864385915444,51.283,42.433,4.6542,7,"face",1
"11911",1.23938485691325,-2.50979624229118,1.27041138537793,-54.516,57.546,2.697,7,"object",3
"1197",1.66050413801754,-1.16248528904885,-0.498018848968687,-58.308,61.708,3.0432,7,"face",1
"1205",1.86620942962496,-1.66738577193648,-0.198823657688485,-54.547,65.997,3.6659,7,"face",1
"12091",-0.962043603159129,2.48626256819426,-1.52421896503513,-16.783,66.636,5.0573,7,"place",2
"1210",-0.841170576562723,1.55536899743211,-0.714198420869388,9.6522,67.083,6.0309,7,"place",2
"1211",-0.378528063359546,1.17283837123636,-0.794310307876816,17.205,67.211,6.3083,7,"place",2
"1216",2.97073527362677,-1.9235349347715,-1.04720033885527,-50.785,70.286,4.2893,7,"face",1
"1219",-0.194230268956604,0.715522679595401,-0.521292410638797,-24.351,70.734,5.2632,7,"place",2
"1221",-0.477328018418454,0.771978004574036,-0.294649986155581,13.413,71.373,6.6536,7,"place",2
"12291",-0.75275956121931,0.96581474214409,-0.21305518092478,-13.036,75.15,6.1652,7,"place",2
"12321",-0.704963645965549,1.05883598862589,-0.35387234266034,2.0692,75.406,6.7211,7,"place",2
"1233",-0.275640012110216,1.09219512977441,-0.816555117664194,5.8456,75.47,6.8604,7,"place",2
"1234",-0.557732732458845,0.770002376508545,-0.2122696440497,13.398,75.598,7.1379,7,"place",2
"1235",-0.230733272298865,0.769820557949424,-0.539087285650559,17.175,75.661,7.2769,7,"place",2
"1241",-1.25288418673526,2.85285823093881,-1.59997404420355,-31.934,79.056,5.9534,7,"place",2
"1243",-0.68955228770606,0.951043993903882,-0.261491706197822,-13.052,79.376,6.6495,7,"place",2
"1249",-1.41443581660959,1.79263981043632,-0.378203993826728,-35.725,83.217,6.2983,7,"place",2
"125",-0.294898039518261,-0.579625915880451,0.874523955398712,32.924,9.7548,-26.811,7,"object",3
"12561",-0.538539651346002,0.993518263381443,-0.454978612035441,5.8153,83.92,7.829,7,"place",2
"1269",-1.64221165095219,0.0716274944481764,1.57058415650402,-31.979,91.732,7.4063,7,"object",3
"12742",0.21030663190096,0.426445679501132,-0.636752311402093,6.2596,-56.326,-4.3815,7,"place",2
"12791",0.223652487212612,0.459589362123476,-0.683241849336088,6.2444,-52.101,-3.8972,7,"place",2
"1284",0.227239548101815,0.459982766508374,-0.687222314610189,6.2293,-47.876,-3.4129,7,"place",2
"1302",0.330499205050965,0.447687489557571,-0.778186694608537,17.528,-39.233,-2.0262,7,"place",2
"13671",0.554029601054632,1.58666160283456,-2.14069120388919,58.826,29.075,7.2523,7,"place",2
"1373",2.12361303170403,-1.74565149196889,-0.377961539735141,51.228,41.624,8.4274,7,"face",1
"1378",2.35165554547983,-0.820774650586529,-1.53088089489331,47.437,45.785,8.7725,7,"face",1
"13791",2.35201628182656,-1.18946730303745,-1.16254897878911,51.213,45.849,8.9117,7,"face",1
"1396",2.1145068708583,-1.08550732464682,-1.02899954621147,-54.602,65.187,7.4393,7,"face",1
"1397",1.65697459055254,0.028286525602347,-1.68526111615488,-50.825,65.251,7.5787,7,"face",1
"1398",-0.870486030676653,1.23672297284631,-0.36623694216966,-9.285,65.953,9.1081,7,"place",2
"13991",-1.21694141376332,1.30291129878003,-0.085969885016704,9.597,66.273,9.8033,7,"place",2
"1400",-0.74987433624843,1.45315210398598,-0.703277767737554,13.373,66.337,9.9427,7,"place",2
"1401",-1.19166688737173,2.65856683052654,-1.46689994315481,17.15,66.4,10.082,7,"place",2
"1405",-0.693728573158037,0.976515153124504,-0.282786579966466,-9.3001,70.178,9.5924,7,"place",2
"1410",0.275792547232713,1.77966878048182,-2.05546132771453,-50.856,73.701,8.5473,7,"place",2
