"","face","place","object","x","y","z","subject","class","cluster"
"10212",0.419239035729896,0.105630845068396,-0.524869880798292,50.447,-7.1344,-18.878,9,"face",1
"1027",0.582893107596273,-1.02924897384945,0.446355866253175,31.418,-4.8967,-18.799,9,"object",3
"10281",0.315415140049483,0.654620256975042,-0.970035397024525,50.227,-3.6388,-18.802,9,"face",1
"1036",0.246786347493869,0.0406131545200907,-0.28739950201396,-32.043,-14.046,-34.162,9,"face",1
"10343",-1.00404918317434,-0.348666892209622,1.35271607538397,-2.6568,-3.6651,-18.719,9,"object",3
"1066",0.446178467399007,-0.165336634683264,-0.280841832715743,-56.2,6.7962,-18.409,9,"face",1
"1072",-0.161839776879465,-0.820589863537619,0.982429640417084,56.651,14.344,-18.428,9,"object",3
"1074",0.529365103851779,0.00661590781412119,-0.5359810116659,-48.896,10.795,-18.335,9,"face",1
"1086",0.0539535328982776,-0.346944251877766,0.292990718979488,14.613,22.064,-18.196,9,"object",3
"10911",-0.824094688473014,0.0723291875470221,0.751765500925992,52.01,28.076,-18.127,9,"object",3
"1096",-1.29023860795058,0.310531021767211,0.97970758618337,51.791,31.572,-18.052,9,"place",2
"1143",2.09501468149888,-0.88037211494658,-1.2146425665523,35.645,48.045,-17.673,9,"face",1
"1150",-0.398171983494962,-1.38639648387172,1.78456846736668,-51.094,45.754,-17.584,9,"object",3
"11522",1.33036788735978,-0.439567769799131,-0.890800117560653,-39.809,46.509,-17.586,9,"face",1
"11533",-0.770765745561299,-0.0556664957609151,0.826432241322214,-24.762,47.516,-17.588,9,"object",3
"1157",1.90124853852729,-0.938763127121992,-0.962485411405298,31.663,51.29,-17.598,9,"face",1
"1158",1.38877276636035,-0.919506838354196,-0.469265928006155,35.425,51.541,-17.598,9,"face",1
"1161",-0.64608283300183,-0.518040171784145,1.16412300478597,50.472,52.548,-17.601,9,"object",3
"1166",1.5632396552881,-1.03503620565597,-0.528203449632125,-40.029,50.005,-17.511,9,"face",1
"1167",-1.08282914891777,0.0452007543909752,1.03762839452679,-28.744,50.76,-17.513,9,"object",3
"1168",-0.512140857981838,-0.143554491306212,0.65569534928805,-24.982,51.011,-17.513,9,"object",3
"11721",1.43797930718989,-0.734249074300542,-0.70373023288935,31.444,54.786,-17.523,9,"face",1
"1181",1.35083630432363,-0.774945786931387,-0.575890517392242,-40.249,53.501,-17.436,9,"face",1
"1190",-1.18325338076526,-0.109362572553233,1.29261595331849,23.7,57.778,-17.447,9,"object",3
"11912",-1.28659411770264,-1.29556799908281,2.58216211678545,27.462,58.03,-17.447,9,"object",3
"12052",1.61808156102325,-0.0724295002573577,-1.54565206076589,-17.898,58.507,-17.364,9,"face",1
"12452",-1.65336049313334,1.0861663209961,0.567194172137248,-37.146,64.24,-17.211,9,"place",2
"12562",-1.29864065739332,0.759433589220867,0.539207068172451,15.518,67.763,-17.22,9,"place",2
"1257",-1.25907338658587,0.17185805214591,1.08721533443996,19.279,68.014,-17.22,9,"place",2
"1264",-1.65068630812149,0.452277399614543,1.19840890850695,-33.604,67.988,-17.136,9,"place",2
"12701",-1.31242022044038,0.328558672984398,0.98386154745598,15.298,71.259,-17.144,9,"place",2
"12712",-1.04067448677199,0.170771666106265,0.869902820665728,19.059,71.511,-17.144,9,"object",3
"12721",-1.4620619556083,-0.0836218819178014,1.5456838375261,22.821,71.762,-17.145,9,"object",3
"1285",-1.33633559015998,0.696289986740869,0.640045603419116,18.84,75.006,-17.07,9,"place",2
"12862",-1.8866880019434,0.807881879924939,1.07880612201846,22.601,75.258,-17.07,9,"place",2
"1290",0.322780551875203,1.16885443187137,-1.49163498374658,-26.521,75.484,-16.987,9,"place",2
"1291",0.921493594145562,1.03791575165369,-1.95940934579925,-22.759,75.735,-16.988,9,"face",1
"13131",1.3763169690792,0.589975359086506,-1.9662923281657,18.18,85.494,-16.844,9,"face",1
"1403",1.06914924560491,0.0874477612963456,-1.15659700690126,-47.589,-10.711,-14.98,9,"face",1
"1439",0.48797944710441,0.5546249459154,-1.04260439301981,-59.974,6.0146,-14.603,9,"face",1
"1440",0.463451217597547,0.00398797310441131,-0.467439190701958,-56.212,6.2662,-14.604,9,"face",1
"14491",0.74978864208412,0.00441653791141389,-0.754205179995534,-48.908,10.265,-14.53,9,"face",1
"14531",1.37669317468301,0.141970201924165,-1.51866337660717,-45.366,14.013,-14.455,9,"face",1
"1477",-1.16724170808607,0.600347119598118,0.566894588487951,32.75,33.28,-14.168,9,"place",2
"15",0.23030478386392,0.589165790640557,-0.819470574504477,-29.136,1.2491,-41.474,9,"face",1
"150",0.0620553863342481,-0.900313710904851,0.838258324570603,50.055,1.9769,-33.95,9,"object",3
"1507",-0.994737913101708,1.97495127537474,-0.98021336227303,-58.41,41.226,-13.852,9,"place",2
"1516",-0.140280487921278,1.51691278577605,-1.37663229785477,-58.63,44.721,-13.777,9,"place",2
"15172",-0.850612552254619,-0.703888552751799,1.55450110500642,-51.106,45.224,-13.778,9,"object",3
"15182",-1.7689433602983,1.94919935007743,-0.180255989779134,-32.298,46.482,-13.781,9,"place",2
"1528",1.68088653285601,-0.637853485333547,-1.04303304752246,-43.803,49.224,-13.705,9,"face",1
"15291",-1.18309512187666,1.77566440069601,-0.592569278819354,-32.517,49.979,-13.706,9,"place",2
"1530",-1.11667796647837,0.468298492576876,0.648379473901492,-24.994,50.482,-13.708,9,"place",2
"1536",-2.13861060119049,1.92487011263032,0.213740488560175,16.385,53.25,-13.714,9,"place",2
