"","face","place","object","x","y","z","subject","class","cluster"
"10041",-1.29965120849255,1.42816689583971,-0.128515687347153,60.858,15.365,-14.293,6,"place",2
"10121",-1.40797505836835,1.95848837686253,-0.55051331849418,60.936,18.928,-14.298,6,"place",2
"1026",-1.82578530063791,-0.320669129908716,2.14645443054663,68.086,25.947,-14.139,6,"object",3
"10341",-1.91973021346278,-0.0760988102078684,1.99582902367064,68.163,29.509,-14.144,6,"object",3
"1053",0.49466534716159,0.626892611628107,-1.1215579587897,-5.0435,41.3,-15.957,6,"face",1
"10671",-1.40600008582159,2.96714094571484,-1.56114085989326,-29.446,45.23,-16.561,6,"place",2
"10821",-2.5347894978068,2.19706350075018,0.33772599705662,26.587,47.951,-15.198,6,"place",2
"10831",3.3515844512615,-2.01830471316252,-1.33327973809898,47.57,47.636,-14.685,6,"face",1
"1092",-2.50491584797584,2.83648905064191,-0.331573202666073,-25.793,52.302,-16.486,6,"place",2
"10971",1.91249092767002,-0.782566030698557,-1.12992489697147,44.15,51.251,-14.776,6,"face",1
"1104",0.346186763590709,-2.10641586799981,1.7602291044091,-46.698,56.18,-17.005,6,"object",3
"1106",-2.59475415225266,2.77478727133607,-0.180033119083411,-25.715,55.864,-16.492,6,"place",2
"11131",2.85675701945586,-1.81693677079884,-1.03982024865701,44.228,54.813,-14.782,6,"face",1
"11251",1.19341370299561,0.576930179165652,-1.77034388216126,-11.649,59.216,-16.156,6,"face",1
"11331",-2.64043519643599,0.696644450188565,1.94379074624743,30.317,58.586,-15.13,6,"object",3
"1152",-2.72552353753621,1.82976363905632,0.895759898479893,26.898,62.2,-15.221,6,"place",2
"11531",-2.22797509888799,0.96293361031757,1.26504148857042,30.395,62.148,-15.135,6,"place",2
"1163",-2.497210660255,1.56429776754725,0.932912892707753,-32.476,66.656,-16.68,6,"place",2
"1176",-3.35124744286019,0.714009492041937,2.63723795081826,33.97,65.657,-15.055,6,"object",3
"12311",-0.627085111078577,2.65418948292559,-2.02710437184701,37.701,76.292,-14.987,6,"place",2
"12501",5.95310497400688,-3.23849302694378,-2.7146119470631,34.359,83.469,-15.084,6,"face",1
"12761",-0.77858854383605,1.53557741728798,-0.756988873451934,24.49,-48.471,-11.046,6,"place",2
"12801",-0.153464420247678,-0.532280148095614,0.685744568343292,-3.4098,-44.488,-11.735,6,"object",3
"13121",0.423836664789996,0.535556848315866,-0.959393513105862,-44.909,-22.484,-12.795,6,"face",1
"13141",1.41291755335032,-1.50345788263484,0.090540329284513,-48.328,-18.869,-12.886,6,"object",3
"13161",1.71953677554691,-0.908853118008266,-0.810683657538641,-48.25,-15.307,-12.892,6,"face",1
"1367",1.71296280497584,-1.20440006025831,-0.508562744717526,-65.036,17.016,-13.37,6,"face",1
"1382",0.503560943469523,-1.2040344241908,0.700473480721273,-64.88,24.141,-13.381,6,"object",3
"1399",-0.259915711767306,-1.10207608861365,1.36199180038096,-64.724,31.265,-13.392,6,"object",3
"14431",1.95570544953744,-2.89156432408419,0.935858874546751,47.496,43.832,-10.679,6,"object",3
"1451",-2.62171857121008,1.65620680042934,0.965511770780744,33.586,47.605,-11.027,6,"place",2
"1463",-2.72419152469139,1.67469501305747,1.04949651163391,30.166,51.22,-11.118,6,"place",2
"14641",2.03628340402521,-1.11263122980901,-0.923652174216202,44.155,51.009,-10.776,6,"face",1
"1466",-0.627252136043214,-1.45862819107704,2.08588032712025,58.144,50.799,-10.434,6,"object",3
"14671",0.968395602725423,-2.42632199069778,1.45792638797235,61.641,50.747,-10.348,6,"object",3
"1469",0.601705640707918,-2.80316078081951,2.2014551401116,-57.185,56.096,-13.261,6,"object",3
"14751",-2.20804837955918,1.10654724935867,1.10150113020051,30.244,54.782,-11.123,6,"place",2
"1480",2.11360427430798,-3.50063815200091,1.38703387769293,-57.107,59.658,-13.266,6,"object",3
"14851",-1.80521936049978,2.06549223554642,-0.260272875046641,-25.633,59.185,-12.497,6,"place",2
"1491",-3.40178901201648,2.20776174480957,1.19402726720691,30.322,58.344,-11.129,6,"place",2
"1503",-2.49452967657744,2.91830617214888,-0.423776495571441,-22.058,62.695,-12.417,6,"place",2
"1510",-2.50712604509488,2.49534891108773,0.0117771340071489,26.903,61.959,-11.22,6,"place",2
"15111",-3.23344062552918,2.67537497312058,0.558065652408602,30.4,61.906,-11.135,6,"place",2
"1529",-2.53609828106956,3.28160630255551,-0.745508021485959,30.478,65.469,-11.14,6,"place",2
"1619",4.15780003940123,-1.65586153516634,-2.50193850423489,37.861,83.175,-10.997,6,"face",1
"1642",-0.825263329065463,1.40764330209036,-0.582379973024894,32.784,13.189,-30.974,6,"place",2
"1641",-0.606924123076079,1.34021690611688,-0.733292783040796,-21.202,-58.716,-8.1397,6,"place",2
"1647",-0.327998075096791,0.501793744234824,-0.173795669138033,-35.113,-54.944,-8.4873,6,"face",1
"1657",-0.30520840500408,0.516129445335867,-0.210921040331787,-24.544,-51.539,-8.2364,6,"face",1
"17021",0.331810534817108,0.359170077463155,-0.690980612280263,39.261,-13.3,-6.7593,6,"face",1
"1751",-0.900481865917919,1.34936071189089,-0.448878845972968,-33.507,21.312,-32.61,6,"place",2
"18101",-0.554765378794306,1.24831121805287,-0.69354583925856,5.5351,44.222,-7.7041,6,"place",2
"1834",-2.47900520554343,-0.149946663213357,2.62895186875679,58.148,50.558,-6.4329,6,"object",3
"1846",-1.71557583128653,-1.08865735298707,2.8042331842736,58.226,54.12,-6.4385,6,"object",3
"1885",-1.8189414929356,2.8915375654442,-1.0725960725086,30.482,65.227,-7.1394,6,"place",2
"1991",0.723139301402264,0.407850927853227,-1.13099022925549,-41.352,-18.009,-28.718,6,"face",1
"200",1.53115763034878,-1.13733696666362,-0.393820663685163,-34.358,-18.114,-28.547,6,"face",1
"2015",-0.148810925529538,0.869063514244117,-0.720252588714579,-24.773,-62.467,-4.2188,6,"face",1
"202",1.20873713748766,0.550571719809645,-1.7593088572973,-51.766,-14.289,-28.981,6,"face",1
"20811",0.158701205043718,0.65759793077402,-0.816299135817738,46.183,-17.209,-2.5819,6,"face",1
"2091",1.25404891165726,0.835868038323732,-2.08991694998099,49.835,-10.137,-2.5076,6,"face",1
"2099",0.582118248365042,1.45268118859407,-2.03479943695912,56.985,-3.1176,-2.3479,6,"face",1
"2116",0.209402743046829,0.41250364670536,-0.621906389752189,-44.121,12.656,-4.8497,6,"face",1
"2193",-1.08999362923688,-1.76415753503249,2.85415116426937,54.656,50.369,-2.5176,6,"object",3
"2201",-1.23545563718899,-0.982217286210152,2.21767292339915,58.231,53.879,-2.4377,6,"object",3
"22041",2.59475354572726,-1.54122671308352,-1.05352683264374,-60.595,59.228,-5.3502,6,"face",1
"2210",-0.798524372401881,-2.05459201925282,2.85311639165471,54.811,57.493,-2.5289,6,"object",3
"2211",-0.871256160303109,-1.9962286500278,2.86748481033091,58.309,57.441,-2.4434,6,"object",3
"2223",-1.3328605217581,-1.13960458395911,2.47246510571721,58.386,61.003,-2.449,6,"object",3
"22291",2.12653960374412,-0.0404873113802562,-2.08605229236386,-39.456,66.037,-4.8485,6,"face",1
"2237",0.035517102123779,-2.08463291296611,2.04911581084233,51.47,64.671,-2.6256,6,"object",3
"2242",0.721939422275319,1.95800414270398,-2.6799435649793,-32.384,69.494,-4.6831,6,"face",1
"2273",0.616515394625834,-1.99435391315505,1.37783851852922,51.626,71.795,-2.6368,6,"object",3
"2363",-2.49337325641544,1.83762390492197,0.65574935149347,34.529,89.869,-3.0924,6,"place",2
"23991",0.300985151033699,-1.00995353637313,0.708968385339432,-31.529,-51.917,-0.40583,6,"object",3
"2435",1.62124307833218,0.536954446094591,-2.15819752442677,-55.464,-26.613,-1.0436,6,"face",1
"2437",1.27851239601714,0.831302567632043,-2.10981496364918,-55.386,-23.05,-1.0492,6,"face",1
"2440",1.19940887075297,0.360934388720618,-1.56034325947359,-55.308,-19.488,-1.0549,6,"face",1
"2446",0.98724870050331,0.0656812860260094,-1.05292998652932,42.69,-17.398,1.3334,6,"face",1
"24581",0.1636759636822,1.39434103864376,-1.55801700232596,49.918,-6.8161,1.4876,6,"face",1
"2463",-0.464814154225047,1.3562570739199,-0.891442919694857,49.996,-3.2538,1.4819,6,"place",2
"25",0.724337990742469,1.83331565123979,-2.55765364198226,14.748,-11.243,-35.363,6,"face",1
"25141",-1.48545094649607,2.44874423374418,-0.963293287248107,-68.052,37.718,-1.4867,6,"place",2
"252",0.255790987668736,-1.20865426234951,0.95286327468077,18.8,13.158,-27.316,6,"object",3
"2543",4.14167115292301,-0.607457089650885,-3.53421406327213,-60.668,55.424,-1.3438,6,"face",1
"2555",-1.07782453098676,2.66741012649656,-1.58958559550979,-46.602,58.776,-1.0075,6,"place",2
"2579",-1.59108048594432,1.87194351863668,-0.280863032692356,23.497,64.85,0.69123,6,"place",2
"267",-0.462367489120683,1.33298797894331,-0.870620489822629,-40.496,21.176,-28.78,6,"place",2
"2674",-1.29232970237142,-0.974334861099626,2.26666456347104,-11.085,83.187,-0.19182,6,"object",3
"2681",-0.95064214374207,1.93913173050331,-0.988489586761243,-33.502,21.071,-28.609,6,"place",2
"26891",-1.39650302574118,3.38749201092621,-1.99098898518504,-35.487,87.117,-0.79591,6,"place",2
"2701",-1.40370970257172,3.14493571646245,-1.74122601389073,-35.41,90.679,-0.80153,6,"place",2
"2720",-1.5487553340521,2.18955349136198,-0.640798157309879,13.629,93.506,0.3898,6,"place",2
"2799",1.03620962816365,-1.72269877617956,0.686489148015907,42.15,-42.575,5.3735,6,"object",3
"2811",2.53629551805655,-0.703787022360453,-1.8325084956961,-51.884,-23.344,3.037,6,"face",1
"2814",1.78837738157982,-0.358473092324543,-1.42990428925528,-51.807,-19.782,3.0314,6,"face",1
"2825",0.41009602901359,0.386911735159482,-0.797007764173072,49.767,-14.182,5.4996,6,"face",1
"2829",0.563552750515625,-1.33177669169796,0.768223941182335,-41.082,-9.253,3.2711,6,"object",3
"2857",0.616528177763135,1.02059731469823,-1.63712549246137,60.803,10.596,5.7167,6,"face",1
"2862",0.526759234305702,0.767521766833357,-1.29428100113906,64.378,14.106,5.7966,6,"face",1
"2934",2.42212623485425,0.170421184047433,-2.59254741890168,-60.663,55.183,2.657,6,"face",1
"2935",1.98063742269264,-0.219852775822549,-1.76078464687009,-57.166,55.131,2.7425,6,"face",1
"29522",-1.52867703144875,2.61059411652839,-1.08191708507964,-22.039,61.729,3.5862,6,"place",2
"29531",-1.43771830262609,2.10353640791925,-0.665818105293164,-18.542,61.677,3.6717,6,"place",2
"2954",-1.39209761729548,1.48266529524588,-0.0905676779504007,-15.045,61.624,3.7572,6,"place",2
"2955",-1.16499048402548,1.54067282941755,-0.375682345392069,-8.0503,61.519,3.9282,6,"place",2
"29623",-1.33388263044075,2.73274054323682,-1.39885791279607,-25.458,65.344,3.4951,6,"place",2
"3037",2.19708718658262,-0.242117252810703,-1.95496993377192,55.288,78.384,5.439,6,"face",1
"3038",-2.66366734014761,-0.334941939660019,2.99860927980763,-42.555,83.418,3.0395,6,"object",3
"30721",-1.08086744158162,-1.9402752758314,3.02114271741302,44.952,85.667,5.1713,6,"object",3
"3112",0.0533721406697083,0.62806164902031,-0.681433789690018,-17.764,-63.296,7.9546,6,"face",1
"3115",0.0792042061970638,0.358038159806092,-0.437242366003156,-0.27846,-63.559,8.3821,6,"face",1
"31451",0.398861227689168,-0.41929309975644,0.0204318720672722,-7.0393,-52.767,8.1942,6,"object",3
"316",-1.064101015847,1.9582343178968,-0.894133302049801,-33.035,42.444,-28.643,6,"place",2
"3167",-0.0654944616017913,-1.2990128902312,1.36450735183299,38.657,-42.764,9.2888,6,"object",3
"31681",0.373995603798411,-1.21797387922854,0.843978275430133,42.155,-42.816,9.3743,6,"object",3
"3174",-0.778987888818691,-0.461066664130286,1.24005455294898,45.73,-39.307,9.4542,6,"object",3
"322",2.42301963529782,-1.11665505947856,-1.30636457581926,-39.874,49.674,-28.825,6,"face",1
"324",2.92840740661712,-1.31293660350249,-1.61547080311463,-39.796,53.236,-28.831,6,"face",1
"3251",2.47981920353423,-2.03535612874918,-0.44446307478505,-36.299,53.184,-28.745,6,"object",3
"3270",1.09760082195716,0.248720893555225,-1.34632171551239,61.586,45.977,9.6614,6,"face",1
"3271",2.01157120641442,-0.630310556006733,-1.38126065040769,65.083,45.925,9.7469,6,"face",1
"32891",-0.520762051005333,2.79444545997186,-2.27368340896652,-43.095,58.241,7.0796,6,"place",2
"329",3.29342569149673,-1.46573810979949,-1.82768758169724,-39.718,56.799,-28.836,6,"face",1
"3295",1.29354854061806,1.12865137073548,-2.42219991135354,-60.503,62.066,6.6465,6,"face",1
"33011",-2.09346770403417,3.00144065912363,-0.907972955089465,-22.034,61.488,7.587,6,"place",2
"3302",-2.29879548158535,2.92281037738717,-0.624014895801821,-18.537,61.436,7.6725,6,"place",2
"3311",2.79493569767333,-0.26641643669495,-2.52851926097838,-60.425,65.629,6.6409,6,"face",1
"33121",2.15279590120356,0.509778056310148,-2.66257395751371,-56.928,65.576,6.7264,6,"face",1
"33251",-1.2191523076114,2.3766119615181,-1.1574596539067,-21.879,68.613,7.5757,6,"place",2
"3338",1.9980965168734,0.523247991579424,-2.52134450845282,-53.275,72.648,6.8007,6,"face",1
"3350",-1.95563666486043,0.74090031375654,1.21473635110389,6.1766,71.754,8.2541,6,"place",2
"33741",-2.89340131458981,3.24599108048553,-0.352589765895713,-39.131,79.562,7.1314,6,"place",2
"3392",-3.32503287504508,1.11921613990224,2.20581673514283,-42.55,83.177,7.0403,6,"object",3
"3393",-1.45853450896102,2.76552767936959,-1.30699317040857,-35.556,83.072,7.2113,6,"place",2
"342",1.22878822858075,-0.797982709001903,-0.430805519578851,-34.353,-18.355,-24.547,6,"face",1
"34211",-2.99445816411349,1.70213309191272,1.29232507220077,41.46,85.478,9.0866,6,"place",2
"34411",-0.572691467220218,1.61820229920036,-1.04551083198014,-35.322,93.759,7.1944,6,"place",2
"3453",-1.93923528784613,0.679552572145993,1.25968271570014,41.615,92.602,9.0753,6,"place",2
"3481",-0.708614282968572,-1.36356454317102,2.07217882613959,-51.761,-14.53,-24.98,6,"object",3
"3508",0.683001413983806,1.05836971654371,-1.74137113052751,-17.448,-49.289,11.933,6,"face",1
"35161",0.427607661094347,-1.22454493144152,0.796937270347178,-34.856,-45.464,11.5,6,"object",3
"3517",0.328418145622224,-0.905906410377443,0.577488264755219,-31.359,-45.516,11.585,6,"object",3
"3526",0.420789330613401,-1.52877019973625,1.10798086912285,38.662,-43.005,13.29,6,"object",3
"35271",0.235510961110471,-1.17479569952341,0.939284738412936,42.159,-43.058,13.375,6,"object",3
"353",1.64239874137099,-0.743486628921667,-0.898912112449325,-34.276,-14.793,-24.552,6,"face",1
"3538",0.542730124251308,-1.2091875002647,0.666457376013387,-45.114,-34.619,11.226,6,"object",3
"3548",-0.958416103853641,1.97686298500123,-1.01844688114759,-58.947,-27.284,10.873,6,"place",2
"3583",-0.877613113475948,2.63194314556262,-1.75433003208667,-65.241,4.8813,10.652,6,"place",2
"359",0.403216124894488,-0.889814713702173,0.486598588807685,-51.684,-10.968,-24.985,6,"object",3
"3690",1.56376679562576,0.0204884782199715,-1.58425527384573,61.825,56.423,13.645,6,"face",1
"3712",-1.9725305571972,1.36082263070339,0.61170792649381,27.009,64.073,12.779,6,"place",2
"37221",-0.823669951868526,2.35106556346271,-1.52739561159419,-21.874,68.371,11.577,6,"place",2
"37301",-1.48085893293507,1.10842783956165,0.372431093373425,27.086,67.635,12.773,6,"place",2
"37391",-2.12733759299814,1.90666496730117,0.220672625696971,16.673,71.355,12.511,6,"place",2
"3766",-0.71290628975423,2.02425043751687,-1.31134414776264,-32.132,79.216,11.303,6,"place",2
"3781",-2.31787660538273,0.354360719309063,1.96351588607367,44.806,78.059,13.184,6,"object",3
"3788",-1.24744076436735,2.0263708568745,-0.778930092507151,-32.054,82.778,11.298,6,"place",2
"383",1.03805036521807,-0.315016155122913,-0.723034210095159,-55.025,-3.791,-25.082,6,"face",1
"3888",0.999715323630674,-0.108818550460341,-0.890896773170333,-10.605,-56.76,16.116,6,"face",1
"39341",0.444524561104228,-1.04426395467198,0.599739393567757,-45.032,-31.298,15.222,6,"object",3
"3935",0.496150669917133,-1.50259687305214,1.00644620313501,-41.535,-31.351,15.307,6,"object",3
"394",2.06837647261638,0.759010537136887,-2.82738700975327,-47.875,3.2284,-24.922,6,"face",1
"3945",-0.643232968977299,-0.993166435205047,1.63639940418235,-51.87,-24.068,15.039,6,"object",3
"4003",1.52008463738784,1.45344586420965,-2.97353050159749,-47.797,6.7907,-24.928,6,"face",1
"4019",0.554129859304076,0.937158069415941,-1.49128792872002,-36.558,36.28,15.286,6,"face",1
"40451",1.14520430466984,0.384208701770768,-1.52941300644061,65.171,49.004,17.743,6,"face",1
"4051",-0.112277595074164,1.60164298411563,-1.48936538904146,-58.211,10.511,-25.19,6,"face",1
"40682",1.66643480049894,-0.121587469851974,-1.54484733064697,-1.0419,60.69,16.102,6,"face",1
"41351",-1.42303706760891,2.33542722911901,-0.9123901615101,23.827,78.133,16.672,6,"place",2
"4143",-1.48566735607281,2.10634635375708,-0.620678997684268,-32.049,82.537,15.298,6,"place",2
"4171",-2.15063864689692,0.836253264857859,1.31438538203906,44.966,84.942,17.174,6,"place",2
"4223",1.472028992434,-0.865402987776768,-0.606626004657228,-0.10874,-57.159,20.373,6,"face",1
"4264",0.585385883417619,-1.26982849983378,0.684442616416164,28.18,-43.33,21.035,6,"object",3
"4271",0.209768331218404,-1.0974680851433,0.887699753924895,-45.105,-35.102,19.228,6,"object",3
"4278",0.744629003343007,-1.26601701590889,0.521388012565883,38.827,-36.363,21.28,6,"object",3
