"","face","place","object","x","y","z","subject","class","cluster"
"10",0.978901835085261,0.367816435066409,-1.34671827015167,19.336,17.159,-30.128,5,"face",1
"1006",1.32193290792019,-0.603983025018022,-0.717949882902167,-49.091,29.998,-7.7661,5,"face",1
"10171",1.5710704202994,-1.5079778730664,-0.0630925472329977,-49.311,37.255,-6.6966,5,"object",3
"10191",2.23304454155939,-1.18064587545504,-1.05239866610435,-49.421,40.883,-6.1612,5,"face",1
"1028",-1.42450438194476,2.227115216048,-0.80261083410324,-30.771,45.046,-4.3398,5,"place",2
"1032",-1.97130299235477,2.17636138896666,-0.205058396611899,29.262,46.753,-0.22244,5,"place",2
"10381",-1.36376085200197,2.27676414944663,-0.913003297444667,-30.88,48.675,-3.8054,5,"place",2
"1042",-2.07410787698881,2.97780381141638,-0.903695934427575,25.4,50.275,0.054724,5,"place",2
"10431",-1.7405122827008,2.44156476696249,-0.701052484261694,29.152,50.382,0.31166,5,"place",2
"10571",-1.9076022062501,3.52612656301345,-1.61852435676335,21.538,53.797,0.33189,5,"place",2
"10581",-2.33351479757301,2.65396825823478,-0.320453460661776,25.29,53.904,0.58917,5,"place",2
"1071",-1.76070025714708,2.68944929413666,-0.928749036989571,21.428,57.426,0.86634,5,"place",2
"10731",-0.826527748863797,-0.932214587393983,1.75874233625778,40.189,57.959,2.1532,5,"object",3
"10761",0.695022901505358,-1.78198567423089,1.08696277272554,-46.218,59.134,-3.2305,5,"object",3
"1077",-0.100578209568339,-1.91267089711307,2.01324910668141,-42.466,59.24,-2.9726,5,"object",3
"1118",-0.821228405182446,2.89406328779293,-2.07283488261049,21.099,68.311,2.4712,5,"face",1
"1120",-1.63122931015398,-0.188265264315845,1.81949457446983,32.355,68.631,3.2433,5,"object",3
"1169",0.58293081327102,-2.13258385064272,1.5496530373717,20.55,86.454,5.1446,5,"object",3
"1182",0.147696339287041,0.255948257362488,-0.403644596649529,-16.912,-42.722,-13.004,5,"face",1
"11861",0.905934640825241,0.513698010159786,-1.41963265098503,-28.278,-39.413,-13.241,5,"face",1
"1227",1.10158454043716,-1.20198608858049,0.100401548143334,38.82,-22.978,-6.4706,5,"object",3
"1231",1.12035645958627,-1.18057046538591,0.0602140057996434,38.71,-19.35,-5.936,5,"object",3
"124",-0.646213028686559,-0.284621867733113,0.930834896419672,-25.239,-5.2697,-25.696,5,"object",3
"12451",1.02901459406247,0.140688275632928,-1.16970286969539,45.775,-4.622,-3.2823,5,"face",1
"1250",1.26791622109259,-0.125614569606706,-1.14230165148588,49.417,-0.88662,-2.4901,5,"face",1
"1262",0.372404609058826,0.594935906042042,-0.967340515100868,45.445,6.2638,-1.678,5,"face",1
"1275",0.712328412431228,-0.141457802441666,-0.570870609989562,41.474,13.414,-0.86577,5,"face",1
"1309",1.18062647191171,-0.77399377346174,-0.406632698449968,-49.234,32.625,-3.8323,5,"face",1
"1313",2.20635419138366,-0.467881531689003,-1.73847265969466,-53.096,36.147,-3.5552,5,"face",1
"1314",2.51178127483383,-1.70710357422833,-0.804677700605497,-49.344,36.253,-3.2982,5,"face",1
"1318",2.14348888711669,-0.802768933555682,-1.34071995356101,-49.454,39.882,-2.7638,5,"face",1
"1323",2.280841895888,-1.07141470494098,-1.20942719094702,-49.564,43.511,-2.2284,5,"face",1
"1330",1.14246418606219,1.39771116958072,-2.54017535564291,-49.783,50.768,-1.1589,5,"face",1
"1357",-0.701975329064689,-1.20789250003216,1.90986782909685,36.184,64.108,6.3632,5,"object",3
"1372",-1.05145218728727,-0.861719295374705,1.91317148266198,36.074,67.736,6.8986,5,"object",3
"1392",2.13580166320357,0.249784025202174,-2.38558568840574,28.35,74.78,7.4532,5,"face",1
"140",0.451290566659514,-1.20034869676558,0.749058130106062,-44.219,1.4541,-25.913,5,"object",3
"1454",0.0848536872362558,1.66051575290108,-1.74536944013733,-39.457,-44.364,-11.15,5,"face",1
"14711",0.938338038606682,0.502243254326974,-1.44058129293366,-28.311,-40.415,-9.8435,5,"face",1
"1485",0.142534309087949,1.00781844066424,-1.15035274975219,42.868,-34.759,-4.4196,5,"face",1
"1511",0.300003583288557,1.21452334677454,-1.51452693006309,34.595,-9.5723,-1.1909,5,"face",1
"1517",0.333773910567857,0.773998765980521,-1.10777267654838,41.88,-2.1018,0.39316,5,"face",1
"1518",0.303086105020497,0.943283217018427,-1.24636932203892,45.632,-1.995,0.65049,5,"face",1
"1538",-0.328542515534908,-0.40860578342098,0.737148298955888,-56.112,9.6382,-4.1581,5,"object",3
"15521",0.331320777855354,-0.920005423824998,0.588684645969644,41.221,19.67,3.6019,5,"object",3
"1561",-0.145758692698578,-1.0090067210682,1.15476541376678,41.111,23.298,4.1363,5,"object",3
"1587",-0.642125511627667,0.483558214033002,0.158567297594665,-0.6007,36.639,3.445,5,"face",1
"1592",2.06936725679133,-1.3079284700931,-0.761438786698226,-53.239,38.774,0.37761,5,"face",1
"15971",2.86074252034549,-0.804202221550997,-2.05654029879449,-57.101,42.295,0.65478,5,"face",1
"1598",1.96084277429048,-1.79291041859195,-0.167932355698534,-53.349,42.402,0.91172,5,"object",3
"1599",2.16929347912258,-1.51994340486333,-0.649350074259252,-49.597,42.509,1.1699,5,"face",1
"1602",-0.306522808976604,0.954193844013102,-0.647671035036498,6.6837,44.11,5.0292,5,"face",1
"1603",2.71418295178541,-1.0450193362566,-1.66916361552881,-49.707,46.137,1.704,5,"face",1
"1605",2.69512051612035,-0.850022058601159,-1.84509845751919,-49.816,49.766,2.2385,5,"face",1
"1609",-0.490713904687501,-1.04358451361193,1.53429841829943,-57.43,53.181,2.2587,5,"object",3
"1612",0.311961867942981,0.864237400987809,-1.17619926893079,2.6022,54.888,6.3758,5,"face",1
"1616",-0.896494674051236,-1.5768003459313,2.47329501998255,-57.54,56.81,2.7941,5,"object",3
"1621",-1.19499121019329,2.68972723237041,-1.49473602217712,-27.524,57.664,4.8522,5,"face",1
"1627",1.06846577954711,-1.87599410176576,0.807528322218652,-57.65,60.438,3.3282,5,"object",3
"1628",2.51897725363698,-1.21140710538381,-1.30757014825317,-50.146,60.652,3.8434,5,"face",1
"1629",2.13941303419915,0.290353583652011,-2.42976661785116,-46.394,60.758,4.1003,5,"face",1
"164",-0.0305068311301626,-0.510555285163776,0.541062116293939,-33.292,12.66,-23.537,5,"object",3
"1648",2.42621263298546,-1.20551911626498,-1.22069351672048,36.041,66.735,10.296,5,"face",1
"16561",-1.44806784072799,2.00581374549103,-0.557745904763044,13.419,69.723,9.2872,5,"place",2
"1682",0.216475434653711,-1.36824738433135,1.15177194967764,-13.065,76.233,8.5556,5,"object",3
"1686",-0.563453191498841,-1.82200860720647,2.38546179870531,20.703,77.194,10.871,5,"object",3
"16961",0.161622021514199,-2.0619174283834,1.9002954068692,16.842,80.715,11.149,5,"object",3
"174",-0.222534892425461,-0.414987571341045,0.637522463766505,-33.402,16.289,-23.002,5,"object",3
"176",-0.361551788604944,-0.578593375970612,0.940145164575556,-25.898,16.502,-22.488,5,"object",3
"1789",0.603818865098071,0.161840119305282,-0.765658984403353,-40.478,-12.708,-2.9395,5,"face",1
"181",-0.270403753906708,-0.360764205020289,0.631167958926997,-33.512,19.917,-22.467,5,"object",3
"1857",2.01895183614967,-2.5703181622903,0.551366326140631,51.895,37.131,10.445,5,"object",3
"18611",0.246632156451273,-3.02211564751106,2.77548349105979,44.281,40.547,10.466,5,"object",3
"18702",1.07758835428383,-1.58403929422705,0.506450939943223,51.675,44.388,11.515,5,"object",3
"1874",2.22652299545909,-1.58770124490091,-0.638821750558177,-49.85,48.765,5.6369,5,"face",1
"1879",-0.277916561802526,1.02180797481771,-0.74389141301518,-12.439,53.46,8.7447,5,"face",1
"1910",-1.6450837003499,1.81869141695587,-0.173607716605975,13.496,65.093,12.15,5,"place",2
"1921",-1.52270563254845,2.08851522218849,-0.565809589640042,13.386,68.722,12.685,5,"place",2
"1975",1.09890683722407,-2.33068557659296,1.23177873936889,-32.078,81.955,11.736,5,"object",3
"1989",1.1506417311394,-0.298405051777506,-0.852236679361892,-5.9234,86.331,14.072,5,"face",1
"2018",-0.124994580423872,0.248723651566655,-0.123729071142782,-16.791,-52.984,-3.8801,5,"face",1
"2039",-1.50892645820254,0.224381284333686,1.28454517386885,-5.7546,-45.407,-2.0385,5,"place",2
"2069",1.37162444733563,-0.513075343388836,-0.858549103946798,-40.072,-28.225,-1.6804,5,"face",1
"211",1.71142158415605,1.11643529954762,-2.82785688370367,37.448,32.83,-15.974,5,"face",1
"2127",0.878868584667521,-0.820756139964903,-0.0581124447026179,-56.398,14.892,3.7073,5,"object",3
"2156",0.874148739008641,-0.333766848738353,-0.540381890270288,-49.333,29.619,6.3609,5,"face",1
"2187",-0.931077237906515,-0.569226467762947,1.50030370566946,47.89,43.28,14.656,5,"object",3
"2188",0.131384196804933,-1.20721514692959,1.07583095012465,51.642,43.387,14.913,5,"object",3
"2198",-1.15162273759583,-0.487921576043372,1.6395443136392,47.78,46.908,15.19,5,"object",3
"2208",-0.430554014843607,1.30549259308077,-0.87493857823716,-19.976,52.244,11.628,5,"face",1
"2209",-0.945203874205538,1.85433944950278,-0.909135575297241,-16.224,52.352,11.886,5,"face",1
"22161",-1.23506009284291,1.49785673673003,-0.262796643887126,-23.838,55.767,11.906,5,"place",2
"2246",-1.4956841197853,1.39246349727921,0.103220622506165,13.463,64.091,15.548,5,"place",2
"2253",-1.47442758740023,1.67930615695359,-0.204878569553359,13.353,67.72,16.083,5,"place",2
"2254",-1.46229699755075,1.69535109398329,-0.233054096432535,17.105,67.826,16.34,5,"place",2
"2264",-1.69906726300083,1.41300090121249,0.286066361788339,9.491,71.241,16.36,5,"place",2
"2265",-1.33096381167343,1.46313774299019,-0.132173931316752,13.243,71.348,16.618,5,"place",2
"233",3.55247824397497,-1.48211213373124,-2.07036611024373,-37.923,41.582,-19.516,5,"face",1
"23491",-1.37841819732096,-0.671336327806485,2.04975452512744,-35.694,-50.891,-1.2336,5,"object",3
"23511",-1.64502708978731,-0.312997682625397,1.9580247724127,-5.6779,-50.037,0.82449,5,"object",3
"2371",1.01271879368955,-2.1541988826162,1.14148008892665,35.375,-41.607,4.7251,5,"object",3
"2394",1.23568582298858,-0.483661693190899,-0.75202412979768,-40.105,-29.226,1.717,5,"face",1
"2408",-0.63346576697226,-1.41766818623768,2.05113395320994,49.724,-19.408,8.9629,5,"object",3
"2422",-1.23466084622979,0.866242991277563,0.368417854952228,-44.406,-11.19,4.1338,5,"place",2
"2429",-0.23628790063771,0.599393341890708,-0.363105441252999,-52.02,-7.7746,4.1541,5,"face",1
"2482",-0.107994987138847,2.03393780221885,-1.92594281508,59.662,24.455,16.152,5,"face",1
"2550",1.05233352860667,-0.162813607662957,-0.889519920943709,-5.1109,55.298,16.59,5,"face",1
"2551",0.615411041654656,0.0090097084245861,-0.624420750079242,-1.3589,55.405,16.847,5,"face",1
"2556",-1.41147579934735,1.87341620314504,-0.461940403797682,-23.981,58.393,15.838,5,"place",2
"2561",0.838875120473163,0.950850179932454,-1.78972530040562,34.98,-11.821,-19.251,5,"face",1
"25651",1.3360242647754,-0.115369951818491,-1.2206543129569,-50.355,61.275,14.572,5,"face",1
