"","face","place","object","x","y","z","subject","class","cluster"
"1008",-1.30527168141941,-1.36364260034464,2.66891428176406,-60.339,46.764,-3.0201,3,"object",3
"1012",0.21374656898936,0.119556605872194,-0.333303174861554,2.7883,45.578,-0.51668,3,"face",1
"1013",0.36408795786677,0.116755304484294,-0.480843262351063,51.887,44.656,1.4315,3,"face",1
"1021",0.378962865374686,0.113387956461522,-0.492350821836207,6.0939,49.741,0.2269,3,"face",1
"103",-0.74842651076008,-1.25400094516363,2.00242745592371,47.147,6.837,-23.305,3,"object",3
"1038",-2.11005201957564,3.50697000609514,-1.3969179865195,-4.8304,58.394,1.0182,3,"place",2
"1043",-0.789051268170069,-1.92282957409812,2.71188084226819,54.79,57.275,3.383,3,"object",3
"1046",1.01706752898376,-1.3264875902972,0.309420061313439,-50.624,63.477,-0.1858,3,"face",1
"1049",1.00933764469677,-0.521406874315592,-0.487930770381178,-1.5248,62.556,1.7614,3,"face",1
"1050",0.970746337894678,0.59886301407396,-1.56960935196864,8.9964,62.358,2.179,3,"face",1
"1054",-0.402226010579048,-1.18451684806235,1.5867428586414,-54.332,67.771,0.27981,3,"object",3
"1055",0.915586972550732,-0.792799002120935,-0.122787970429797,-50.825,67.705,0.41879,3,"face",1
"1060",0.906232696049656,-0.182636148414908,-0.723596547634748,1.7807,66.718,2.505,3,"face",1
"1068",-1.52879507442432,3.49239352602617,-1.96359845160184,50.88,65.797,4.4523,3,"place",2
"1073",-2.95924660037594,1.71729667749823,1.24194992287771,40.157,70.222,4.639,3,"place",2
"1075",1.80905075282546,0.752902209496697,-2.56195296232216,-47.721,76.096,1.7657,3,"face",1
"1076",1.79560409031802,0.26417032073177,-2.05977441104979,-44.214,76.03,1.9056,3,"face",1
"1082",-1.19531395865213,-0.476842182888976,1.67215614154111,-44.416,80.257,2.5089,3,"object",3
"1084",-1.3274136220372,2.7677661128594,-1.4403524908222,-33.894,80.06,2.9265,3,"place",2
"1089",0.365554379416085,-0.122379612323092,-0.243174767092993,1.1762,79.402,4.3175,3,"face",1
"1097",0.017560431833354,-1.46897587990848,1.45141544807513,43.261,78.612,5.9868,3,"object",3
"1099",1.94498662404102,0.893161291155981,-2.838147915197,-37.603,84.353,3.3921,3,"face",1
"110",-0.434675688452244,2.7656084828566,-2.33093279440436,-33.919,16.807,-25.296,3,"face",1
"1110",0.149214051054633,2.03054226620466,-2.17975631725929,25.524,83.169,5.8949,3,"face",1
"1113",0.566431583226319,2.00840890183638,-2.57484048506269,-27.283,88.384,4.4133,3,"face",1
"1125",1.42605898370971,-0.17523686507841,-1.2508221186313,4.0787,92.02,6.2696,3,"face",1
"1126",1.6817082749339,-1.75913980939275,0.0774315344588485,7.5858,91.954,6.4086,3,"face",1
"1133",-0.0814170110386484,-2.15301148577617,2.23442849681482,2.6553,-27.097,-7.2436,3,"object",3
"1135",1.28206346593416,-1.67973997218963,0.397676506255471,-29.11,-22.277,-7.8914,3,"face",1
"1144",-0.632963721937615,1.84106045912592,-1.20809673718831,2.2523,-18.642,-6.0352,3,"face",1
"120",-0.556684627106942,-1.03974445923505,1.59642908634199,-34.322,25.263,-24.087,3,"object",3
"1226",0.465991398498746,-1.5036419687191,1.03765057022035,-49.869,45.7,1.0804,3,"object",3
"1228",0.334397185236378,0.450669323935357,-0.785066509171735,-7.7846,44.91,2.75,3,"face",1
"1229",0.165014410673779,0.273456735507534,-0.438471146181313,-0.77045,44.779,3.0276,3,"face",1
"1230",0.407459696209427,0.251496106588771,-0.658955802798198,51.836,43.791,5.1148,3,"face",1
"1232",-2.66416631667415,0.0355206467734351,2.62864566990071,58.85,43.659,5.3924,3,"object",3
"1236",0.550297614981859,-1.06884971720651,0.518552102224654,-50.071,49.928,1.685,3,"object",3
"1238",-0.100958218552498,-1.07597718220803,1.17693540076053,58.648,47.887,5.997,3,"object",3
"1248",0.517029694650815,0.0455458077352753,-0.56257550238609,2.1321,57.397,4.9801,3,"face",1
"1255",2.09725993042502,-0.908645422416879,-1.18861450800814,-47.168,62.546,3.6362,3,"face",1
"1259",-2.28976358375066,0.234932867680244,2.05483071607042,40.508,60.9,7.114,3,"object",3
"126",0.817613258445035,1.06419263059641,-1.88180588904144,-39.574,-13.523,-26.121,3,"face",1
"1263",-2.01866833843779,3.76292552091797,-1.74425718248018,-12.299,66.116,5.6314,3,"place",2
"1266",-3.01510303236445,1.75125879886836,1.26384423349609,40.307,65.128,7.7186,3,"place",2
"1271",1.29966200769071,-0.175018794706219,-1.12464321298449,-47.571,71.002,4.8453,3,"face",1
"1272",1.75950095922245,-0.98760040826644,-0.771900550956006,-44.064,70.936,4.984,3,"face",1
"1274",0.350658017003471,-0.0626488031778055,-0.288009213825665,5.0346,70.014,6.9312,3,"face",1
"1278",-1.27923383515961,1.29931468838971,-0.0200808532301025,36.598,69.422,8.1833,3,"place",2
"128",0.832456885391013,0.365632095409142,-1.19808898080015,-25.546,-13.787,-25.564,3,"face",1
"1282",1.74050354061912,0.805661869402399,-2.54616541002152,-47.773,75.23,5.4496,3,"face",1
"1283",3.46866202817093,-0.681090860724594,-2.78757116744634,-44.266,75.164,5.5886,3,"face",1
"1294",1.86374402156683,0.428004751298712,-2.29174877286554,-40.96,79.326,6.3318,3,"face",1
"1295",-0.819758027207174,3.08338516154246,-2.26362713433529,-37.453,79.26,6.4708,3,"face",1
"134",1.4236432632077,-0.118454714202091,-1.30518854900561,-39.775,-9.2951,-25.516,3,"face",1
"1349",0.598386755870907,-0.531929338057495,-0.0664574178134115,-32.467,-27.305,-4.9513,3,"face",1
"1360",0.848096186170913,-0.56865512818788,-0.279441057983033,-39.884,-18.717,-4.0211,3,"face",1
"1361",0.649965666118032,-0.429706860950793,-0.220258805167239,40.778,-20.231,-0.82203,3,"face",1
"1368",0.528790189956418,-0.496000356916368,-0.03278983304005,-29.766,-10.459,-2.3955,3,"face",1
"1379",0.684980797792515,-1.69089787911577,1.00591708132326,50.493,-3.5168,2.0122,3,"object",3
"14",0.502103915905292,-0.0488917547849881,-0.453212161120304,-33.815,18.538,-32.662,3,"face",1
"1422",2.0324672628927,-0.904881938863302,-1.1275853240294,-53.227,40.672,4.0211,3,"face",1
"1423",1.78571382694313,-1.13598028447394,-0.649733542469194,-49.72,40.607,4.1601,3,"face",1
"1425",0.2895587302483,0.235591769882604,-0.525150500130904,-0.62064,39.685,6.1073,3,"face",1
"1426",0.414672974701459,0.116679664158732,-0.531352638860192,48.478,38.763,8.0545,3,"face",1
"1431",1.7255176274584,-0.113327218286957,-1.61219040917144,-60.442,45.032,4.3468,3,"face",1
"1432",1.78310597958308,-0.0536956894195962,-1.72941029016348,-56.935,44.966,4.4858,3,"face",1
"1433",2.11797442392407,-0.905166964316404,-1.21280745960767,48.277,42.991,8.6588,3,"face",1
"1434",0.114832197803722,-2.32193128157024,2.20709908376652,51.784,42.925,8.7978,3,"object",3
"1438",1.46841788913158,-0.478111418112756,-0.990306471018828,-60.644,49.26,4.9514,3,"face",1
"1443",-0.110707196808856,-2.20743926338028,2.31814646018913,55.089,47.087,9.541,3,"object",3
"1448",0.128157913840461,0.0889527621272177,-0.217110675967679,47.874,51.447,9.867,3,"face",1
"1449",0.872893270304919,-2.69500851453326,1.82211524422834,51.381,51.381,10.006,3,"object",3
"1455",0.42614508729823,-0.735132195137801,0.308987107839571,47.672,55.675,10.471,3,"face",1
"1461",1.46836831034843,-1.8637565097666,0.395388199418161,-47.22,61.68,7.3201,3,"face",1
"1464",0.201955309181462,0.116584976941796,-0.318540286123259,40.457,60.034,10.797,3,"face",1
"1467",1.53202917605167,-1.28911851902445,-0.242910657027212,-43.915,65.842,8.0636,3,"face",1
"1470",-1.64805568272977,3.12461973649083,-1.47656405376106,-15.858,65.316,9.1758,3,"place",2
"1471",-1.07825469992943,0.974839523953366,0.10341517597606,36.748,64.328,11.263,3,"place",2
"1475",0.222233414877839,-1.42157827150157,1.19934485662374,-40.609,70.004,8.8069,3,"object",3
"1482",1.19480734732803,1.20650160331283,-2.40130895064086,-40.811,74.233,9.4105,3,"face",1
"1490",1.1973181777008,0.798343481317149,-1.99566165901795,-44.519,78.526,9.8761,3,"face",1
"1505",1.9566636729585,-0.0950747525129237,-1.86158892044563,-37.706,82.623,10.758,3,"face",1
"153",0.93553151482592,0.576757381750391,-1.51228889657631,51.005,-2.5505,-20.691,3,"face",1
"1571",0.845846988825547,-0.731509278342642,-0.114337710482904,-29.012,-28.236,-1.129,3,"face",1
"1583",0.833150928664942,-0.442566314076171,-0.390584614588772,-1.5597,-16.079,1.7966,3,"face",1
"1588",0.67851538700723,-0.855497329311873,0.176981942304644,44.032,-16.935,3.6046,3,"face",1
"1591",0.714311540193788,-0.495187439916251,-0.219124100277537,33.309,-12.509,3.7918,3,"face",1
"1632",-1.53625292091565,-0.160237792405777,1.69649071332143,-55.778,18.732,4.5436,3,"object",3
"1633",-0.285305780524978,-0.948470562861616,1.23377634338659,-48.764,18.601,4.8221,3,"object",3
"165",0.828087374546167,-1.00011789565682,0.172030521110654,19.039,6.498,-20.735,3,"face",1
"1656",2.8295069219929,-1.53969413089265,-1.28981279110026,58.948,37.7,12.155,3,"face",1
"1671",1.49708689115083,-2.29359237492594,0.796505483775108,47.822,50.581,13.55,3,"object",3
"1672",1.51140944079137,-2.37627786013239,0.86486841934102,51.329,50.515,13.689,3,"object",3
"1673",-1.56989923810148,-0.865252073056436,2.43515131115791,54.836,50.449,13.828,3,"object",3
"1674",-1.31083037469345,-0.831417830738639,2.14224820543209,58.343,50.384,13.968,3,"object",3
"1681",0.153884873215464,0.161666318013445,-0.315551191228909,16.057,55.402,12.902,3,"face",1
"1683",2.11590039640736,-0.823153456271082,-1.29274694013628,47.621,54.809,14.154,3,"face",1
"1684",1.80612654430567,-2.02037479470686,0.214248250401191,-61.3,61.078,10.447,3,"face",1
"1688",2.10179173673364,-0.983983028516601,-1.11780870821704,43.912,59.103,14.62,3,"face",1
"1689",2.71538321777865,-2.36027626841787,-0.355106949360776,50.926,58.972,14.898,3,"face",1
"1693",0.823091395900111,-0.871725775422833,0.0486343795227224,-47.473,65.042,11.608,3,"face",1
"1694",2.01602554881963,-1.0168740872159,-0.999151461603734,-43.966,64.977,11.747,3,"face",1
"1695",2.10614103162692,-1.257368167815,-0.848772863811924,-40.459,64.911,11.886,3,"face",1
"1696",1.48607912911452,-0.547637425313696,-0.938441703800823,-19.417,64.516,12.72,3,"face",1
"1697",-0.975231720436322,1.6108266213106,-0.635594900874274,43.71,63.331,15.223,3,"place",2
"1698",2.3670238043004,-2.0563570624846,-0.310666741815805,47.217,63.265,15.363,3,"face",1
"1699",1.41124926284914,-2.18390712650404,0.772657863654901,50.725,63.199,15.502,3,"object",3
"1701",0.5977967419566,-2.02240173438366,1.42460499242706,-23.125,68.81,13.185,3,"object",3
"1702",-1.55235357837241,3.29456555178911,-1.7422119734167,-16.111,68.678,13.463,3,"place",2
"1705",-2.24586080535498,2.37691911698626,-0.131058311631278,32.988,67.756,15.41,3,"place",2
"1707",1.4851224267866,-1.73848175291263,0.253359326126028,40.002,67.625,15.689,3,"face",1
"1710",1.40085000231531,-1.50607922086895,0.105229218553645,-40.862,73.367,13.094,3,"face",1
"1713",-1.45884909456477,3.371139862532,-1.91229076796723,-19.82,72.971,13.929,3,"place",2
"1717",-1.58465941626288,2.50807498381068,-0.923415567547794,39.8,71.853,16.294,3,"place",2
"1718",2.00862191350544,-1.31992237925203,-0.688699534253413,-41.064,77.595,13.698,3,"face",1
"1727",0.390402134537538,1.02453658822117,-1.41493872275871,11.542,76.607,15.784,3,"face",1
"1729",-1.67915977300259,3.23200129846746,-1.55284152546486,25.571,76.344,16.34,3,"place",2
"1750",0.866959230507387,-1.3046883008993,0.437729070391915,-10.319,-54.799,-0.376,3,"face",1
"1757",1.76194598281778,-0.943316743896128,-0.818629238921647,-3.7078,-46.474,1.1108,3,"face",1
"1787",0.280510647643432,-0.292005442059691,0.0114947944162594,-43.495,-20.382,3.2064,3,"face",1
"1807",0.108795328913383,-0.714738392748731,0.605943063835348,-44.905,9.2132,7.4357,3,"object",3
"1811",-0.775652480799639,-0.906799008552892,1.68245148935253,-55.628,13.639,7.6227,3,"object",3
"1844",0.374550397214869,-0.0616283880868117,-0.312922009128057,38.055,33.001,14.399,3,"face",1
"1861",1.72060957575114,-0.0894647769753265,-1.63114479877582,19.915,46.014,15.517,3,"face",1
"1864",2.15692512559531,-0.550444848965124,-1.60648027663019,51.277,49.65,17.373,3,"face",1
"1867",-1.23056819577007,-0.913366053028485,2.14393424879855,-47.122,55.721,14.082,3,"object",3
