...1,x,y,z,face,place,object,cluster,category
V57,21.11,56.075,-27.889,7.96E-04,3.52E-04,-0.001147763,1,place
V69,17.207,59.493,-27.152,-4.31E-04,4.24E-04,7.43E-06,1,place
V415,17.973,40.325,-16.965,2.19E-04,2.77E-04,-4.97E-04,1,place
V416,21.74,40.374,-16.924,1.10E-04,0.000806062,-9.16E-04,1,place
V428,-31.143,43.172,-16.714,6.54E-04,-5.27E-04,-1.27E-04,2,face
V429,-27.375,43.219,-16.673,-1.05E-04,-8.20E-04,9.26E-04,2,face
V432,17.837,43.792,-16.187,7.62E-04,-3.81E-04,-3.80E-04,2,face
V433,21.605,43.84,-16.147,-2.81E-04,2.32E-04,4.91E-05,1,place
V436,32.908,43.983,-16.025,-4.82E-04,2.30E-04,2.52E-04,3,object
V443,-31.278,46.638,-15.935,6.83E-04,-9.70E-04,2.88E-04,2,face
V450,21.47,47.306,-15.368,-2.04E-04,5.24E-04,-3.20E-04,1,place
V453,32.773,47.45,-15.246,-3.51E-04,4.86E-04,-1.36E-04,1,place
V455,-42.716,49.961,-15.279,-2.84E-04,5.82E-04,-2.99E-04,1,place
V459,-27.646,50.151,-15.118,-1.54E-04,-4.25E-04,5.79E-04,3,object
V463,21.335,50.773,-14.591,-2.43E-04,-2.91E-04,5.34E-04,3,object
V472,-31.549,53.571,-14.38,6.31E-04,-0.001086342,4.55E-04,2,face
V473,-27.781,53.618,-14.339,4.36E-04,9.75E-05,-5.33E-04,1,place
V481,21.199,54.239,-13.813,5.22E-04,-2.59E-04,-2.63E-04,2,face
V482,24.967,54.287,-13.772,7.92E-04,-0.00110676,3.15E-04,2,face
V483,28.735,54.334,-13.732,3.71E-04,2.30E-04,-6.02E-04,1,place
V486,-46.755,56.846,-13.765,-3.89E-04,-1.65E-04,5.54E-04,3,object
V487,-42.987,56.893,-13.724,-8.12E-04,1.59E-04,6.52E-04,3,object
V490,-31.684,57.037,-13.602,-2.64E-05,2.11E-04,-1.84E-04,1,place
V491,-27.916,57.084,-13.562,7.10E-04,-4.63E-04,-2.47E-04,2,face
V499,21.064,57.705,-13.035,-3.02E-04,5.48E-04,-2.45E-04,1,place
V500,24.832,57.752,-12.995,-6.83E-04,7.14E-04,-3.18E-05,1,place
V501,28.6,57.801,-12.954,-2.15E-04,6.12E-04,-3.97E-04,1,place
V503,36.135,57.896,-12.873,9.66E-05,1.98E-04,-2.94E-04,1,place
V516,17.161,61.124,-12.298,-6.31E-05,4.14E-04,-3.51E-04,1,place
V517,20.929,61.172,-12.258,-8.33E-06,4.96E-04,-4.88E-04,1,place
V519,28.464,61.267,-12.176,-5.84E-04,9.12E-04,-3.28E-04,1,place
V525,-28.187,64.017,-12.006,2.46E-04,3.42E-04,-5.88E-04,1,place
V534,20.794,64.638,-11.479,-3.20E-04,5.87E-04,-2.68E-04,1,place
V536,28.329,64.733,-11.399,-3.64E-04,7.61E-04,-3.96E-04,1,place
V537,32.097,64.781,-11.358,-7.74E-04,4.96E-04,2.78E-04,3,object
V540,-28.322,67.483,-11.229,-5.23E-04,3.57E-04,1.66E-04,1,place
V575,24.156,75.085,-9.1059,-9.47E-05,-5.70E-04,6.65E-04,2,face
V579,-24.96,77.93,-8.8547,3.92E-04,-2.03E-04,-1.90E-04,2,face
V586,24.02,78.551,-8.3274,-7.84E-04,3.97E-04,3.87E-04,3,object
V594,16.35,81.922,-7.6315,-3.08E-04,2.51E-04,5.71E-05,1,place
V636,-29.058,-10.149,-25.056,-9.89E-05,-7.58E-04,8.57E-04,2,face
V642,38.761,-9.2899,-24.327,-1.51E-04,-3.80E-04,5.31E-04,3,object
V693,49.523,4.7189,-21.094,-1.02E-04,-6.17E-04,7.19E-04,2,face
V746,33.641,25.326,-16.589,2.33E-04,2.39E-04,-4.73E-04,1,place
V757,-26.778,28.028,-16.459,3.44E-04,-8.06E-04,4.62E-04,2,face
V760,33.505,28.792,-15.812,-6.73E-05,-5.62E-04,6.29E-04,2,face
V793,-38.487,38.284,-14.248,-9.24E-05,-5.17E-04,6.10E-04,2,face
V796,25.564,39.095,-13.559,-1.55E-04,-4.34E-04,5.88E-04,3,object
V797,29.332,39.143,-13.519,-1.99E-04,-4.43E-04,6.42E-04,3,object
V806,-38.622,41.751,-13.47,-3.18E-04,-2.79E-04,5.97E-04,3,object
V807,-23.551,41.941,-13.307,2.53E-04,-0.001087666,8.35E-04,2,face
V808,-19.783,41.989,-13.267,6.05E-04,-7.52E-04,1.47E-04,2,face
V809,-16.016,42.037,-13.227,2.86E-04,2.77E-04,-5.62E-04,1,place
V811,17.894,42.466,-12.862,5.79E-04,2.73E-04,-8.53E-04,1,place
V812,25.429,42.562,-12.781,-2.66E-04,-5.37E-04,8.04E-04,2,face
V821,-42.525,45.169,-12.733,5.54E-04,-1.04E-04,-4.50E-04,2,face
V822,-38.757,45.217,-12.692,2.53E-04,1.26E-04,-3.79E-04,1,place
V823,-34.99,45.264,-12.652,5.33E-04,-2.19E-04,-3.14E-04,2,face
V828,21.526,45.98,-12.044,3.79E-04,-9.13E-05,-2.88E-04,1,place
V829,25.294,46.029,-12.003,8.48E-04,-8.01E-04,-4.64E-05,2,face
V836,-31.357,48.779,-11.833,4.15E-04,-8.43E-04,4.27E-04,2,face
V837,-23.822,48.874,-11.753,6.90E-04,-2.50E-04,-4.41E-04,2,face
V841,21.391,49.447,-11.266,4.24E-04,-8.70E-04,4.46E-04,2,face
V842,25.159,49.494,-11.226,-6.55E-04,5.97E-04,5.81E-05,1,place
V848,-31.492,52.244,-11.056,-9.60E-05,-9.82E-04,0.001077691,2,face
V849,-23.957,52.34,-10.974,-6.37E-04,3.72E-05,6.00E-04,3,object
V852,17.488,52.866,-10.528,-3.73E-04,3.78E-04,-5.13E-06,1,place
V859,-24.092,55.806,-10.197,5.24E-04,-2.87E-04,-2.37E-04,2,face
V865,17.353,56.331,-9.7514,-4.02E-04,2.74E-04,1.27E-04,1,place
V866,21.12,56.38,-9.71,-3.32E-04,5.53E-04,-2.20E-04,1,place
V886,20.985,59.846,-8.9329,-2.52E-04,5.29E-04,-2.77E-04,1,place
V887,24.753,59.893,-8.8928,-3.49E-04,4.50E-04,-1.02E-04,1,place
V888,32.288,59.989,-8.8112,-2.05E-04,4.75E-04,-2.70E-04,1,place
V902,20.85,63.312,-8.1553,-8.82E-05,-6.45E-04,7.33E-04,2,face
V903,24.618,63.359,-8.1143,-1.41E-04,-4.53E-04,5.94E-04,3,object
V915,20.715,66.778,-7.3769,2.06E-04,4.16E-04,-6.22E-04,1,place
V918,43.321,67.065,-7.1339,1.92E-04,3.11E-04,-5.03E-04,1,place
V943,24.212,73.758,-5.7812,4.54E-04,-4.20E-04,-3.41E-05,2,face
V999,0.79409,94.271,-1.3575,4.28E-04,-3.08E-04,-1.21E-04,2,face
V1028,38.817,-10.615,-21.002,-5.87E-04,-2.63E-04,8.50E-04,3,object
V1063,-55.917,2.056,-18.904,8.41E-04,-0.00107874,2.38E-04,2,face
V1153,29.388,37.818,-10.194,1.90E-04,-3.27E-04,1.37E-04,2,face
