"","x","y","z","face","place","object"
"V38",-22.943,9.0193,-29.771,0.00076257207198855,-0.000129552838335034,-0.000633019233653516
"V70",23.202,-5.3864,-26.092,-0.000748582390677963,0.00109473241748377,-0.000346150026805806
"V103",36.626,7.0345,-23.723,-0.000650981813673593,-0.00268469409815547,0.00333567591182907
"V110",-51.454,17.136,-25.992,-0.00132970131672375,0.00190197124497549,-0.000572269928251733
"V134",-43.283,-9.2292,-25.656,-0.000938353391955595,0.000239349845967919,0.000699003545987676
"V153",43.991,-2.4182,-20.97,-0.00104102054036053,0.000859770445539771,0.000181250094820759
"V230",-25.666,62.252,-14.549,-0.000897463292143677,0.00064743715286241,0.000250026139281268
"V243",-19.055,70.575,-13.063,0.000509206472000745,0.000290524198455296,-0.000799730670456042
"V244",-15.548,70.51,-12.924,0.00145548886028747,0.00100245894571407,-0.00245794780600155
"V262",19.321,74.08,-10.928,0.000992704220141988,0.000692767441918462,-0.00168547166206045
"V263",-5.4296,78.768,-11.298,-4.52450608243866e-05,-0.0015529360916889,0.00159818115251329
"V268",-25.396,-18.88,-22.485,-0.001351142916053,0.00250295940894669,-0.00115181649289369
"V270",-43.133,-14.323,-22.576,0.00202954246517925,-0.000405025251677599,-0.00162451721350166
"V286",-43.536,-5.8669,-21.368,0.000826783470555971,-0.00135996112198586,0.000533177651429884
"V298",-50.953,2.7208,-20.438,0.00108691657606834,-9.98808390027077e-05,-0.000987035737065636
"V385",-28.62,48.767,-12.818,0.00052913800205226,-0.00133297731855531,0.000803839316503052
"V396",-28.822,52.996,-12.213,-0.000978463576351233,0.00207093922874403,-0.00109247565239279
"V397",-25.315,52.93,-12.074,0.00103142762752445,0.000179687747652151,-0.00121111537517661
"V400",27.291,51.942,-9.9882,0.00206224591362233,-0.000922133552212208,-0.00114011236141013
"V403",41.32,51.679,-9.4316,0.00119979780843862,-0.000708947895492297,-0.000490849912946321
"V411",-29.023,57.223,-11.61,0.00129383994719476,-0.000947839109451322,-0.000346000837743439
"V412",-25.516,57.157,-11.47,0.00168268245822385,-0.00150020435657478,-0.000182478101649062
"V413",20.076,56.303,-9.6622,-0.00117215363967467,-0.00132516882903499,0.00249732246870966
"V414",23.583,56.236,-9.5226,0.00085085527918854,-0.00170903692738439,0.000858181648195853
"V422",-25.718,61.386,-10.866,0.000269878425595408,-0.00126267710861153,0.000992798683016126
"V434",-25.919,65.613,-10.262,-0.00143791480357749,-0.000652928982077371,0.00209084378565486
"V450",-26.121,69.841,-9.6573,0.000658982690030267,0.00062803632730155,-0.00128701901733182
"V465",-26.322,74.07,-9.0536,0.00117032653770278,-0.00145595914866853,0.00028563261096575
"V468",-8.7869,73.74,-8.3575,0.00140015543671037,-0.000534499023626659,-0.000865656413083709
"V483",-37.246,82.723,-8.2623,-0.000593745170318421,-0.000940188735835461,0.00153393390615388
"V551",35.866,17.121,-10.86,-0.000763706555875313,-0.00111568572778113,0.00187939228365644
"V580",-38.79,39.644,-10.76,-0.00110831804670537,-0.000599575510104745,0.00170789355681012
"V591",-24.963,43.608,-9.599,0.000718298513083007,0.000326252853738215,-0.00104455136682122
"V615",-57.333,61.113,-8.4349,-0.00021337643918973,0.00158542215023711,-0.00137204571104738
"V619",-32.783,60.652,-7.4608,0.000511127886013422,-0.00135087954029943,0.000839751654286011
"V620",-25.769,60.52,-7.1832,0.00112472717723739,-0.000153576296477733,-0.000971150880759657
"V630",-25.971,64.748,-6.5786,7.18376999884109e-05,-0.00106827427594778,0.000996436575959368
"V642",-33.187,69.108,-6.2529,5.84961460721831e-05,-0.00177275384836598,0.0017142577022938
"V643",-29.679,69.042,-6.113,0.00149439025670562,-0.000477251925583919,-0.0010171383311217
"V644",-26.172,68.976,-5.9743,0.0011495281113775,0.000342773318697896,-0.00149230143007539
"V649",-5.13,68.581,-5.1398,-0.000236592349534179,-0.000888047192289945,0.00112463954182412
"V662",-29.881,73.27,-5.5097,0.00110002146791171,-0.000348954081494838,-0.000751067386416868
"V665",-5.3315,72.809,-4.5356,0.000657901552016042,0.000970031944517606,-0.00162793349653365
"V666",-1.8244,72.743,-4.3966,-0.000812175693820352,-0.000518643827373703,0.00133081952119406
"V670",22.725,72.282,-3.4225,3.8818887806306e-05,-0.00104385936064159,0.00100504047283529
"V683",22.524,76.511,-2.8188,0.000529830087646511,0.00037660360889837,-0.000906433696544881
"V817",26.986,54.439,-2.0177,-0.000649695078550727,-0.0015282453725544,0.00217794045110513
"V819",41.015,54.175,-1.4611,-0.000821773220601578,-0.000504203241048972,0.00132597646165055
"V826",-43.356,59.984,-4.1944,-0.000894667408298852,-0.000410738833647224,0.00130540624194608
"V829",26.785,58.667,-1.413,-0.000782257942291217,-0.00123963751714645,0.00202189545943767
"V835",-47.065,64.278,-3.7298,0.000425768151922595,0.00185726209472391,-0.0022830302466465
"V836",-43.558,64.211,-3.5911,0.000549683114891109,0.000550080973852463,-0.00109976408874357
"V839",26.583,62.895,-0.80846,0.000652458381208086,0.000964244108741171,-0.00161670248994926
"V855",26.382,67.123,-0.20515,-0.0010159692335911,-0.00136069915189542,0.00237666838548652
"V856",29.889,67.057,-0.065223,0.000721207527508227,0.00066451715636129,-0.00138572468386952
"V862",-1.8761,71.877,-0.71363,0.000302884306115652,0.00125848957904673,-0.00156137388516238
"V869",-51.177,77.027,-2.0563,0.00146722225383239,-0.00287339522878812,0.00140617297495573
"V907",22.069,84.1,2.073,-0.000405856217972688,-0.000544979628133733,0.000950835846106421
"V998",59.506,31.841,-0.10303,0.000116331962804383,0.000559636484161388,-0.000675968446965771
"V1021",2.5868,49.806,0.087918,-0.000470158562873874,-0.000784657993542056,0.00125481655641593
"V1038",-22.366,58.723,0.32268,-0.000101157889637181,0.0018901300804917,-0.00178897219085452
"V1043",51.283,57.34,3.244,-0.000633842715224001,0.00146016299650896,-0.000826320281284959
"V1060",-5.2334,66.849,2.227,0.00176346641164823,-0.00127756311120436,-0.000485903300443876
"V1075",-51.228,76.161,1.6267,-0.000573271488408283,0.000682418961221549,-0.000109147472813265
"V1076",-47.721,76.096,1.7657,-0.00067625846310222,0.00145451720246549,-0.000778258739363271
"V1099",46.768,78.546,6.1258,0.00105340825207688,0.000746156586006521,-0.00179956483808341
"V1113",32.538,83.038,6.1738,0.000936760544913823,0.000312486049365632,-0.00124924659427945
"V1133",-11.373,-26.834,-7.8,-0.000192377749314893,0.000624596468045794,-0.000432218718730901
"V1148",33.816,-19.233,-4.7832,-0.00101381453729516,0.00186698195036268,-0.000853167413067515
"V1228",-11.292,44.976,2.611,0.000810834062164152,-0.000396733059463027,-0.000414101002701125
"V1229",-7.7846,44.91,2.75,-0.000810256551789866,0.000576047839943519,0.000234208711846347
"V1230",-0.77045,44.779,3.0276,-0.000722210472269425,0.000502084701543239,0.000220125770726186
"V1259",37.001,60.966,6.975,-0.00114245766358478,0.00197475115323697,-0.000832293489652187
"V1263",-22.82,66.313,5.2148,0.00104256647450978,0.000749141305422785,-0.00179170777993257
"V1282",-51.28,75.295,5.3097,5.45595141879864e-05,0.000187135577744957,-0.000241695091932944
"V1283",-47.773,75.23,5.4496,0.00108733555333093,-0.000239431468910701,-0.00084790408442023
"V1379",46.986,-3.4512,1.873,0.000636259036083383,0.000739654080828296,-0.00137591311691168
"V1422",-56.734,40.738,3.8812,-0.000545613955629313,-0.00020295298825692,0.000748566943886233
"V1423",-53.227,40.672,4.0211,0.00115630291991294,-0.00154624084101021,0.000389937921097276
"V1425",-7.6348,39.816,5.8284,0.00113292528310762,-0.000419820123710351,-0.000713105159397273
"V1426",-0.62064,39.685,6.1073,0.0017764938042219,-0.00163421742637308,-0.000142276377848825
"V1431",-63.949,45.097,4.2078,-0.0006776765795962,0.00195930204197972,-0.00128162546238352
"V1432",-60.442,45.032,4.3468,0.00109756048197232,-0.000351672790272768,-0.000745887691699551
"V1433",-56.935,44.966,4.4858,0.00134429928964617,-0.000741244107854298,-0.000603055181791876
"V1434",48.277,42.991,8.6588,-0.000586539180996995,0.00206380297274359,-0.00147726379174659
"V1438",-64.151,49.326,4.8114,-0.0003252132139728,-0.00151920980868843,0.00184442302266123
"V1443",48.075,47.219,9.2624,-3.16153228220069e-05,-0.00148748720037016,0.00151910252319217
"V1449",47.874,51.447,9.867,3.40534260425921e-05,-0.000980388945661173,0.000946335519618581
"V1461",-50.727,61.746,7.1805,0.000621704670240698,-0.00163322963327307,0.00101152496303237
"V1470",-22.872,65.447,8.8978,-0.0008942764562907,-0.00121621396100953,0.00211049041730023
"V1482",-51.332,74.43,8.9939,6.67694645713022e-05,0.00117638586463561,-0.00124315532920691
"V1505",46.665,76.814,13.493,-0.000711429925013133,-0.00124198838624987,0.001953418311263
"V1588",37.018,-16.803,3.3266,0.0005328223435484,-3.67884190300533e-05,-0.000496033924518347
"V1632",-59.285,18.798,4.4044,-0.00042235158798052,-0.000941768078921386,0.00136411966690191
"V1656",-56.785,39.872,7.5651,-0.000480455439409973,-0.000844648388762421,0.00132510382817239
"V1672",47.822,50.581,13.55,-0.000869545617322926,0.000102767415843659,0.000766778201479267
"V1673",51.329,50.515,13.689,-0.000948180245258131,-0.000847247987637643,0.00179542823289577
"V1674",54.836,50.449,13.828,0.000686137984637018,-0.00180417592417324,0.00111803793953622
"V1683",19.564,55.336,13.041,0.00072709573912215,-0.00146041256596476,0.000733316826842606
"V1684",47.621,54.809,14.154,-1.85440953620895e-05,-0.00135613541740579,0.00137467951276788
"V1688",-43.765,60.748,11.142,-0.000115090360060259,-0.00104160717923728,0.00115669753929754
"V1689",43.912,59.103,14.62,5.84176320651758e-05,-0.000733499332358575,0.000675081700293399
"V1694",-47.473,65.042,11.608,-0.00102119395485681,-0.000218956395793203,0.00124015035065001
"V1695",-43.966,64.977,11.747,0.000697024746875756,0.00106390417611235,-0.0017609289229881
"V1697",-19.417,64.516,12.72,0.00332793051009529,-0.00259275263161472,-0.000735177878480563
"V1698",43.71,63.331,15.223,-0.000615790885703088,-0.000475774805626878,0.00109156569132997
"V1699",47.217,63.265,15.363,0.000595094087453307,0.000873702999424708,-0.00146879708687801
"V1701",54.232,63.133,15.641,-0.000487607484340964,-0.000335873744184056,0.00082348122852502
"V1702",-23.125,68.81,13.185,6.07656343640296e-06,-0.000844035475787613,0.00083795891235121
"V1705",8.4382,68.217,14.437,-0.000512780937966341,-0.000682999303571994,0.00119578024153833
"V1707",36.495,67.69,15.55,0.000501691259507402,-0.0014421731515346,0.000940481892027194
"V1717",15.251,72.314,15.32,-0.000807019209223599,-6.55181821630943e-05,0.000872537391386693
"V1718",39.8,71.853,16.294,0.000934200355884022,-0.00075155143942382,-0.000182648916460202
"V1729",15.049,76.541,15.924,-0.00059993787658547,-0.000537578163259154,0.00113751603984462
"V1861",-22.17,46.804,13.847,-0.00141817039194975,0.00158428460696335,-0.000166114215013602
"V1864",12.7,50.374,15.843,-0.000649797855319756,-0.000854069074871863,0.00150386693019162
"V1873",-43.816,59.883,14.825,0.00027648480198368,0.000856327085639018,-0.0011328118876227
"V1883",-47.525,64.177,15.291,0.0008860899862548,-3.58307478726608e-05,-0.000850259238382139
"V1884",-44.018,64.111,15.43,0.000452465202852778,-0.000104380837947164,-0.000348084364905614
"V1887",40.152,62.532,18.768,0.000831146912511442,-0.000204708556988433,-0.000626438355523009
"V1894",36.443,66.825,19.233,0.000447221181985332,-3.46927157483248e-05,-0.000412528466237008
"V1897",-19.872,72.106,17.612,0.000476477800470473,0.000285399702047196,-0.000761877502517669
"V1903",32.734,71.118,19.698,-0.000389691589557654,0.000495261512334942,-0.000105569922777289
"V1913",32.533,75.347,20.302,-0.00107808447681723,0.00155260780512544,-0.000474523328308216
"V1942",-24.6,-51.173,3.356,-0.000748113077881372,0.000302236589836256,0.000445876488045115
"V2000",36.713,-14.306,11.297,0.000543008174568664,-0.000185987318875899,-0.000357020855692765
"V2014",-58.985,8.6108,10.563,-0.000924734929219487,0.000585457491033808,0.000339277438185679
"V2021",-59.187,12.839,11.167,-0.000651041115790025,-0.000118819172833935,0.00076986028862396
"V2027",-59.388,17.067,11.771,0.00089751063765042,-4.60524351894405e-05,-0.000851458202460979
"V2052",45.219,27.776,17.756,-0.000761280177560506,0.000575014249366423,0.000186265928194083
"V2074",48.122,40.394,19.708,-0.00167805072393155,0.000750525015488783,0.000927525708442765
"V2080",44.413,44.688,20.174,-0.00123857297482215,0.00100903500841614,0.000229537966406011
"V2081",47.92,44.622,20.313,-0.0018826117324994,0.00149833998868165,0.000384271743817753
"V2084",-53.986,50.759,16.883,-0.000915909899441215,0.000836083824443815,7.98260749974e-05
"V2089",-61.202,55.119,17.209,-0.00019867828072249,-0.00151715702081664,0.00171583530153913
"V2090",-57.695,55.052,17.348,0.00117459543643768,1.33932451893646e-05,-0.00118798868162705
"V2106",-5.4919,62.521,20.643,0.000199627823482146,0.000146478301711789,-0.000346106125193935
"V2115",-40.764,67.407,19.856,-0.000705175803688356,-0.000592614082872716,0.00129778988656107
"V2123",-47.98,71.767,20.182,0.000563547421946005,0.00081323221037023,-0.00137677963231624
"V2124",-44.473,71.701,20.322,0.0008859976614419,-0.000482266573387284,-0.000403731088054616
"V2145",32.28,78.709,24.59,0.000124153148779347,0.00012559351898395,-0.000249746667763298
"V2146",35.787,78.644,24.729,0.000785681260098797,0.000495840761685346,-0.00128152202178414
"V2150",0.51461,83.529,23.942,0.000397368259189627,-0.00174434372555944,0.00134697546636982
"V2153",25.064,83.069,24.916,7.34322559652132e-05,-0.00137960282006501,0.00130617056409979
"V2220",40.572,-23.694,13.911,-0.000888756752437965,-0.000516213554700552,0.00140497030713852
"V2226",36.863,-19.4,14.376,-0.000452118920476636,-0.000356591793495488,0.000808710713972124
"V2227",40.37,-19.466,14.515,0.00108913237400508,-0.000892785604796536,-0.000196346769208547
"V2278",51.577,39.462,23.531,-0.000794869664123426,0.00147750925515589,-0.000682639591032463
"V2292",-57.747,54.187,21.031,0.00124660390177875,-0.000819069632482141,-0.000427534269296605
"V2293",-54.24,54.121,21.17,0.000969252043012355,-8.99601923063694e-05,-0.000879291850705986
"V2299",-57.948,58.415,21.636,0.00177820575622972,-0.00158325220544668,-0.000194953550783037
"V2300",-54.441,58.349,21.775,0.000599376184491157,-0.0013080529359392,0.000708676751448047
"V2301",50.771,56.375,25.948,0.000602425578787763,-0.000645998075170289,4.35724963825263e-05
"V2302",54.278,56.308,26.087,-0.000770374536645757,-0.000671965072983127,0.00144233960962888
"V2303",-54.643,62.577,22.379,0.00118926936317658,0.00121456444705255,-0.00240383381022913
"V2304",-51.136,62.511,22.518,-0.000897345736059538,-0.00054965273793406,0.0014469984739936
"V2310",50.569,60.602,26.552,-0.00115249221223051,-4.47141569452266e-06,0.00115696362792503
"V2317",50.368,64.83,27.156,-7.04621686180493e-05,-0.00100405776473108,0.00107451993334913
"V2318",-48.031,70.901,23.865,-0.000492669657865041,-0.000644744852421098,0.00113741451028614
"V2324",-2.4396,70.046,25.674,0.000120159991490157,-0.00110345440938547,0.00098329441789531
"V2329",-37.712,74.932,24.887,-0.000207592990174149,-0.000287146742706769,0.000494739732880918
"V2331",-9.6553,74.405,26,0.00039288993635063,-0.00102012454461458,0.000627234608263953
"V2351",25.012,82.203,28.599,0.000763063170259131,-0.000736359802217008,-2.6703368042123e-05
"V2363",-21.197,-52.971,10.861,-0.00029411689776695,-0.000599593647446597,0.000893710545213547
