"","x","y","z","face","place","object"
"V3",-38.687,1.71,-37.968,0.000306953489806606,-0.000885650633918937,0.000578697144112331
"V20",-23.606,-7.2946,-34.608,0.00129587601392385,-0.00312979997190438,0.00183392395798053
"V27",-23.622,-3.0694,-34.123,-0.000425875744849948,-0.00130192146160678,0.00172779720645672
"V34",-23.637,1.1558,-33.639,0.00020843741152871,-0.00111935248491977,0.00091091507339106
"V37",36.786,2.1777,-31.413,-0.000116312440859429,-0.00209477829548197,0.0022110907363414
"V42",-27.428,5.3172,-33.294,0.0013583230929198,-0.0007532660796512,-0.000605057013268596
"V59",48.085,10.82,-30.028,0.000745641157549996,-0.000475240763075342,-0.000270400394474654
"V242",-46.43,-10.108,-24.123,0.00136696139830574,-0.000210615826893807,-0.00115634557141194
"V335",-50.419,48.983,-17.482,0.00109186044433865,-0.000362487375331931,-0.000729373069006717
"V336",-39.089,49.175,-17.064,-0.00059187151994852,0.000920175926823731,-0.000328304406875211
"V338",28.886,50.325,-14.56,-0.000626430894722495,0.000853794570199768,-0.000227363675477273
"V345",-50.434,53.208,-16.997,-0.000784848659630073,0.000500892615567703,0.00028395604406237
"V347",36.423,54.678,-13.798,-0.000245620938819143,0.00133463782617305,-0.00108901688735391
"V348",40.2,54.742,-13.659,0.001432059407831,-0.00144221055461553,1.01511467845273e-05
"V352",-50.449,57.434,-16.513,0.0012822090285237,0.000299781612284395,-0.0015819906408081
"V353",-46.672,57.498,-16.374,0.00162740395632179,-0.000817824863521565,-0.000809579092800222
"V354",-39.12,57.625,-16.095,-0.000151288012457849,-0.00271541344647311,0.00286670145893096
"V356",-31.567,57.754,-15.818,-0.000381247443084399,0.00101604866527683,-0.000634801222192426
"V357",-24.014,57.881,-15.539,-0.000676016582911771,-0.000932636621936112,0.00160865320484788
"V358",32.632,58.839,-13.453,0.00155788230674238,-0.000352487766931086,-0.00120539453981129
"V360",-46.688,61.723,-15.889,4.56430159288879e-05,-0.00142705824878971,0.00138141523286082
"V361",-42.911,61.787,-15.75,-0.000349949551439616,-0.00129122918045028,0.00164117873188989
"V363",-31.582,61.979,-15.333,-0.000458199948455469,-0.00225850523286735,0.00271670518132282
"V364",-27.806,62.042,-15.194,-0.000355732673067223,-0.00311158236776407,0.0034673150408313
"V365",-24.029,62.106,-15.055,-0.00167283675486147,-0.000277431914677661,0.00195026866953913
"V368",-27.821,66.268,-14.71,-0.000242377345819284,0.00339304303005789,-0.00315066568423861
"V371",-31.612,70.429,-14.365,-0.000363514876945033,-0.00249188650987429,0.00285540138681932
"V372",-42.957,74.463,-14.297,0.00152920730573174,3.53810482553086e-05,-0.00156458835398704
"V373",-39.18,74.527,-14.158,0.00109771112354494,-0.00259934717266432,0.00150163604911938
"V374",-35.419,78.816,-13.535,-0.000433960299277436,0.000827903719183207,-0.000393943419905772
"V466",40.145,53.932,-9.886,-0.000477266952932853,0.00199633856057774,-0.00151907160764488
"V467",43.921,53.996,-9.7467,-0.000305365683951252,0.00110007809346622,-0.000794712409514972
"V470",-46.728,56.688,-12.601,-6.77321414075585e-05,0.00075254159238014,-0.000684809450972582
"V472",-31.622,56.943,-12.044,1.72302647011019e-05,0.000421714839715159,-0.000438945104416261
"V473",21.248,57.837,-10.097,1.68507790949773e-05,0.00185682644018854,-0.00187367721928351
"V474",25.024,57.902,-9.9585,-0.00193491885732138,0.0032832699989006,-0.00134835114157922
"V475",36.353,58.093,-9.5408,-0.000237128433139606,-0.00048004972022718,0.000717178153366786
"V476",40.13,58.157,-9.4017,0.000318969867301673,-0.0022704588837435,0.00195148901644183
"V478",-50.519,60.849,-12.255,0.000914755318028564,0.00421543027604452,-0.00513018559407308
"V479",-46.743,60.914,-12.117,-0.000667788023462683,-0.0008659058098611,0.00153369383332378
"V480",-35.414,61.105,-11.699,0.000633083212030318,0.00397099077119204,-0.00460407398322235
"V481",-31.637,61.169,-11.56,-0.000371870596711062,-0.000277516984347661,0.000649387581058723
"V483",17.456,61.999,-9.7517,0.000926674268308218,0.00187554744875679,-0.00280222171706501
"V484",25.009,62.127,-9.4742,-0.000249142648076929,-0.00137406503889674,0.00162320768697366
"V487",36.338,62.319,-9.0565,0.00129204553035751,-0.000306854088941125,-0.000985191441416384
"V491",-42.982,65.203,-11.493,-0.000782703163556781,0.00316557888617996,-0.00238287572262318
"V493",-27.876,65.458,-10.936,0.000627469055537201,0.00148931387437827,-0.00211678292991547
"V496",17.441,66.224,-9.2674,-0.000211153991114859,0.00379738873832479,-0.00358623474720993
"V497",21.217,66.288,-9.128,-0.000779154042239518,0.00175320016534363,-0.00097404612310411
"V500",36.323,66.544,-8.5722,0.000767098283568049,0.00107749716714537,-0.00184459545071342
"V501",-42.997,69.428,-11.009,-0.00087941211084011,0.000362804369632946,0.000516607741207164
"V502",-39.22,69.491,-10.87,3.41194098263684e-05,-0.00100652773488414,0.000972408325057768
"V503",-31.667,69.62,-10.591,-0.000549504596200032,-0.000982893078578279,0.00153239767477831
"V504",-24.115,69.748,-10.313,-0.000175353505900069,-0.00081984611859029,0.00099519962449036
"V509",13.649,70.386,-8.9221,-0.000362795155272819,-0.000452886508816101,0.00081568166408892
"V511",21.202,70.514,-8.6446,0.000785587685599529,-0.000145971342969755,-0.000639616342629774
"V512",28.755,70.641,-8.3663,-0.00064173746757456,0.00124857178900294,-0.000606834321428377
"V517",-43.012,73.653,-10.524,0.00115973170519132,0.000101301143692055,-0.00126103284888337
"V518",-35.459,73.781,-10.246,0.000650372681822145,-0.000354927346760553,-0.000295445335061593
"V519",-24.13,73.973,-9.8291,-0.000753630379248369,0.000463286539806557,0.000290343839441812
"V528",-39.251,77.943,-9.9007,-0.000276353369342021,0.000908469966297926,-0.000632116596955904
"V529",-35.474,78.006,-9.7616,-0.000404992828918925,0.000367627556039289,3.73652728796353e-05
"V530",-27.921,78.135,-9.4838,0.00123063123958073,0.000177769564822429,-0.00140840080440316
"V531",-24.145,78.198,-9.3448,0.000882144158605917,-3.79304970283396e-05,-0.000844213661577577
"V538",36.277,79.22,-7.1189,0.00103728152991528,-0.000260608966906433,-0.000776672563008848
"V545",-31.728,86.52,-8.6537,-0.000284570019674055,-0.00163003222070967,0.00191460224038372
"V549",-38.942,-24.276,-17.752,0.000168781705394324,-0.00392190516358979,0.00375312345819547
"V554",-42.734,-20.115,-17.407,-0.000140540357804387,0.000531144444391842,-0.000390604086587455
"V624",43.881,48.961,-6.4585,0.00104462089024471,-0.00084585755856174,-0.00019876333168297
"V631",47.642,53.25,-5.8349,-0.000119530050912802,0.000837126858205133,-0.000717596807292331
"V635",-27.901,56.197,-8.1323,-0.00146301861490766,-0.00139471756823524,0.0028577361831429
"V638",13.64,56.901,-6.6025,-0.000104211886965297,0.00153853347360483,-0.00143432158663953
"V653",13.624,61.126,-6.1182,-0.000362945827795228,0.00172656865468943,-0.0013636228268942
"V654",21.177,61.253,-5.8399,-7.56530485769544e-06,-0.00115124296605597,0.00115880827091367
"V655",24.954,61.318,-5.7005,0.000811042065053203,-0.000655566975421524,-0.000155475089631679
"V666",17.386,65.415,-5.4946,0.00015212085008154,0.000652633522089832,-0.000804754372171372
"V667",21.162,65.478,-5.3556,-0.000605616630610155,-0.000699371587384617,0.00130498821799477
"V668",24.938,65.543,-5.2162,0.000263285689251177,0.000369830387375995,-0.000633116076627171
"V669",28.715,65.606,-5.0772,0.000475302723001683,0.0021467423215483,-0.00262204504454999
"V677",9.8178,69.513,-5.2887,-0.000733346623451525,-0.00173748524826272,0.00247083187171424
"V678",13.594,69.576,-5.1497,0.00154871494891816,-0.00388647858905417,0.00233776364013601
"V679",17.371,69.64,-5.0103,0.000609855469270874,0.000383638896854432,-0.000993494366125306
"V680",24.923,69.768,-4.7319,-0.000875425376844641,0.000842221483740758,3.32038931038837e-05
"V685",-39.291,72.907,-6.6125,-0.000299211958774119,-0.00050749457023757,0.000806706529011689
"V688",6.0262,73.674,-4.9428,-0.000547877021045099,-0.000505635439690695,0.00105351246073579
"V692",21.132,73.93,-4.3866,0.000643978170413302,0.000964337386684006,-0.00160831555709731
"V693",24.908,73.993,-4.2476,-0.000235466423763915,-0.00199226285644866,0.00222772928021257
"V703",21.117,78.155,-3.9023,0.000666008369285106,-0.000789360107174554,0.000123351737889447
"V706",-31.768,81.486,-5.3652,-0.000600704619754876,0.000350971863131835,0.00024973275662304
"V791",-61.807,16.784,-9.9703,-0.000686104819164344,0.000879369139018984,-0.00019326431985464
"V822",55.17,44.117,-2.7527,0.000527045182916111,-0.000634805862932396,0.000107760680016285
"V825",-61.913,46.362,-6.5795,0.000496683057523847,-0.000651327519846259,0.000154644462322411
"V827",-58.152,50.652,-5.9558,0.00098511140719402,-0.00135941724406427,0.000374305836870248
"V833",36.243,56.474,-1.9946,0.00114195672037491,0.000357110263015532,-0.00149906698339044
"V834",40.019,56.537,-1.8556,0.000970363425459062,-0.000138145777795869,-0.000832217647663193
"V840",-54.406,59.165,-4.8482,-0.000361193106548696,0.000248235598947502,0.000112957507601194
"V849",24.883,64.733,-1.4438,-0.000589282923920971,-0.000215211321207398,0.000804494245128369
"V855",32.421,69.086,-0.68073,-0.000522897624945958,0.00092786652873425,-0.000404968903788292
"V861",36.182,73.375,-0.057409,-0.000254142704336956,0.000450405320620307,-0.000196262616283351
"V862",-46.914,76.195,-2.6332,-0.000496240469492868,-1.5158022691386e-05,0.000511398492184254
"V863",-43.137,76.259,-2.4939,-0.000457247119524184,-0.000229646641626206,0.00068689376115039
"V877",-43.152,80.484,-2.0096,-0.00059164378896165,-0.00041131505161034,0.00100295884057199
"V878",-39.376,80.548,-1.8702,0.00133142910426105,0.000135406162356559,-0.00146683526661761
"V965",-54.295,11.877,-6.4031,1.17367444931937e-05,0.000224071754559056,-0.000235808499052249
