"","x","y","z","face","place","object"
"V1034",-29.068,66.145,-14.347,0.000573797039229055,-0.000325041223823168,-0.000248755815405888
"V1047",-44.845,69.392,-14.617,0.000431154874664234,0.000496183353322039,-0.000927338227986272
"V1052",16.335,71.528,-13.871,0.000605907624424774,-0.000207298108805622,-0.000398609515619152
"V1058",-41.503,73.307,-14.653,0.000184777984658624,-0.00211618669190363,0.001931408707245
"V1065",12.03,75.176,-14,0.000726557447359146,-0.00110886309120037,0.000382305643841224
"V1067",23.501,75.577,-13.861,0.00025587674900342,0.00076126647310058,-0.001017143222104
"V1081",19.195,79.224,-13.99,-0.000408311488148714,-0.000683325636105559,0.00109163712425427
"V1153",46.608,-14.819,-7.6781,-0.000509687400334266,-0.000291532078512639,0.000801219478846905
"V1180",51.363,8.1361,-8.0843,0.000890216749590916,-0.00036091296275692,-0.000529303786833996
"V1186",50.881,11.917,-8.1676,0.000833860774130679,8.21197315633019e-05,-0.000915980505693981
"V1191",50.399,15.699,-8.2508,-0.000651143518838113,0.000486471631296297,0.000164671887541816
"V1198",49.917,19.48,-8.3341,-0.000549597904810172,0.000648534969034445,-9.89370642242736e-05
"V1204",45.611,23.128,-8.4639,3.08382770859063e-05,0.00110715894956471,-0.00113799722665062
"V1219",56.118,31.091,-8.4906,-0.000114398035914354,0.000451560031150943,-0.000337161995236589
"V1242",-15.12,47.594,-9.7461,-0.000199138259735353,0.000971601399384671,-0.000772463139649318
"V1251",-15.602,51.375,-9.8294,-0.000468194754409449,0.000342496702783273,0.000125698051626176
"V1254",18.812,52.577,-9.4097,0.00130803038324074,-0.000749591020244587,-0.000558439362996156
"V1255",49.402,53.645,-9.0367,-0.000348228766265848,0.000328019363405746,2.02094028601021e-05
"V1268",-50.98,57.736,-10.416,0.000909065800519341,0.000107900067715517,-0.00101696586823486
"V1274",44.614,61.074,-9.2498,-0.000722251769162055,-0.000882003108731082,0.00160425487789314
"V1276",-55.286,61.384,-10.545,0.000750368954592858,-0.000593613509897654,-0.000156755444695205
"V1277",-51.462,61.517,-10.499,0.000449136544253983,0.00094953980370975,-0.00139867634796373
"V1279",-32.344,62.185,-10.266,0.000387862476171665,-0.000430557255241934,4.26947790702689e-05
