"","x","y","z","face","place","object"
"V57",19.974,0.49402,-37.751,6.10855501703427e-05,0.00162687441087404,-0.00168795996104439
"V80",34.361,11.988,-37.528,-8.0546579920861e-05,-0.000513341433339387,0.000593888013260248
"V209",-23.872,-24.561,-30.583,0.0013507944711067,-0.000662663572026974,-0.000688130899079722
"V353",-34.253,20.383,-29.604,0.000254618328748198,0.000627596640602012,-0.00088221496935021
"V568",-47.088,43.57,-25.271,0.00118802353564802,-0.000204632696916264,-0.000983390838731759
"V569",-43.327,43.821,-25.272,0.00108941337804038,-0.000307894158054862,-0.000781519219985513
"V649",-10.57,63.566,-24.902,-0.000749662000533973,-0.000427280919594676,0.00117694292012865
"V718",50.239,-3.1088,-22.609,0.00125296061737354,-0.000718414400244971,-0.000534546217128573
"V799",-23.651,30.566,-21.77,0.00126263383560099,-0.000666794432340272,-0.000595839403260719
"V840",-47.101,43.04,-21.466,0.000883925410391308,-0.000756514018145153,-0.000127411392246154
"V846",35.657,48.576,-21.48,-0.000485024961361982,-0.000383744849118677,0.000868769810480658
"V855",-47.32,46.536,-21.391,-0.000971801473265261,-0.00129468177434603,0.00226648324761129
"V856",-39.797,47.04,-21.391,0.000834666326302478,-7.22379526422668e-05,-0.000762428373660212
"V858",-28.512,47.794,-21.393,-0.000723047541080226,-7.9383413622686e-05,0.000802430954702912
"V862",35.437,52.071,-21.404,6.47871666417324e-05,0.000952589237525808,-0.00101737640416754
"V878",23.932,54.812,-21.327,0.000556086951510398,0.000543997640478962,-0.00110008459198936
"V881",35.217,55.567,-21.329,0.000746564886776309,0.000221635500004856,-0.000968200386781165
"V899",23.712,58.308,-21.252,-0.00106173750895109,0.000652071098861742,0.000409666410089349
"V922",27.254,62.056,-21.177,-0.000704851890260674,0.000198621982096008,0.000506229908164666
"V1028",50.227,-3.6388,-18.802,0.000897966769544194,0.000579954784684041,-0.00147792155422824
"V1143",35.645,48.045,-17.673,0.000361595157727194,0.000151093075213788,-0.000512688232940982
"V1150",-51.094,45.754,-17.584,-0.00109301898092561,0.000491917583326904,0.000601101397598703
"V1152",-39.809,46.509,-17.586,0.000128209379321732,-0.00158844909567973,0.00146023971635799
"V1153",-24.762,47.516,-17.588,-0.000241682767911379,-0.00113933850352512,0.0013810212714365
"V1157",31.663,51.29,-17.598,0.00132649444516843,-0.000961666829072862,-0.000364827616095565
"V1158",35.425,51.541,-17.598,-0.000288202270226419,-0.000380922576693332,0.000669124846919751
"V1166",-40.029,50.005,-17.511,-0.000113088503205292,0.00132128962271388,-0.00120820111950859
"V1172",31.444,54.786,-17.523,-0.000910618643597576,-0.00152539956914272,0.0024360182127403
"V1190",23.7,57.778,-17.447,0.00156561084701498,-0.00115776702194749,-0.00040784382506749
"V1191",27.462,58.03,-17.447,0.00126542528079943,0.000999108915418497,-0.00226453419621793
"V1205",-17.898,58.507,-17.364,0.00199335945091535,-0.00108838380344143,-0.000904975647473923
"V1245",-37.146,64.24,-17.211,0.000537407381145675,7.6641205461393e-05,-0.000614048586607068
"V1256",15.518,67.763,-17.22,-0.00043170556855534,0.000878021397898246,-0.000446315829342907
"V1257",19.279,68.014,-17.22,-0.000487211389414757,0.00112987879954641,-0.000642667410131648
"V1270",15.298,71.259,-17.144,-0.000701682910759104,0.000978165045630401,-0.000276482134871297
"V1271",19.059,71.511,-17.144,-0.00130455674751676,0.00190157715380599,-0.000597020406289228
"V1285",18.84,75.006,-17.07,0.000356196635018174,-0.00235042488231131,0.00199422824729314
"V1286",22.601,75.258,-17.07,0.000608384033546772,-0.0024365666898578,0.00182818265631103
"V1290",-26.521,75.484,-16.987,0.00081460880887162,0.00152138073677549,-0.00233598954564711
"V1291",-22.759,75.735,-16.988,-0.000596389655108221,0.0017902948219714,-0.00119390516686318
"V1313",18.18,85.494,-16.844,-0.00070060398630974,0.00169491790708422,-0.000994313920774482
"V1449",-48.908,10.265,-14.53,0.00159993287058902,-0.000399117430423501,-0.00120081544016552
"V1453",-45.366,14.013,-14.455,-0.000437302431638698,0.00141519605655181,-0.000977893624913112
"V1517",-51.106,45.224,-13.778,0.000131630811914968,0.00206938524363379,-0.00220101605554876
"V1528",-43.803,49.224,-13.705,0.00067049217105781,0.000705239650398026,-0.00137573182145584
"V1530",-24.994,50.482,-13.708,-0.000510825220117786,-0.000361954172878645,0.000872779392996431
"V1536",16.385,53.25,-13.714,8.16035172579977e-05,-0.000722385889481575,0.000640782372223577
"V1547",-44.022,52.72,-13.629,0.000798125140910049,5.97287608058434e-05,-0.000857853901715892
"V1548",-32.737,53.474,-13.631,0.000363853668173547,-0.000779540122192675,0.000415686454019128
"V1554",23.688,57.248,-13.64,7.74640618438983e-06,0.00204035139184105,-0.00204809779802544
"V1596",15.725,63.737,-13.489,-0.000606992710343391,0.00116317831256319,-0.000556185602219803
"V1598",34.534,64.995,-13.492,0.00119478891099669,0.000350290777990853,-0.00154507968898754
"V1604",-37.158,63.71,-13.405,7.04277495886617e-05,0.00105071777166892,-0.00112114552125758
"V1623",-37.378,67.207,-13.329,-0.000522733818201502,0.00152855247607864,-0.00100581865787713
"V1624",-33.616,67.459,-13.33,0.000163392856494798,-0.00101182183064778,0.000848428974152982
"V1630",15.286,70.729,-13.338,-0.000573810150618729,-0.000436760790571041,0.00101057094118977
"V1631",19.047,70.981,-13.339,-0.0005829202675543,-0.000595782399183478,0.00117870266673778
"V1632",22.809,71.233,-13.34,-0.000250070958939127,0.000821673986938076,-0.00057160302799895
"V1643",-18.789,71.96,-13.258,-0.000289523041670303,0.000954294719721667,-0.000664771678051364
"V1655",-49.103,73.444,-13.178,-0.000429064422550281,0.000769733310775996,-0.000340668888225715
"V1658",-22.771,75.205,-13.182,-0.000909753080621335,0.00128656424462362,-0.000376811164002284
"V1678",25.911,81.972,-13.115,-0.000344526069466722,-0.000401952096027352,0.000746478165494074
"V1682",-23.211,82.196,-13.031,-0.000254950914523927,-0.00090965579063886,0.00116460670516279
"V1689",18.168,84.964,-13.038,0.00069472615873754,-0.00100052355114448,0.00030579739240694
"V1809",-48.481,2.7435,-10.874,0.000983783540225202,-0.0026537829208247,0.0016699993805995
"V1822",-52.682,9.4838,-10.723,0.000172126912573242,-0.00133039534968906,0.00115826843711582
"V1907",-51.558,51.687,-9.8221,-0.000298069695947971,-0.00074571966117281,0.00104378935712078
"V1918",-55.539,54.931,-9.7459,-0.00027204481728952,-0.000555521691327689,0.000827566508617209
"V1928",23.456,60.214,-9.7597,0.000656960199547157,-0.0018690885569021,0.00121212835735494
"V1933",46.027,61.724,-9.7636,-4.40568647007721e-05,0.00100026672050192,-0.00095620985580115
"V1948",38.283,64.717,-9.6874,0.000593503171661534,0.000595358864162585,-0.00118886203582412
"V1955",-33.409,63.432,-9.6003,-0.00107327764265749,0.00161570648293423,-0.000542428840276744
"V1956",-29.647,63.684,-9.6003,-0.000207892772465071,0.00130421988663657,-0.0010963271141715
"V1987",26.559,70.954,-9.5348,0.000253982630636591,-0.00115972660759644,0.000905743976959845
"V1990",-52.657,69.167,-9.4467,-0.000345253234752117,0.000983855525771276,-0.000638602291019159
"V2030",-45.573,76.661,-9.2973,0.00114165973778945,-0.000535841082335879,-0.000605818655453569
"V2115",-26.827,-41.976,-8.0488,0.000863155946431025,-0.000470819290490866,-0.000392336655940159
"V2208",-52.694,8.9538,-6.9177,-0.000328100942267338,-0.000757484113152291,0.00108558505541963
"V2263",-54.233,33.426,-6.3916,-0.000332507064506386,-0.000400355250116127,0.000732862314622513
"V2315",-51.57,51.157,-6.0168,0.000904906011770405,-0.000222063324555833,-0.000682842687214572
"V2334",46.014,61.194,-5.9573,-1.5330581737047e-05,0.000374951636419244,-0.000359621054682197
"V2351",-55.991,61.393,-5.79,-6.44260405376726e-05,-0.00101406433738089,0.00107849037791856
"V2352",-52.229,61.645,-5.791,0.000752459193613652,-0.000687907582016076,-6.4551611597576e-05
"V2379",26.547,70.423,-5.7286,-0.00119968603801485,0.000692119119889856,0.000507566918124992
"V2384",-56.431,68.384,-5.6396,-0.000690051625349923,0.000264995688696262,0.000425055936653661
"V2385",-52.669,68.636,-5.6406,-0.0011396186938859,0.000449983811720991,0.00068963488216491
"V2407",-52.889,72.132,-5.5652,0.000806720652831693,-2.71605157195552e-05,-0.000779560137112138
"V2413",-30.319,73.641,-5.5692,-0.00129053907074095,0.00102821199813002,0.00026232707261093
"V2432",-30.538,77.138,-5.4938,-0.000677556040435893,0.00109730346078202,-0.000419747420346124
"V2438",-0.44475,79.15,-5.4988,-0.000705167815766375,0.000586701013050767,0.000118466802715608
"V2454",-0.66455,82.646,-5.4236,-0.000950448837199103,0.000321816940456548,0.000628631896742555
"V2627",56.603,12.225,-3.2053,-0.000180218909438137,0.00120940129692872,-0.00102918238749058
"V2711",20.33,48.415,-2.373,0.00157775187245631,-0.00060564474620468,-0.000972107126251632
"V2756",-55.783,57.367,-2.0598,-0.000354453268079656,-0.00123480669712263,0.00158925996520229
"V2770",-56.003,60.863,-1.9846,-0.000204082196405278,-0.000888880766012792,0.00109296296241807
"V2783",-56.223,64.359,-1.9095,-0.000613020841585222,0.000270898542523055,0.000342122299062167
"V2831",-49.139,71.854,-1.7604,-0.000604831398773123,-0.000189344463054187,0.00079417586182731
"V3148",-51.594,50.096,1.595,0.000700616459549891,-0.000776324807043559,7.57083474936679e-05
"V3187",-48.492,60.837,1.8199,-0.000476109225271352,-0.00142418281131876,0.00190029203659012
"V3259",14.798,75.601,2.0347,-0.00101141373219969,-0.000280888984977924,0.00129230271717761
"V3268",-38.086,75.574,2.1185,0.000557383376655023,-0.000917530756824337,0.000360147380169314
"V3388",-0.31163,-45.3,3.2886,0.000589205740557311,0.00122927624136742,-0.00181848198192473
"V3548",-51.386,46.071,5.3255,0.000935955132823016,-0.000764051156350985,-0.000171903976472031
"V3574",-2.924,56.334,5.4677,0.000716365759569799,-0.00156367457839543,0.000847308818825633
"V3582",-48.284,56.81,5.5504,0.000996647848764204,-0.000670951122746277,-0.000325696726017927
"V3601",0.39813,63.577,5.6173,-0.000513767706083392,0.000665995212389593,-0.000152227506306202
"V3643",-41.64,71.297,5.8498,0.00164902417440052,-0.000561800074390222,-0.00108722410001029
"V3681",-42.08,78.289,6,-0.000504924916806366,-0.000676500381122765,0.00118142529792913
"V3682",-38.318,78.54,5.9993,-0.000193590426457582,-0.000601755042726905,0.000795345469184488
"V3755",-22.454,-54.331,6.9483,0.000231671825535845,-0.00122525669624351,0.000993584870707669
"V3756",-18.693,-54.079,6.9473,0.000655729106458206,0.000133244454055859,-0.000788973560514064
"V3759",0.11586,-52.822,6.9443,0.000608665268978162,-0.000527013941126883,-8.16513278512788e-05
"V3773",-3.8656,-49.578,7.0195,-0.000590615015902582,0.000913553498598561,-0.000322938482695979
"V3774",-0.10393,-49.326,7.0195,-0.00026666732236087,0.000693580591408112,-0.000426913269047242
"V3785",14.723,-44.824,7.0919,-0.00057081893509748,0.000594806106769743,-2.39871716722625e-05
"V3941",-54.941,41.793,9.0567,0.001437575105718,0.000218403937341675,-0.00165597904305967
"V3975",-25.506,54.294,9.2771,-0.00116861389721399,0.00150592353123389,-0.000337309634019902
"V3976",-21.745,54.545,9.2765,-0.000811941089163087,0.00172077204872105,-0.00090883095955796
"V3977",-17.983,54.797,9.2758,0.00117635534346576,-0.000815343673633935,-0.00036101166983183
"V4002",4.1477,63.298,9.4224,-0.000671254832206494,-0.000659675129541355,0.00133092996174785
"V4003",7.9094,63.55,9.4217,-0.000804101211117428,0.00201915313664767,-0.00121505192553024
"V4021",-3.5955,66.291,9.4987,-0.000152125383950044,0.00171200058379151,-0.00155987519984147
"V4023",3.9279,66.795,9.4976,-0.000721223989321922,0.0012533946269328,-0.000532170637610878
"V4057",-19.082,72.277,9.6517,-0.000576592544802554,0.00188084599230327,-0.00130425344750072
"V4124",-1.3723,91.014,10.024,0.0012188235989013,5.57459239214057e-05,-0.00127456952282271
"V4176",3.6457,-49.604,10.824,-0.0001462441865376,0.00173514139865065,-0.00158889721211305
"V4187",-4.0975,-46.611,10.901,-0.000245531937166612,0.00181096988608086,-0.00156543794891425
"V4201",-4.3173,-43.115,10.976,0.000629676069170804,4.04444626546435e-05,-0.000670120531825447
"V4238",-35.29,-31.144,11.281,1.58111936222502e-05,-0.000681566619129299,0.000665755425507049
"V4370",-21.757,54.016,13.082,0.000163927485585416,0.000443283951602896,-0.000607211437188313
"V4379",-25.738,57.26,13.158,-0.000191899482543291,0.00100216507587881,-0.000810265593335518
"V4380",-18.215,57.763,13.157,-0.000966134933468823,0.00156135864195742,-0.000595223708488595
"V4395",7.8973,63.02,13.227,0.000229184158523694,-0.000533341501007814,0.00030415734248412
"V4405",-44.986,62.994,13.312,0.00045281498653068,0.0010771998539072,-0.00153001484043788
"V4406",-41.225,63.246,13.311,-0.00127930523410673,0.000590530414529509,0.000688774819577225
"V4413",-3.6076,65.761,13.304,-0.000313742727622073,-0.000369193613560605,0.000682936341182678
"V4421",-52.729,65.987,13.388,0.000795877160352843,-0.000346544554061327,-0.000449332606291516
"V4422",-48.968,66.238,13.387,8.17400870717728e-05,0.000425526129590667,-0.00050726621666244
"V4423",-45.206,66.49,13.387,0.000411958410049665,0.000947771828137997,-0.00135973023818766
"V4424",-41.444,66.741,13.386,0.000146912951458107,-0.00118742794974629,0.00104051499828818
"V4448",-15.332,71.999,13.457,-0.000395136369160297,-0.000587271644279882,0.000982408013440179
"V4467",-23.075,74.991,13.533,0.000858096992099982,0.000434714107028778,-0.00129281109912876
"V4479",25.827,78.262,13.525,0.00112231365611505,-0.000885623159189085,-0.000236690496925967
"V4480",29.588,78.514,13.524,-0.000174716204138237,-0.000759463198016877,0.000934179402155114
"V4487",-23.295,78.487,13.608,0.00054335101135376,0.000324749546835192,-0.000868100558188953
"V4590",-4.3294,-43.645,14.782,0.000145114447002348,0.00101128931091329,-0.00115640375791563
"V4642",35.95,-23.398,15.15,0.00110286131322381,3.23570683743931e-05,-0.0011352183815982
"V4786",-48.32,55.221,16.968,-0.000437987431038424,-1.80286575737628e-05,0.000456016088612187
"V4788",-29.512,56.478,16.965,0.000409352417232797,-4.49303994901931e-05,-0.000364422017742604
"V4798",-29.732,59.974,17.04,-0.000517967958342779,-0.000282439070399787,0.000800407028742565
"V4809",-41.237,62.716,17.117,-0.000735471904492682,0.000346451883710609,0.000389020020782073
"V4812",-26.19,63.722,17.114,0.000737966952309371,-0.000429964187099481,-0.000308002765209889
"V4813",-22.428,63.974,17.113,-0.00090906967670723,0.000366558382036935,0.000542511294670295
"V4820",22.712,66.993,17.106,0.000561163580010638,-0.000282956960308719,-0.000278206619701919
"V4829",-48.98,65.708,17.193,-0.000576883072233141,0.000297118586623274,0.000279764485609868
"V4830",-45.218,65.96,17.192,0.00152446037737228,-0.000423140428072487,-0.00110131994929979
"V4843",30.016,70.992,17.18,0.0013190662842558,-0.000961757047781293,-0.000357309236474512
"V4851",-37.915,69.959,17.266,0.00125095251145226,-0.00113042875518172,-0.000120523756270542
"V4863",14.749,73.481,17.257,0.000527582262278678,-0.000835813397802029,0.000308231135523351
"V4903",-16.004,81.957,17.488,0.00079351374319829,-0.000752908780461184,-4.06049627371058e-05
"V4916",-1.3965,89.955,17.636,0.000331261769568776,0.000340682170396983,-0.000671943939965758
"V5020",-39.296,-28.96,18.969,-0.000760148192551274,0.00135375797531968,-0.000593609782768406
"V5194",-6.9539,57.458,20.766,0.000582239654156905,-0.00111797558467524,0.000535735930518335
"V5240",14.957,69.456,20.988,0.000829294926514835,-0.000361647075427434,-0.000467647851087401
"V5263",14.737,72.951,21.063,-0.00110170779636487,0.000780291326170244,0.000321416470194622
"V5264",18.499,73.203,21.063,-0.000446730757492019,0.000531363346579191,-8.46325890871717e-05
"V5283",18.279,76.699,21.137,-0.00111627107388753,0.000476858128722758,0.00063941294516477
"V5303",-19.778,81.175,21.295,-0.00113826469001626,0.000708019512411313,0.000430245177604948
"V5339",11.133,-50.691,22.24,0.000448528470791603,0.000240789971792976,-0.000689318442584579
"V5366",14.455,-43.447,22.39,0.000269665977764322,0.00020318894475931,-0.000472854922523631
