"","x","y","z","face","place","object"
"V36",25.922,-5.9482,-35.008,0.000175084353650202,-0.000442105714358218,0.000267021360708016
"V172",24.888,19.907,-30.04,0.000535222115874845,0.000939612943277461,-0.00147483505915231
"V184",-27.118,-20.378,-25.308,0.000541348016454767,0.000974400747789914,-0.00151574876424468
"V305",27.64,42.172,-25.391,0.000989264492269424,-0.000389293256816062,-0.000599971235453362
"V306",31.245,42.331,-25.554,0.00107080580264009,-0.000612053754186451,-0.000458752048453642
"V313",27.458,45.922,-25.233,0.000796709240510945,-4.64629846306231e-05,-0.000750246255880322
"V314",31.063,46.081,-25.396,0.000832418180269571,-0.000264837718686666,-0.000567580461582905
"V320",30.881,49.831,-25.238,0.000523330290601467,0.000428198657566546,-0.000951528948168013
"V321",34.485,49.99,-25.402,0.000842331496515544,-0.000408205990916882,-0.000434125505598661
"V339",-37.873,-17.5,-20.797,0.00152379101416824,-0.000426439664456812,-0.00109735134971143
"V358",-16.792,-5.2937,-21.3,-0.00076349519281239,0.00158393972003189,-0.000820444527219504
"V402",-35.909,16.409,-19.54,0.000719996568251624,-0.000458802770786911,-0.000261193797464713
"V465",-37.002,38.908,-18.596,-0.000482978682430038,8.9999150056693e-05,0.000392979532373345
"V466",-33.397,39.067,-18.758,-0.000749589616474126,0.000739009950292327,1.05796661817987e-05
"V468",24.277,41.619,-21.363,-0.000600335562016556,0.000670679255418619,-7.03436934020629e-05
"V469",27.882,41.778,-21.525,0.000258754697110271,-0.00186286761747085,0.00160411292036058
"V480",-40.789,42.498,-18.275,-0.000207991176487555,-0.00125734552152315,0.00146533669801071
"V481",-37.184,42.658,-18.438,-0.000489734556177945,-0.00101223110345377,0.00150196565963172
"V482",-33.58,42.817,-18.601,0.00103196736943834,-0.000252037660083906,-0.00077992970935443
"V484",24.095,45.368,-21.205,-0.000509618774401903,0.000347237940638023,0.00016238083376388
"V485",27.7,45.528,-21.367,-0.000481854064321706,-0.000840936776124186,0.00132279084044589
"V494",-40.971,46.248,-18.118,-0.000569167497378973,0.000467132704441536,0.000102034792937437
"V495",-37.367,46.407,-18.28,-0.000406403673291317,-0.00077782406730729,0.00118422774059861
"V496",-33.762,46.568,-18.443,-0.000170166271427644,0.000486894738680708,-0.000316728467253064
"V498",27.517,49.278,-21.21,-0.000401830991591643,-0.000775249911141028,0.00117708090273267
"V508",30.94,53.187,-21.215,-0.000209681749876283,0.000582890252649853,-0.000373208502773571
"V509",34.544,53.347,-21.378,-0.000230057300726056,0.00118221592275306,-0.000952158622027002
"V514",34.362,57.096,-21.22,-0.000132077468665123,-0.00150451447658006,0.00163659194524518
"V515",-45.123,57.339,-17.482,-0.00017268347333501,0.000965524339017081,-0.000792840865682071
"V528",-48.446,-18.372,-16.442,-0.000573574388706288,-0.000737775100572693,0.00131134948927898
"V570",44.546,0.77326,-20.043,0.00060287494168081,-0.00105485220801819,0.000451977266337379
"V628",28.488,33.885,-17.975,-0.00053665790932104,0.000986040746337633,-0.000449382837016594
"V653",-47.757,41.785,-14.084,0.000313800153505426,-0.00154002308756409,0.00122622293405867
"V654",-40.548,42.105,-14.409,0.000383692090162102,-0.000202388141907605,-0.000181303948254498
"V656",17.127,44.656,-17.014,-0.000304430542057352,0.00104254529834135,-0.000738114756284
"V665",-29.916,46.333,-14.74,-0.000333229950220901,-0.00147201715555576,0.00180524710577666
"V666",34.968,49.203,-17.67,0.000217468330020057,-0.00227195373361952,0.00205448540359947
"V675",-37.307,49.764,-14.257,0.00083412069562964,0.000451754377056584,-0.00128587507268622
"V689",12.976,55.746,-16.378,-0.000180449695916949,-0.000468376407712135,0.000648826103629084
