"","x","y","z","face","place","object"
"V211",37.448,32.83,-15.974,0.00130810967276448,0.00159377193900471,-0.00290188161176919
"V233",-37.923,41.582,-19.516,0.00347403531643823,-0.000955275673226324,-0.00251875964321191
"V256",34.98,-11.821,-19.251,0.000614373737441978,0.00129616726054401,-0.00191054099798598
"V257",38.732,-11.714,-18.992,0.000426740300113461,0.00183076111948364,-0.0022575014195971
"V278",30.899,-1.0417,-17.904,-0.000244700114845345,0.00110051355746732,-0.000855813442621979
"V287",30.789,2.5866,-17.368,-0.000522362064155186,0.00116033380513286,-0.000637971740977674
"V402",33.223,46.236,-10.694,0.00125602138729309,-0.000151556786270619,-0.00110446460102247
"V423",33.003,53.493,-9.6242,0.00057082316750462,-0.0011948970758221,0.000624073908317477
"V506",-44.834,17.594,-16.443,0.0006298146228047,-0.00161105772292562,0.000981243100120924
"V512",-44.944,21.223,-15.909,-0.000228093912444353,-0.001615756867978,0.00184385078042235
"V524",33.629,30.721,-9.4356,0.000679877561134532,-0.00141379580058751,0.000733918239452975
"V550",-30.485,39.792,-12.205,0.00114181246088434,-0.000771260598007113,-0.000370551862877226
"V551",-19.229,40.112,-11.433,0.000851956627927883,-0.000368103963654047,-0.000483852664273836
"V560",-26.843,43.527,-11.414,-0.00149295371908923,0.000652284736223013,0.000840668982866214
"V589",36.722,52.599,-5.9699,-0.000453269096383492,-0.000767021921613984,0.00122029101799748
"V617",-38.648,61.35,-9.5114,-0.00160883651678564,0.0013579416013387,0.000250894915446938
"V628",32.641,63.378,-4.6219,-0.00100681721405252,0.00187437241213402,-0.000867555198081493
"V629",-38.758,64.979,-8.977,0.000736354120560197,-0.00246738722351924,0.00173103310295905
"V641",32.531,67.006,-4.0878,-0.00123372101566219,0.00231401257438991,-0.00108029155872773
"V647",-38.977,72.236,-7.9075,-0.000893940676678576,0.00160977620616226,-0.00071583552948368
"V675",38.666,-13.718,-12.197,-0.00106033094145738,0.00273645576177954,-0.00167612482032216
"V695",-33.062,-1.2304,-14.947,0.000191856089684853,-0.0015897334043638,0.00139787731467895
"V703",15.605,3.785,-11.067,-0.00139228499408033,0.00031238778702286,0.00107989720705747
"V789",-30.737,46.047,-7.7382,0.00171933783689359,-0.00152432344922249,-0.000195014387671099
"V802",-30.847,49.676,-7.2028,-0.00107594745117843,-0.00104169129645385,0.00211763874763228
"V803",-27.095,49.782,-6.9459,0.000984227639394623,0.00052351456439053,-0.00150774220378515
"V824",25.323,54.905,-2.8082,0.000186603987681315,0.00123860505745729,-0.0014252090451386
"V825",36.58,55.226,-2.0361,0.000258689446717784,0.000475433679614507,-0.000734123126332291
"V857",25.104,62.162,-1.7387,-0.000274530043383069,-0.000998374979790307,0.00127290502317338
"V869",21.242,65.684,-1.4616,-0.000541598588006934,0.000489753738969516,5.18448490374176e-05
"V870",24.994,65.791,-1.2043,0.00213267752746056,-8.55536568160994e-05,-0.00204712387064446
"V872",-46.405,67.392,-5.5584,0.00223832057732746,-0.000385612017579238,-0.00185270855974822
"V997",56.295,22.1,-2.165,0.00224535579640632,-0.000228725307780646,-0.00201663048862567
"V1032",29.262,46.753,-0.22244,-0.000928322993483534,-0.0015845370797006,0.00251286007318414
"V1038",-30.88,48.675,-3.8054,0.000400404621024175,-0.00195354678683629,0.00155314216581211
"V1042",25.4,50.275,0.054724,0.0020467382897967,-0.000362963488867513,-0.00168377480092919
"V1043",29.152,50.382,0.31166,0.0015213542179231,0.00126084650516541,-0.00278220072308851
"V1057",21.538,53.797,0.33189,0.000806945509051406,-0.00443400322393068,0.00362705771487927
"V1058",25.29,53.904,0.58917,-0.0008819095935336,-0.000375574314285764,0.00125748390781936
"V1071",21.428,57.426,0.86634,-0.00040823608927615,0.00131578008369519,-0.000907543994419038
"V1076",-46.218,59.134,-3.2305,-0.000789223516501075,0.00114461714868573,-0.000355393632184654
"V1118",21.099,68.311,2.4712,-0.00115776471042687,-0.000412102990472431,0.0015698677008993
"V1120",32.355,68.631,3.2433,0.00105634394732782,-0.00295095848266663,0.0018946145353388
"V1186",-28.278,-39.413,-13.241,-0.000849447368135563,-0.00115171765123011,0.00200116501936567
"V1231",38.71,-19.35,-5.936,-0.00101038514292066,0.000487923533364451,0.000522461609556205
"V1245",45.775,-4.622,-3.2823,-0.000830579564136873,0.00128995314734736,-0.000459373583210489
"V1314",-49.344,36.253,-3.2982,-0.000779560115529974,0.00125691039654416,-0.000477350281014184
"V1318",-49.454,39.882,-2.7638,-0.000644196288524468,0.000887619327138435,-0.000243423038613967
"V1323",-49.564,43.511,-2.2284,-0.00051123507647266,-0.00153557441338409,0.00204680948985675
"V1330",-49.783,50.768,-1.1589,0.00086751749803602,0.000348257805034368,-0.00121577530307039
"V1357",36.184,64.108,6.3632,0.000678371967048126,0.000321961368392292,-0.00100033333544042
"V1471",-28.311,-40.415,-9.8435,-0.000860614217091246,0.00198979916428782,-0.00112918494719657
"V1511",34.595,-9.5723,-1.1909,0.00120554509506903,0.00139219591475779,-0.00259774100982682
"V1517",41.88,-2.1018,0.39316,0.000822901940353839,0.00175751043519863,-0.00258041237555247
"V1518",45.632,-1.995,0.65049,-0.00210701577210087,0.000885810897705838,0.00122120487439503
"V1561",41.111,23.298,4.1363,-0.00113966947481188,-0.000245435939237523,0.00138510541404941
"V1587",-0.6007,36.639,3.445,-0.000599210415826489,0.000301323330632791,0.000297887085193698
"V1597",-57.101,42.295,0.65478,-0.00104837699099719,0.000687916183302928,0.000360460807694266
"V1598",-53.349,42.402,0.91172,0.000834211422289099,0.00133454576634805,-0.00216875718863715
"V1599",-49.597,42.509,1.1699,-0.00054308056705853,-0.000368471180388074,0.000911551747446604
"V1603",-49.707,46.137,1.704,-0.00107535762828026,-0.0011569206885132,0.00223227831679346
"V1605",-49.816,49.766,2.2385,0.000613164721682409,-0.00166790444973382,0.00105473972805141
"V1616",-57.54,56.81,2.7941,-0.000541327558928302,0.00100297588883186,-0.00046164832990356
"V1627",-57.65,60.438,3.3282,-0.00115501987438514,-0.000622708368417814,0.00177772824280295
"V1628",-50.146,60.652,3.8434,0.000881698240425718,0.00183828030558343,-0.00271997854600915
"V1629",-46.394,60.758,4.1003,-0.0010184532185982,-0.00119217048378524,0.00221062370238344
"V1648",36.041,66.735,10.296,-0.000310263668798063,-0.000482300572869708,0.000792564241667772
