voxel,face,place,object,x,y,z,subject,class,cluster
1021,4.19239035729896e-5,1.0563084506839618e-5,-5.2486988079829224e-5,50.447,-7.1344,-18.878,9,face,1
1027,5.828931075962731e-5,-1.0292489738494482e-4,4.463558662531751e-5,31.418,-4.8967,-18.799,9,object,3
1028,3.154151400494833e-5,6.546202569750419e-5,-9.700353970245252e-5,50.227,-3.6388,-18.802,9,face,1
103,2.4678634749386932e-5,4.0613154520090735e-6,-2.8739950201396008e-5,-32.043,-14.046,-34.162,9,face,1
1034,-1.0040491831743435e-4,-3.486668922096222e-5,1.3527160753839656e-4,-2.6568,-3.6651,-18.719,9,object,3
1066,4.461784673990066e-5,-1.6533663468326356e-5,-2.8084183271574302e-5,-56.2,6.7962,-18.409,9,face,1
1072,-1.6183977687946465e-5,-8.205898635376192e-5,9.824296404170837e-5,56.651,14.344,-18.428,9,object,3
1074,5.2936510385177904e-05,6.615907814121188e-7,-5.359810116659002e-5,-48.896,10.795,-18.335,9,face,1
1086,5.395353289827762e-6,-3.469442518777657e-5,2.929907189794881e-5,14.613,22.064,-18.196,9,object,3
1091,-8.24094688473014e-5,7.232918754702213e-6,7.51765500925992e-5,52.01,28.076,-18.127,9,object,3
1096,-1.2902386079505815e-4,3.105310217672112e-5,9.797075861833703e-5,51.791,31.572,-18.052,9,place,2
1143,2.0950146814988798e-4,-8.8037211494658e-5,-1.2146425665523e-4,35.645,48.045,-17.673,9,face,1
1150,-3.9817198349496246e-5,-1.3863964838717202e-4,1.7845684673666826e-4,-51.094,45.754,-17.584,9,object,3
1152,1.3303678873597834e-4,-4.3956776979913064e-5,-8.908001175606526e-5,-39.809,46.509,-17.586,9,face,1
1153,-7.707657455612988e-5,-5.566649576091515e-6,8.26432241322214e-5,-24.762,47.516,-17.588,9,object,3
1157,1.9012485385272898e-4,-9.387631271219916e-5,-9.624854114052984e-5,31.663,51.29,-17.598,9,face,1
1158,1.3887727663603513e-4,-9.195068383541962e-5,-4.692659280061553e-5,35.425,51.541,-17.598,9,face,1
1161,-6.460828330018296e-5,-5.180401717841449e-5,1.1641230047859743e-4,50.472,52.548,-17.601,9,object,3
1166,1.5632396552880994e-4,-1.0350362056559742e-4,-5.282034496321251e-5,-40.029,50.005,-17.511,9,face,1
1167,-1.0828291489177695e-4,4.520075439097515e-6,1.0376283945267943e-4,-28.744,50.76,-17.513,9,object,3
1168,-5.1214085798183826e-5,-1.4355449130621151e-5,6.556953492880498e-5,-24.982,51.011,-17.513,9,object,3
1172,1.4379793071898924e-4,-7.342490743005424e-5,-7.037302328893497e-5,31.444,54.786,-17.523,9,face,1
1181,1.3508363043236295e-4,-7.749457869313874e-5,-5.758905173922423e-5,-40.249,53.501,-17.436,9,face,1
1190,-1.1832533807652613e-4,-1.0936257255323269e-5,1.292615953318494e-4,23.7,57.778,-17.447,9,object,3
1191,-1.2865941177026352e-4,-1.2955679990828102e-4,2.5821621167854456e-4,27.462,58.03,-17.447,9,object,3
1205,1.6180815610232496e-4,-7.24295002573577e-6,-1.5456520607658918e-4,-17.898,58.507,-17.364,9,face,1
1245,-1.6533604931333443e-4,1.0861663209960958e-4,5.6719417213724835e-5,-37.146,64.24,-17.211,9,place,2
1256,-1.2986406573933175e-4,7.594335892208669e-5,5.392070681724506e-5,15.518,67.763,-17.22,9,place,2
1257,-1.2590733865858663e-4,1.7185805214590963e-5,1.0872153344399569e-4,19.279,68.014,-17.22,9,place,2
1264,-1.650686308121494e-4,4.522773996145428e-5,1.198408908506951e-4,-33.604,67.988,-17.136,9,place,2
1270,-1.3124202204403774e-4,3.285586729843975e-5,9.838615474559798e-5,15.298,71.259,-17.144,9,place,2
1271,-1.0406744867719931e-4,1.7077166610626472e-5,8.699028206657281e-5,19.059,71.511,-17.144,9,object,3
1272,-1.4620619556083024e-4,-8.362188191780143e-6,1.545683837526104e-4,22.821,71.762,-17.145,9,object,3
1285,-1.3363355901599845e-4,6.962899867408685e-5,6.400456034191159e-5,18.84,75.006,-17.07,9,place,2
1286,-1.8866880019434011e-4,8.078818799249391e-5,1.0788061220184619e-4,22.601,75.258,-17.07,9,place,2
