voxel,face,place,object,x,y,z,subject,class,cluster
1000,-5.2546280246846665e-5,-1.4428679345066572e-4,1.9683307369751238e-4,52.678,57.605,-13.118,4,object,3
1001,1.2421827377104107e-4,-4.7205919559449656e-5,-7.701235421159143e-5,-51.046,57.781,-14.46,4,face,1
1002,1.2281895184389547e-4,-4.981434152619258e-5,-7.300461031770288e-5,-47.222,57.914,-14.413,4,face,1
1003,1.2985741787688667e-4,-5.91519267261047e-5,-7.070549115078196e-5,-43.399,58.048,-14.367,4,face,1
1004,-1.0952970650333755e-4,8.804410522795044e-5,2.1485601275387093e-5,-28.104,58.582,-14.18,4,place,2
1005,-7.671897914779394e-5,9.621261618891274e-5,-1.949363704111882e-5,-24.28,58.716,-14.134,4,place,2
1015,2.582948764054698e-4,-1.611479633962293e-4,-9.714691300924047e-5,-55.352,61.429,-14.59,4,face,1
1017,1.2115468875884428e-4,1.2054783724271738e-6,-1.2236016713127146e-4,-47.705,61.696,-14.497,4,face,1
1018,1.5328923327693952e-4,-5.063489776352836e-5,-1.0265433551341119e-4,-43.881,61.829,-14.45,4,face,1
1019,-1.4681804982035832e-4,1.3207502178390617e-4,1.4743028036452143e-5,-32.409,62.23,-14.31,4,place,2
1020,-8.310209720909415e-5,7.849728611971255e-5,4.604811089381606e-6,-28.586,62.363,-14.264,4,place,2
1021,-7.771690146878607e-5,9.08616496991477e-5,-1.3144748230361641e-5,-24.762,62.497,-14.217,4,place,2
1022,5.148781010264162e-5,1.0986880241593072e-4,-1.6135661251857235e-4,-20.938,62.63,-14.17,4,face,1
1025,-1.673734939292636e-4,1.6286448270380334e-4,4.509011225460258e-6,17.3,63.966,-13.704,4,place,2
1031,2.0589310669514153e-4,-3.470753071293968e-5,-1.7118557598220187e-4,-44.363,65.611,-14.533,4,face,1
1033,-8.219810639801692e-5,1.1311350633773523e-4,-3.0915399939718324e-5,-32.892,66.011,-14.393,4,place,2
1034,-8.177432805593514e-5,9.768349605540362e-5,-1.590916799946848e-5,-29.068,66.145,-14.347,4,place,2
