voxel,face,place,object,x,y,z,subject,class,cluster
1008,-1.305271681419413e-4,-1.3636426003446435e-4,2.668914281764057e-4,-60.339,46.764,-3.0201,3,object,3
1012,2.1374656898935972e-5,1.1955660587219384e-5,-3.3330317486155354e-5,2.7883,45.578,-0.51668,3,face,1
1013,3.640879578667695e-5,1.1675530448429377e-5,-4.8084326235106335e-5,51.887,44.656,1.4315,3,face,1
1021,3.789628653746858e-5,1.1338795646152164e-5,-4.923508218362075e-5,6.0939,49.741,0.2269,3,face,1
103,-7.484265107600801e-5,-1.254000945163634e-4,2.002427455923714e-4,47.147,6.837,-23.305,3,object,3
1038,-2.1100520195756417e-4,3.5069700060951365e-4,-1.396917986519495e-4,-4.8304,58.394,1.0182,3,place,2
1043,-7.890512681700685e-5,-1.9228295740981175e-4,2.711880842268186e-4,54.79,57.275,3.383,3,object,3
1046,1.0170675289837599e-4,-1.3264875902971993e-4,3.094200613134394e-5,-50.624,63.477,-0.1858,3,face,1
1049,1.00933764469677e-4,-5.214068743155923e-5,-4.8793077038117766e-5,-1.5248,62.556,1.7614,3,face,1
1050,9.707463378946783e-5,5.988630140739602e-5,-1.5696093519686384e-4,8.9964,62.358,2.179,3,face,1
1054,-4.022260105790484e-5,-1.1845168480623538e-4,1.586742858641402e-4,-54.332,67.771,0.27981,3,object,3
1055,9.155869725507321e-5,-7.92799002120935e-5,-1.2278797042979702e-5,-50.825,67.705,0.41879,3,face,1
1060,9.062326960496563e-5,-1.8263614841490825e-5,-7.23596547634748e-5,1.7807,66.718,2.505,3,face,1
1068,-1.528795074424324e-4,3.4923935260261675e-4,-1.9635984516018439e-4,50.88,65.797,4.4523,3,place,2
1073,-2.95924660037594e-4,1.7172966774982329e-4,1.2419499228777075e-4,40.157,70.222,4.639,3,place,2
1075,1.8090507528254623e-4,7.529022094966969e-5,-2.561952962322159e-4,-47.721,76.096,1.7657,3,face,1
1076,1.7956040903180243e-4,2.6417032073177042e-5,-2.0597744110497946e-4,-44.214,76.03,1.9056,3,face,1
