voxel,face,place,object,x,y,z,subject,class,cluster
1004,-1.2996512084925541e-4,1.4281668958397072e-4,-1.2851568734715298e-5,60.858,15.365,-14.293,6,place,2
1012,-1.4079750583683475e-4,1.9584883768625273e-4,-5.5051331849417986e-5,60.936,18.928,-14.298,6,place,2
1026,-1.8257853006379104e-4,-3.2066912990871565e-5,2.146454430546626e-4,68.086,25.947,-14.139,6,object,3
1034,-1.9197302134627757e-4,-7.609881020786841e-6,1.9958290236706439e-4,68.163,29.509,-14.144,6,object,3
1053,4.9466534716158975e-5,6.268926116281069e-5,-1.1215579587896966e-4,-5.0435,41.3,-15.957,6,face,1
1067,-1.406000085821586e-4,2.967140945714845e-4,-1.5611408598932588e-4,-29.446,45.23,-16.561,6,place,2
1082,-2.5347894978067963e-4,2.1970635007501763e-4,3.377259970566199e-5,26.587,47.951,-15.198,6,place,2
1083,3.3515844512615014e-4,-2.0183047131625234e-4,-1.3332797380989782e-4,47.57,47.636,-14.685,6,face,1
1092,-2.5049158479758377e-4,2.8364890506419113e-4,-3.315732026660733e-5,-25.793,52.302,-16.486,6,place,2
1097,1.912490927670023e-4,-7.82566030698557e-5,-1.1299248969714662e-4,44.15,51.251,-14.776,6,face,1
1104,3.461867635907095e-5,-2.1064158679998143e-4,1.7602291044091048e-4,-46.698,56.18,-17.005,6,object,3
1106,-2.5947541522526596e-4,2.7747872713360696e-4,-1.800331190834106e-5,-25.715,55.864,-16.492,6,place,2
1113,2.856757019455858e-4,-1.8169367707988437e-4,-1.0398202486570147e-4,44.228,54.813,-14.782,6,face,1
1125,1.1934137029956107e-4,5.769301791656516e-5,-1.7703438821612622e-4,-11.649,59.216,-16.156,6,face,1
1133,-2.640435196435991e-4,6.966444501885647e-5,1.9437907462474261e-4,30.317,58.586,-15.13,6,object,3
1152,-2.725523537536209e-4,1.8297636390563163e-4,8.957598984798928e-5,26.898,62.2,-15.221,6,place,2
1153,-2.227975098887993e-4,9.629336103175696e-5,1.2650414885704233e-4,30.395,62.148,-15.135,6,place,2
1163,-2.497210660255004e-4,1.564297767547251e-4,9.329128927077527e-5,-32.476,66.656,-16.68,6,place,2
1176,-3.3512474428601917e-4,7.140094920419367e-5,2.637237950818255e-4,33.97,65.657,-15.055,6,object,3
1231,-6.270851110785765e-5,2.654189482925589e-4,-2.027104371847013e-4,37.701,76.292,-14.987,6,place,2
1250,5.953104974006885e-4,-3.2384930269437816e-4,-2.7146119470631034e-4,34.359,83.469,-15.084,6,face,1
1276,-7.785885438360497e-5,1.5355774172879838e-4,-7.569888734519341e-5,24.49,-48.471,-11.046,6,place,2
1280,-1.5346442024767844e-5,-5.322801480956135e-5,6.85744568343292e-5,-3.4098,-44.488,-11.735,6,object,3
1312,4.238366647899959e-5,5.355568483158661e-5,-9.59393513105862e-5,-44.909,-22.484,-12.795,6,face,1
1314,1.4129175533503244e-4,-1.5034578826348373e-4,9.054032928451305e-6,-48.328,-18.869,-12.886,6,object,3
1316,1.7195367755469074e-4,-9.088531180082661e-5,-8.106836575386412e-5,-48.25,-15.307,-12.892,6,face,1
1367,1.7129628049758372e-4,-1.2044000602583113e-4,-5.0856274471752586e-5,-65.036,17.016,-13.37,6,face,1
1382,5.035609434695231e-5,-1.2040344241907965e-4,7.004734807212733e-5,-64.88,24.141,-13.381,6,object,3
1399,-2.5991571176730623e-5,-1.1020760886136494e-4,1.3619918003809556e-4,-64.724,31.265,-13.392,6,object,3
1443,1.9557054495374443e-4,-2.8915643240841945e-4,9.358588745467506e-5,47.496,43.832,-10.679,6,object,3
1451,-2.621718571210079e-4,1.656206800429335e-4,9.655117707807444e-5,33.586,47.605,-11.027,6,place,2
1463,-2.7241915246913864e-4,1.6746950130574714e-4,1.0494965116339149e-4,30.166,51.22,-11.118,6,place,2
1464,2.036283404025215e-4,-1.112631229809013e-4,-9.23652174216202e-5,44.155,51.009,-10.776,6,face,1
1466,-6.272521360432136e-5,-1.4586281910770353e-4,2.085880327120249e-4,58.144,50.799,-10.434,6,object,3
1467,9.683956027254228e-5,-2.426321990697775e-4,1.4579263879723522e-4,61.641,50.747,-10.348,6,object,3
1469,6.0170564070791766e-5,-2.803160780819513e-4,2.2014551401115958e-4,-57.185,56.096,-13.261,6,object,3
1475,-2.208048379559177e-4,1.1065472493586694e-4,1.1015011302005075e-4,30.244,54.782,-11.123,6,place,2
1480,2.1136042743079818e-4,-3.5006381520009136e-4,1.3870338776929321e-4,-57.107,59.658,-13.266,6,object,3
1485,-1.805219360499781e-4,2.0654922355464224e-4,-2.6027287504664143e-5,-25.633,59.185,-12.497,6,place,2
1491,-3.4017890120164777e-4,2.207761744809571e-4,1.1940272672069063e-4,30.322,58.344,-11.129,6,place,2
1503,-2.4945296765774435e-4,2.918306172148884e-4,-4.237764955714407e-5,-22.058,62.695,-12.417,6,place,2
1510,-2.5071260450948836e-4,2.495348911087734e-4,1.1777134007148946e-6,26.903,61.959,-11.22,6,place,2
1511,-3.233440625529179e-4,2.6753749731205773e-4,5.580656524086019e-5,30.4,61.906,-11.135,6,place,2
1529,-2.5360982810695564e-4,3.281606302555515e-4,-7.455080214859587e-5,30.478,65.469,-11.14,6,place,2
1619,4.157800039401227e-4,-1.6558615351663358e-4,-2.5019385042348907e-4,37.861,83.175,-10.997,6,face,1
164,-8.25263329065463e-5,1.4076433020903563e-4,-5.823799730248936e-5,32.784,13.189,-30.974,6,place,2
1641,-6.0692412307607883e-5,1.3402169061168753e-4,-7.332927830407965e-5,-21.202,-58.716,-8.1397,6,place,2
1647,-3.2799807509679135e-5,5.017937442348241e-5,-1.7379566913803273e-5,-35.113,-54.944,-8.4873,6,face,1
1657,-3.052084050040802e-5,5.1612944533586706e-5,-2.1092104033178692e-5,-24.544,-51.539,-8.2364,6,face,1
1702,3.3181053481710786e-5,3.591700774631551e-5,-6.90980612280263e-5,39.261,-13.3,-6.7593,6,face,1
175,-9.004818659179195e-5,1.3493607118908875e-4,-4.488788459729679e-5,-33.507,21.312,-32.61,6,place,2
1810,-5.5476537879430586e-5,1.2483112180528659e-4,-6.935458392585599e-5,5.5351,44.222,-7.7041,6,place,2
1834,-2.47900520554343e-4,-1.4994666321335736e-5,2.628951868756788e-4,58.148,50.558,-6.4329,6,object,3
1846,-1.7155758312865265e-4,-1.088657352987074e-4,2.804233184273601e-4,58.226,54.12,-6.4385,6,object,3
1885,-1.8189414929355998e-4,2.8915375654441983e-4,-1.0725960725085986e-4,30.482,65.227,-7.1394,6,place,2
