voxel,face,place,object,x,y,z,subject,class,cluster
10,6.729928626353206e-5,-1.3936086380097267e-4,7.20615775374406e-5,-38.702,5.9355,-37.484,7,object,3
100,1.7277683562293679e-4,-1.3847256526321444e-4,-3.430427035972237e-5,-27.468,0.28207,-30.005,7,face,1
1000,-5.377461808628085e-5,-9.749291408442398e-5,1.5126753217070482e-4,55.115,43.306,1.0207,7,object,3
1005,-3.055870577265539e-5,-7.782861888036429e-5,1.0838732465301967e-4,-61.984,49.777,-2.3228,7,object,3
1014,2.063395910699806e-4,-3.057596027040208e-4,9.94200116340402e-5,-46.908,58.483,-0.79706,7,object,3
1024,-1.743169329750703e-4,-1.4783009166325007e-4,3.221470246383203e-4,39.934,64.178,2.8858,7,object,3
1029,-8.465600828773898e-5,1.6584065099702812e-4,-8.118464270928914e-5,-20.504,67.382,1.1455,7,place,2
1034,2.547616138683332e-4,-2.1380540158874375e-4,-4.095621227958949e-5,-50.73,71.096,0.51682,7,face,1
1041,-3.348005583672772e-5,1.1508511244029324e-4,-8.160505660356553e-5,13.469,72.182,2.8808,7,place,2
1042,-1.3115640041617044e-5,6.558462492653547e-5,-5.246898488491843e-5,17.245,72.246,3.0202,7,place,2
1043,-8.486900144359881e-5,1.7249451901201515e-4,-8.762551756841634e-5,21.021,72.309,3.1592,7,place,2
1050,-7.981377171754417e-5,1.8535095388067457e-4,-1.055371821631304e-4,9.6771,76.344,3.2261,7,place,2
1051,-7.357381052782329e-5,1.727694941062956e-4,-9.919568357847233e-5,13.454,76.407,3.3651,7,place,2
1052,-7.357952948053763e-6,6.157170609557861e-5,-5.421375314752485e-5,17.23,76.471,3.5045,7,place,2
1059,-4.7832189938461205e-5,9.390325682697642e-5,-4.60710668885152e-5,-20.549,80.058,2.5974,7,place,2
1071,-6.97555633484241e-5,8.94858503492908e-5,-1.973028700086669e-5,5.8705,84.731,4.0557,7,place,2
1082,1.7287533075147672e-5,-2.00372499304328e-4,1.8308496622918032e-4,20.961,89.211,5.0967,7,object,3
