voxel,face,place,object,x,y,z,subject,class,cluster
1028,5.755043651425199e-5,-2.497807546805399e-5,-3.2572361046198e-5,38.817,-10.615,-21.002,10,face,1
1063,6.96509041301114e-5,-1.4202419900731302e-4,7.237329487720162e-5,-55.917,2.056,-18.904,10,object,3
1067,-9.734995861122692e-6,1.3478829745720434e-5,-3.743833884597743e-6,-14.472,2.5812,-18.458,10,face,1
1068,-1.2426050175326678e-5,2.992659578641498e-5,-1.7500545611088297e-5,-10.704,2.629,-18.418,10,face,1
1075,5.1210952686613333e-5,-9.604925739613818e-5,4.4838304709524824e-5,-56.052,5.5228,-18.126,10,object,3
1153,-1.4379877201429548e-4,1.1982647753586873e-4,2.397229447842676e-5,29.388,37.818,-10.194,10,place,2
1160,-1.0229347947391237e-4,1.4933808624535664e-4,-4.704460677144425e-5,-31.03,40.52,-10.064,10,place,2
1161,-1.0624673956562005e-4,1.1052200968807545e-4,-4.275270122455414e-6,29.253,41.284,-9.4166,10,place,2
1168,2.4104731352632265e-4,-1.2209583959208066e-4,-1.1895147393424198e-4,-50.004,43.748,-9.4896,10,face,1
1170,9.624771048608041e-5,-1.7421875326955726e-4,7.797104278347685e-5,-42.469,43.843,-9.408,10,object,3
1171,1.697025979971242e-4,-2.0430047842350552e-4,3.459788042638126e-5,-38.701,43.891,-9.3679,10,object,3
1176,-9.544098078792847e-5,6.005304455132975e-5,3.5387936236598724e-5,29.118,44.75,-8.6382,10,place,2
1185,3.672842342288176e-5,-1.7792757892577421e-4,1.4119915550289246e-4,-46.372,47.262,-8.671,10,object,3
1189,-8.609434783910957e-5,7.89249180232473e-5,7.169429815862275e-6,25.215,48.169,-7.9008,10,place,2
1198,-6.364975075884807e-5,1.2508316551478627e-4,-6.143341475593818e-5,-27.668,50.967,-7.6906,10,place,2
1201,-1.0443712394836895e-4,1.0956379892407073e-4,-5.1266749757017735e-6,17.544,51.54,-7.2048,10,place,2
1212,-6.391652720075927e-5,1.3139086760038062e-4,-6.747434039962136e-5,-27.804,54.433,-6.9122,10,place,2
1216,-1.0152381127137274e-4,1.1519955917172138e-4,-1.3675747900348644e-5,17.409,55.006,-6.4263,10,place,2
1217,-9.463567433615005e-5,1.1823495671283213e-4,-2.3599282376682077e-5,21.177,55.054,-6.3862,10,place,2
1218,-9.362786184997724e-5,1.5358774593180353e-4,-5.995988408182629e-5,24.944,55.101,-6.3452,10,place,2
1230,-3.3516931830293085e-5,1.1064965616650171e-4,-7.713272433620863e-5,-27.939,57.899,-6.1351,10,place,2
