voxel,x,y,z,face,place,object,cluster,category
V934,-44.458,52.801,-9.9078,-7.2822437796534e-4,7.655396058018e-4,-3.73152278364602e-5,3,place
V938,31.24,56.15,-13.326,1.9513578850375e-4,-0.00185403635232615,0.00165890056382239,1,object
V939,34.845,56.309,-13.489,-1.2387744495711e-4,8.7999512729358e-4,-7.5611768233646e-4,3,place
V954,31.058,59.899,-13.169,5.0557820544141e-4,1.4538142830495e-4,-6.5095963374637e-4,2,face
V959,-44.822,60.3,-9.593,8.7562606517664e-4,-9.1174361864539e-4,3.61175534687502e-5,2,face
V960,-41.217,60.461,-9.7553,6.8639753883203e-4,8.93563480972038e-5,-7.7575388692923e-4,2,face
V961,-37.613,60.62,-9.9187,7.3911366637594e-4,-4.9182803120868e-4,-2.4728563516725e-4,2,face
V970,12.852,62.852,-12.197,9.9998745348823e-4,-5.304561608427e-4,-4.6953129264552e-4,2,face
V971,30.876,63.649,-13.011,5.5164387630097e-4,6.61809164830821e-5,-6.1782479278405e-4,2,face
V973,-41.4,64.21,-9.5979,6.6904500940482e-4,-3.5052554932288e-4,-3.1851946008194e-4,2,face
V975,-34.19,64.529,-9.9238,-5.7788734284624e-4,5.8289313180434e-4,-5.00578895809478e-6,3,place
V978,-23.376,65.007,-10.412,-1.2459814986081e-4,-0.00149029145485514,0.00161488960471596,1,object
V989,16.275,66.761,-12.202,3.15670204090055e-5,-0.00128969724393038,0.00125813022352137,1,object
V990,19.88,66.921,-12.366,6.636962755357e-4,-0.0013794186580383,7.1572238250259e-4,1,object
V997,-27.163,68.598,-10.092,-3.5603971160469e-4,-5.6634839149285e-4,9.2238810309755e-4,1,object
V998,-23.559,68.757,-10.255,-6.2058493755674e-4,5.4869186412009e-4,7.1893073436652e-5,3,place
V1006,12.488,70.352,-11.882,-4.8610399233997e-4,8.4191141043157e-4,-3.558074180916e-4,3,place
V1007,19.697,70.67,-12.207,3.89435282136027e-5,5.4745596610702e-4,-5.8639949432062e-4,3,place
V1022,15.91,74.261,-11.887,-5.4955144565296e-4,-1.8347208934313e-4,7.3302353499609e-4,1,object
V1029,-16.714,76.576,-10.264,-3.8498902919826e-4,-5.8466416128369e-4,9.6965319048195e-4,1,object
V1089,49.18,-11.105,-12.947,-5.8790871419175003e-05,0.00144999747231463,-0.00139120660089545,3,place
V1152,-57.541,29.27,-6.3369,-0.00102300298182274,0.00103539676864662,-1.2393786823881e-5,3,place
V1153,-14.286,31.184,-8.2896,3.8745971845623e-4,1.7880099112794e-4,-5.6626070958418e-4,2,face
V1202,-26.193,53.204,-6.8559,4.1832833145479e-4,3.7415007440287e-4,-7.9247840585766e-4,2,face
V1205,31.482,55.756,-9.4602,-4.5495007246169e-4,-6.8581652083496e-4,0.00114076659329665,1,object
V1207,45.9,56.394,-10.112,0.00129828189641085,-0.00130193215728298,3.65026087213454e-6,2,face
V1217,24.09,59.187,-8.977,2.1161921099653e-4,-0.00133793599745144,0.00112631678645491,1,object
V1218,31.299,59.505,-9.3028,3.9165733639565e-4,-2.3241706158407e-4,-1.5924027481158e-4,2,face
V1222,45.718,60.143,-9.9544,8.5244290276267e-4,-3.9440423240239e-4,-4.5803867036027e-4,2,face
V1223,49.323,60.302,-10.117,0.00114474267432276,-3.1510751118899e-4,-8.2963516313376e-4,2,face
V1229,-22.953,60.864,-6.7035,0.00161977365454052,-6.4981375380083e-4,-9.6995990073969e-4,2,face
V1234,20.303,62.777,-8.6572,7.1986423105207e-4,-6.212340476982e-4,-9.86301833538665e-5,2,face
V1246,-23.135,64.613,-6.5461,-6.4249121308244e-4,5.8859063572858e-4,5.39005773538554e-5,3,place
V1252,12.912,66.208,-8.174,-9.2271646206838e-4,7.76704920601647e-5,8.4504597000822e-4,1,object
V1253,20.121,66.527,-8.4998,8.3532441374755e-4,7.753744668839e-4,-0.00161069888063146,2,face
V1263,-23.317,68.364,-6.3886,0.00132269410490235,-3.9280218013853e-4,-9.2989192476381e-4,2,face
V1270,16.334,70.117,-8.179,5.5552999026364e-4,-0.00133755574355305,7.820257532894e-4,1,object
V1271,19.939,70.276,-8.3415,-3.5226625635652e-4,5.3781566002715e-4,-1.8554940367063e-4,3,place
V1286,12.547,73.708,-7.8592,0.00155067725382287,-0.00169223804109793,1.4156078727506e-4,2,face
V1287,16.152,73.867,-8.0216,-2.2486222327326e-4,-3.6866551922566e-4,5.9352774249893e-4,1,object
V1293,-27.286,75.704,-5.9104,-4.6213793555712e-4,-1.2343885229495e-4,5.8557678785208e-4,1,object
V1302,12.365,77.458,-7.7007,-4.8924860330227e-4,-5.4934217658799e-4,0.00103859077989027,1,object
V1303,15.97,77.617,-7.8641,-2.5327638026745e-4,8.7301126324843e-4,-6.1973488298097e-4,3,place
V1308,-31.073,79.294,-5.5906,-5.8786710763145e-4,9.7277644658792e-4,-3.8490933895647e-4,3,place
V1309,-27.469,79.453,-5.7531,5.8825072920432e-4,-0.00223959287296114,0.00165134214375682,1,object
V1396,56.084,0.070342,-8.935,6.598593212056e-5,-9.2324416857781e-4,8.5725823645725e-4,1,object
V1525,45.777,63.5,-5.9301,-7.0165682959403e-4,-5.1013359926692e-4,0.00121179042886096,1,object
