voxel,x,y,z,face,place,object,cluster,category
V4894,30.326,-9.6806,38.599,-4.0050580831586e-4,8.2874115073891e-4,-4.2823534242305e-4,3,place
V5050,-8.6368,48.723,42.747,-2.5427932937264e-4,-0.00132251335869062,0.00157679268806327,1,object
V5083,-30.811,59.016,44.197,6.1113077322126e-4,1.0407514602764e-4,-7.1520591924891e-4,2,face
V5119,-20.726,74.494,44.339,4.6475494058524e-4,3.03655756010825e-5,-4.9512051618633e-4,2,face
V5200,30.567,-10.075,42.464,-6.597026552059e-4,-1.4376537638062e-4,8.0346803158653e-4,1,object
V5208,30.385,-6.3245,42.622,-2.8157756001224e-4,6.1347839750607e-4,-3.3190083749382e-4,3,place
V5359,-8.3954,48.33,46.613,-4.0285128775085e-4,4.9593830539159e-4,-9.30870176407412e-5,3,place
V5435,-18.746,-31.45,47.822,-7.6949807648954e-4,8.3959273983582e-4,-7.00946633462736e-5,3,place
V5441,13.696,-30.015,46.356,-6.6897149606748e-4,-5.3397799377336e-4,0.00120294948984085,1,object
V5445,-18.928,-27.701,47.979,-1.6276857533839e-4,-0.00107290556742244,0.00123567414276083,1,object
V5446,-15.323,-27.54,47.816,-5.1093206934817e-4,0.00115061889416981,-6.3968682482163e-4,3,place
V5447,-11.719,-27.381,47.653,-3.9927672891458e-4,-4.0167419528876e-4,8.0095092420335e-4,1,object
V5452,13.514,-26.265,46.514,-7.8051643097013e-4,0.00117071264746828,-3.9019621649814e-4,3,place
V5461,13.332,-22.515,46.672,-3.1020477344354e-4,-0.00128030793661713,0.00159051271006067,1,object
V5484,23.781,-14.537,46.498,2.9328238024771e-4,-0.00104965826869123,7.5637588844352e-4,1,object
V5496,30.808,-10.468,46.33,-8.8316622400975e-4,0.00102424167909365,-1.4107545508389e-4,3,place
V5509,30.626,-6.7184,46.488,-4.5077841387212e-4,9.7671008171017e-4,-5.2593166783805e-4,3,place
V5513,-30.835,-5.6792,49.413,-1.27545479792529e-5,0.0010737233099209,-0.00106096876194165,3,place
V5515,-12.812,-4.8819,48.599,-3.9389213955571e-4,-3.9115959827018e-4,7.8505173782589e-4,1,object
V5518,30.444,-2.9685,46.645,4.21186849541982e-5,-4.1725731632207e-4,3.7513863136787e-4,1,object
V5533,-42.014,1.3423,50.216,-2.1203357442356e-4,-1.9766138838556e-4,4.0969496280913e-4,1,object
V5549,-42.196,5.0924,50.373,-3.4833754572327e-4,3.63546811336e-4,-1.52092656127294e-5,3,place
V5583,51.161,16.738,46.457,1.6155445511654e-4,0.0011675142757801,-0.00132906873089664,3,place
V5709,42.129,53.917,48.358,-3.7782590835031e-4,3.06419846831936e-5,3.4718392366712e-4,3,place
V5756,-18.687,-28.094,51.845,-1.4618036852215e-4,-3.1789236805113e-4,4.6407273657329e-4,1,object
V5757,-15.082,-27.934,51.681,-2.4692053110834e-4,-1.8833048714501e-4,4.3525101825335e-4,1,object
V5767,-4.4502,-23.706,51.351,5.1453022617317e-4,1.0224761982431e-4,-6.1677784599748e-4,2,face
V5784,5.9993,-15.728,51.178,7.49503020204956e-5,-4.7861932084028e-4,4.0366901881979e-4,1,object
V5792,2.2124,-12.138,51.498,1.4247330659595e-4,-4.7603310654546e-4,3.335597999495e-4,1,object
V5793,5.817,-11.978,51.336,3.3383312745068e-4,-1.03566881078134e-5,-3.2347643934287e-4,2,face
V5802,-1.5745,-8.5472,51.819,4.5148953929287e-4,-2.3398865051137e-4,-2.175008887815e-4,2,face
V5805,16.449,-7.75,51.005,5.5608395468546e-4,-2.4503478001447e-4,-3.1104917467098e-4,2,face
V5826,26.898,0.22807,50.832,-3.3565409372006e-4,2.7917190351842e-4,5.64821902016365e-5,3,place
V5827,30.503,0.38753,50.669,-4.0526748606488e-4,6.8625950024302e-4,-2.8099201417814e-4,3,place
V5830,41.317,0.86596,50.18,-4.3480898973866e-4,6.0735828451285e-4,-1.7254929477419e-4,3,place
V5831,44.922,1.0254,50.018,6.6929020194007e-4,-3.845897643529e-4,-2.8470043758717e-4,2,face
V5843,26.716,3.9781,50.989,4.1181309926318e-4,-7.21677285359074e-5,-3.3964537072727e-4,2,face
V5845,41.135,4.6157,50.338,4.7208306938721e-4,1.3792466484265e-4,-6.1000773422987e-4,2,face
V5847,-38.35,4.8577,54.077,-4.606750659158e-4,3.3282833196967e-4,1.2784673394612e-4,3,place
V5855,26.534,7.7275,51.146,-6.1082841224079e-4,2.0603443998282e-4,4.0479397225796e-4,3,place
V5865,29.956,11.637,51.141,-8.2244409484247e-4,2.4025088999148e-4,5.8219320485099e-4,1,object
V5984,17.32,48.657,53.206,-5.7047468486045e-4,5.4463528696143e-4,2.58393978990167e-5,3,place
V6054,-22.779,-13.648,56.504,-5.9940151828903e-4,6.3573222560223e-4,-3.6330707313198e-5,3,place
V6115,30.198,11.243,55.007,-1.2035170049481e-4,3.51167595785528e-5,8.52349409162621e-5,3,place
V6145,-2.791,21.058,56.945,-3.7154222473291e-4,-1.4060717871202e-4,5.1214940344493e-4,1,object
V6279,10.998,-35.105,57.959,-2.4579563637334e-4,1.7087254316913e-4,7.4923093204217e-5,3,place
V6281,10.816,-31.356,58.116,-5.4682667103377e-4,6.1104139527536e-4,-6.42147242415949e-5,3,place
V6312,-12.088,-6.0633,60.196,-3.2348045028447e-4,2.7192463713392e-4,5.15558131505502e-5,3,place
